,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
ADANIPORTS,1.0,0.019395579994063907,0.1846999792726368,0.39036942377643236,0.024658122320449154,-0.11654189532855855,0.6988879120380836,0.036949002426584804,0.22729229807325313,0.2986301120504884,0.6535457280432827,-0.2870142092315024,0.1729212822852327,0.5325757882295185,-0.16687465601874152,-0.036308540518820806,0.2649745829418121,0.32779568863379277,0.49586355976141205,-0.0531503574016634,0.10477837892970655,0.21225429573387897,-0.14100846905727957,0.27381034013181843,0.7156847636083074,0.17944674498560687,-0.4432518036800733,-0.10053174994580333,0.5469405966309967,-0.09908820892298151,0.46200460923712644,0.023732511639336474,-0.07773836308570563,-0.004244151290409431,0.6380950674054955,0.1973353876615881,0.46654161671536953,-0.14690340585760592,0.34172447634376424,0.07466621966437659,-0.11914989943484486,0.09696026462312302,-0.17555586244982757,0.4494447686752663,-0.30241057484811235,-0.08578082276955427,0.10362174425910636,0.19859389223193658,-0.2682615090979664,-0.0806308178831087
ASIANPAINT,0.019395579994063907,1.0,0.6999089814555557,-0.44677239077743863,0.8402683012844602,0.6711319448179711,0.46677047752286216,0.6437181779895232,0.7599072088910206,0.011548987541135786,-0.17151802939298172,0.5648752129091738,-0.2214148353184104,0.2951770699945687,0.17364897901442933,0.6456954846557634,0.5773398427656888,0.6718831036395784,-0.3844087110493973,0.4954645321447868,0.835226594343892,0.5930644144496412,0.5400736561903563,0.23948060553857714,0.18298249734678193,-0.35526248500985563,0.45733024855375115,-0.37727958755365437,0.1730543037376299,0.5563970882365845,-0.42612534190977613,-0.4569451081053534,-0.3493389848403174,0.7604961226991621,0.0354300020767831,-0.39748620098444815,0.7370015200377306,0.6199677422940013,0.5235194229932005,-0.012534519886130253,0.3943147310486386,0.7614067270431822,0.7511613453786601,-0.37943050060835637,0.36860814097857747,0.5541036533072189,0.7868426989181123,-0.4965278806999481,0.589698447445945,0.6611354822690625
AXISBANK,0.1846999792726368,0.6999089814555557,1.0,-0.290880900808465,0.6444192037888262,0.5036630721424581,0.3429329993348825,0.5512687531918399,0.6214164089113359,0.21216095262092385,-0.012252942076555605,0.4651871549373195,-0.02348882850642908,0.4182902602601165,0.1276186893759152,0.5520964322256453,0.7680715072258038,0.6282177761400887,-0.1406867151826135,0.42222389862343407,0.6669072928937713,0.6467485006805096,0.519556241781014,0.24139634726873657,0.1821590810830272,0.21381475199079766,0.36763527985941347,-0.24102934765422454,0.5179627693160807,0.5044440889565698,-0.032177906099829505,-0.21781722544838494,-0.10797471730710553,0.5351407692951424,0.17245026972308772,-0.26633891512486463,0.5866153916498479,0.5062003622469254,0.3857412917341911,0.16304086190757622,0.35882324849968267,0.6341375419918296,0.6298982171317865,-0.20619426601955704,0.3084484456329141,0.45902598232612185,0.6388462573666869,-0.3255709619322471,0.4044633749856608,0.4782584002732306
BAJAJ-AUTO,0.39036942377643236,-0.44677239077743863,-0.290880900808465,1.0,-0.6871429764508321,-0.8771227459894035,0.25356699973186847,-0.7708683546818098,-0.43439842662588835,0.6692800822677762,0.6973957757638474,-0.916704462375611,0.8025414300500455,0.4083273545344244,-0.15251958013029507,-0.79175644124444,-0.2842732414363352,0.04738770365413232,0.9043404889419017,-0.82043304096614,-0.4158031769269403,-0.6239112859009117,-0.877798219707983,-0.41429509537481474,0.5949920880176126,0.27308535543608514,-0.8600196054263922,-0.2879002294502942,0.15028571098983864,-0.8435182214415019,0.5627280061684666,0.7566532285478649,0.3379171324012585,-0.7500554723212287,0.644786452057326,0.823859617775456,-0.15700797053834756,-0.8802854509431882,0.11071453579101732,-0.046587426005397545,-0.8180082822343206,-0.5614739895870036,-0.7473237788415864,0.9215240680631573,-0.9140342402900685,-0.8308119963057643,-0.5898318222612842,0.6944156109899677,-0.8831066217454396,-0.8504457054162411
BAJFINANCE,0.024658122320449154,0.8402683012844602,0.6444192037888262,-0.6871429764508321,1.0,0.9192884847225805,0.35203479824570016,0.8362349038133173,0.8734728509562926,-0.262755762675407,-0.3647714825255024,0.7388451468405035,-0.5656030555968721,0.10316013134780068,-0.035444696476947535,0.8926656989357892,0.7260110179966301,0.5726727684444886,-0.6606107459503497,0.7447471014415644,0.890082794731678,0.801254102707455,0.7775031578137079,0.27911882629636486,-0.000543164659813677,-0.31008044128386675,0.7061616957172734,-0.20900818169310173,0.0885868501719298,0.7109684932691099,-0.3739783863403887,-0.7105550258734884,-0.5408063762137104,0.933433285777443,-0.10872741739825488,-0.6899203621739386,0.7003456211744763,0.8522000381750635,0.27070979474428014,-0.02540625027187613,0.679059135567591,0.9179760390492393,0.9124763529298456,-0.5993486568763948,0.6441536630771257,0.828590404114325,0.8935090479342491,-0.7584384277363166,0.7175799303582613,0.8519672189591377
BAJAJFINSV,-0.11654189532855855,0.6711319448179711,0.5036630721424581,-0.8771227459894035,0.9192884847225805,1.0,0.0907005200396664,0.907079975823284,0.7561187931364133,-0.54807167802645,-0.5814018879868018,0.8800658316678829,-0.7982983935621466,-0.13509579821777973,0.020650044502556503,0.9433981231120856,0.5927692568237352,0.319560374384256,-0.8445521207377769,0.878092897416941,0.728428888020481,0.8136892837461038,0.9198698275740513,0.4032580408072602,-0.29513425492316325,-0.32550497126029776,0.8648125514812914,0.04659663104526598,-0.006551458046544594,0.8508565972617116,-0.4767119346243708,-0.7940758180800208,-0.5400316475665541,0.9192687135534067,-0.3766672439930379,-0.8721840301799093,0.48534891195457697,0.9617483917693224,0.09844615926218811,0.01146255915915714,0.8562486049365661,0.8408776523712909,0.9122239678739814,-0.8060108891639746,0.8585340625108075,0.9353137086518473,0.8499997296619921,-0.8319500974813405,0.8717049015843593,0.935521117963803
BPCL,0.6988879120380836,0.46677047752286216,0.3429329993348825,0.25356699973186847,0.35203479824570016,0.0907005200396664,1.0,0.2174750245794358,0.57400389648201,0.314559939884505,0.5503032109012388,-0.16499163997610017,0.11879320665034854,0.5671613263794434,-0.17731328597107077,0.19685752443567134,0.37701045251071297,0.6732262405074398,0.3130068385533951,0.03209401910991309,0.4571788836836405,0.33257460343220013,-0.0265846407173529,0.24637263419121017,0.8674312750177756,-0.22983042782313265,-0.24269164555057463,-0.29575219276813186,0.4790408272904757,0.01561123371557018,0.28942382657678734,-0.1989722200068399,-0.2388463250975971,0.29943322452051463,0.7103831443627748,0.10870907997405027,0.820217233082518,0.02039272253207214,0.5497301609197488,-0.053915712572095674,-0.04588884848930916,0.43887039209070655,0.13227460033507754,0.4138860459617206,-0.2217119144125975,0.0963040551695803,0.4090793542621952,-0.014546537518276151,-0.11543587440437404,0.18368729904150408
BHARTIARTL,0.036949002426584804,0.6437181779895232,0.5512687531918399,-0.7708683546818098,0.8362349038133173,0.907079975823284,0.2174750245794358,1.0,0.7763109764788703,-0.5543665954318734,-0.40806939694268873,0.8076698890052306,-0.7739427364984961,0.03014696903185133,-0.03364155551023904,0.9316893261106777,0.6229063826716779,0.3306964928345029,-0.691094074526144,0.8647905542923193,0.6654027909410394,0.9117604653226727,0.8960492742036257,0.5889143757391259,-0.1420320835266214,-0.23862325411468638,0.7898569703753743,0.1887315600225742,0.30567738979549314,0.8208861133318173,-0.313306182772304,-0.7920673676505554,-0.5071799400790596,0.8517506361947768,-0.25076620971977537,-0.8490491279304485,0.5814572199841848,0.9084869244661679,0.12456429598673575,0.054455133753485804,0.8872651518487266,0.8335522876689823,0.8223473726233007,-0.6379305716496668,0.824945935688461,0.9357664793044289,0.9058304746873806,-0.7775934902287944,0.7799145738785576,0.9211435594872327
BRITANNIA,0.22729229807325313,0.7599072088910206,0.6214164089113359,-0.43439842662588835,0.8734728509562926,0.7561187931364133,0.57400389648201,0.7763109764788703,1.0,-0.16446907915618908,-0.21950721139429755,0.46192007189337225,-0.48696466995790794,0.3049662866932282,-0.2777904703768994,0.8403662373719385,0.8124583410948238,0.7080739058965063,-0.46094544124617376,0.5322030257024204,0.9185916843602834,0.8433156885099813,0.5915750331360866,0.27633266179755117,0.24832980804365876,-0.3042334580566627,0.560534078834399,-0.32731062286870233,0.3001524256969298,0.49871055284313354,-0.06612310792632639,-0.6469297352452648,-0.6581059790478135,0.8783015190143018,0.11629460342597626,-0.5772216682778726,0.824896466677296,0.6783564541120113,0.2794737614622316,-0.22907389302748712,0.5863852570733523,0.9584889022665957,0.811672937958586,-0.30435665036897175,0.41236326818817437,0.7755870697059376,0.8894466854138776,-0.7614201695896489,0.4576158496708677,0.7360138574781817
CIPLA,0.2986301120504884,0.011548987541135786,0.21216095262092385,0.6692800822677762,-0.262755762675407,-0.54807167802645,0.314559939884505,-0.5543665954318734,-0.16446907915618908,1.0,0.6174742595657607,-0.5292738034124191,0.8674263932839507,0.5296819394205728,0.1806227723228233,-0.49531731493643505,0.01141940336563731,0.35347616325729575,0.7261497252520605,-0.5706094799519074,-0.026592775166633213,-0.36731788128339465,-0.5941074096085318,-0.3725114358287974,0.5487585181134479,0.31766410739984074,-0.6373443131442705,-0.48386128580231963,0.19382264228286852,-0.513139352169272,0.3370213488701642,0.6034070600025476,0.38041225652270466,-0.4060381294308758,0.6021299495071806,0.6947801544259712,0.10903808677459184,-0.5815578373094256,0.4124691253459002,0.07956606777983943,-0.6353592227479995,-0.2667345419778233,-0.3644047424974399,0.6611699404576993,-0.7155671744756948,-0.6076452361190908,-0.31427894340609674,0.5340412237186608,-0.5431954445645745,-0.5495488950988674
