Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ADANIPORTS,EQ,833.85,837.4,898.8,835.65,877.9,878.6,877.67,33684310,2956361913240000.0,457825,3560830,0.1057
2021-06-08,ADANIPORTS,EQ,878.6,883.4,887.8,859.15,874.9,874.2,876.07,16422574,1438738298840000.0,235456,1936873,0.11789999999999999
2021-06-09,ADANIPORTS,EQ,874.2,879.25,901.0,831.3,853.0,852.6,869.31,31225441,2714446247020000.0,430251,3047921,0.0976
2021-06-10,ADANIPORTS,EQ,852.6,858.55,863.95,843.3,848.3,846.75,850.32,11744190,998637092279999.9,182614,2911532,0.2479
2021-06-11,ADANIPORTS,EQ,846.75,852.0,856.4,820.7,841.7,839.75,836.0,17460610,1459712124695000.0,256714,5154936,0.2952
2021-06-14,ADANIPORTS,EQ,839.75,755.8,783.7,681.1,762.0,768.45,729.9,89771631,6552436883050000.0,1357995,15189854,0.16920000000000002
2021-06-15,ADANIPORTS,EQ,768.45,802.9,802.9,755.0,756.5,761.85,768.29,45408426,3488697074069999.5,567997,9374402,0.2064
2021-06-16,ADANIPORTS,EQ,761.85,755.0,755.0,697.8,702.0,706.7,727.19,29440056,2140841986920000.0,501294,6819660,0.2316
2021-06-17,ADANIPORTS,EQ,706.7,683.0,704.65,638.35,643.2,646.9,664.55,70812142,4705833627650000.0,1020950,13349012,0.18850000000000003
2021-06-18,ADANIPORTS,EQ,646.9,643.2,704.6,638.1,693.15,694.35,674.26,76266975,5142381352925000.0,1113230,9842684,0.1291
2021-06-21,ADANIPORTS,EQ,694.35,692.0,744.65,685.1,730.0,731.05,724.14,51759617,3748111813180000.5,727389,6024781,0.1164
2021-06-22,ADANIPORTS,EQ,731.05,740.0,761.65,738.0,741.9,742.9,752.05,35597113,2677097257170000.0,473012,6016309,0.16899999999999998
2021-06-23,ADANIPORTS,EQ,742.9,749.0,757.0,715.5,718.55,718.7,730.03,31168761,2275403089950000.0,436237,4159861,0.1335
2021-06-24,ADANIPORTS,EQ,718.7,724.0,725.0,701.7,713.1,709.9,710.67,21503302,1528185817295000.0,308151,2290840,0.10650000000000001
2021-06-25,ADANIPORTS,EQ,709.9,715.0,719.0,706.5,711.0,712.2,712.05,12085421,860541247145000.1,169118,1344713,0.11130000000000001
2021-06-28,ADANIPORTS,EQ,712.2,719.0,729.95,713.0,716.65,716.25,721.62,14139292,1020324660004999.9,170418,2301116,0.1627
2021-06-29,ADANIPORTS,EQ,716.25,717.5,723.0,709.0,711.5,711.0,714.79,9303151,664978982150000.0,111512,2528678,0.2718
2021-06-30,ADANIPORTS,EQ,711.0,717.6,717.6,702.1,704.4,703.7,708.27,9100756,644575360575000.0,127848,1698785,0.18670000000000003
2021-07-01,ADANIPORTS,EQ,703.7,706.0,711.85,700.0,705.0,703.1,704.35,8035542,565984082325000.0,111500,1725199,0.2147
2021-07-02,ADANIPORTS,EQ,703.1,705.0,724.3,705.0,710.85,710.4,714.65,17676086,1263212988290000.0,219997,2305663,0.1304
2021-07-05,ADANIPORTS,EQ,710.4,717.0,721.0,703.0,709.5,710.05,711.02,11105134,789592261065000.0,135960,1206237,0.1086
2021-07-06,ADANIPORTS,EQ,710.05,712.0,731.95,707.1,714.0,712.7,720.33,14580124,1050250848100000.0,172719,1615386,0.11080000000000001
2021-07-07,ADANIPORTS,EQ,712.7,716.9,723.0,706.0,722.5,720.1,715.66,8719991,624054308375000.0,113244,1184629,0.1359
2021-07-08,ADANIPORTS,EQ,720.1,724.0,728.0,709.1,711.8,711.7,718.74,7804439,560937618850000.0,95018,1043494,0.13369999999999999
2021-07-09,ADANIPORTS,EQ,711.7,712.5,737.0,708.35,728.0,728.5,725.62,14924156,1082920799825000.0,190747,2331099,0.1562
2021-07-12,ADANIPORTS,EQ,728.5,734.4,735.65,715.05,717.95,718.05,724.26,8664504,627533777190000.0,113106,1357719,0.1567
2021-07-13,ADANIPORTS,EQ,718.05,720.0,720.9,702.0,704.35,704.0,706.82,12287372,868495001004999.9,164034,2781835,0.22640000000000002
2021-07-14,ADANIPORTS,EQ,704.0,709.4,711.5,695.35,696.7,697.25,701.74,13812481,969276565945000.1,153862,3457028,0.2503
2021-07-15,ADANIPORTS,EQ,697.25,699.7,706.4,695.5,698.8,699.1,699.88,7490612,524253149305000.0,103614,1761468,0.2352
2021-07-16,ADANIPORTS,EQ,699.1,699.7,702.9,685.25,689.0,687.6,692.02,6941246,480349389014999.94,181696,2634017,0.37950000000000006
2021-07-19,ADANIPORTS,EQ,687.6,686.0,693.0,661.4,673.85,673.7,677.93,13618862,923264582679999.9,209938,3204432,0.2353
2021-07-20,ADANIPORTS,EQ,673.7,661.0,680.85,660.0,671.85,672.6,669.92,11533588,772659938550000.0,159528,1787715,0.155
2021-07-22,ADANIPORTS,EQ,672.6,678.0,695.0,666.7,692.7,691.8,680.49,9740403,662828470595000.0,135345,1939484,0.1991
2021-07-23,ADANIPORTS,EQ,691.8,700.0,700.0,677.2,678.8,680.05,685.13,8682097,594835868340000.0,124938,1009665,0.11630000000000001
2021-07-26,ADANIPORTS,EQ,680.05,680.0,690.95,674.45,682.25,682.8,684.03,5339116,365209077450000.0,84888,782777,0.1466
2021-07-27,ADANIPORTS,EQ,682.8,682.8,686.3,660.35,662.35,663.2,672.2,7133113,479488817045000.0,107660,1341116,0.188
2021-07-28,ADANIPORTS,EQ,663.2,668.4,676.75,654.2,664.5,665.4,664.89,11132158,740168366215000.0,154114,1602488,0.14400000000000002
2021-07-29,ADANIPORTS,EQ,665.4,671.0,671.0,657.95,659.25,659.65,664.41,4572153,303778499080000.0,71704,995400,0.2177
2021-07-30,ADANIPORTS,EQ,659.65,661.25,687.8,659.5,675.0,674.5,678.17,13440904,911519964795000.1,214286,4125785,0.307
2021-08-02,ADANIPORTS,EQ,674.5,682.0,695.0,678.0,694.25,692.0,690.0,8925708,615874050575000.0,127572,1375114,0.15410000000000001
2021-08-03,ADANIPORTS,EQ,692.0,698.0,714.95,695.25,707.0,705.05,704.96,18429941,1299228123365000.0,245090,2197967,0.1193
2021-08-04,ADANIPORTS,EQ,705.05,718.0,718.0,692.0,693.5,694.7,705.77,14045587,991289851470000.1,173702,2678690,0.1907
2021-08-05,ADANIPORTS,EQ,694.7,695.0,700.5,684.0,692.0,693.55,691.43,5851411,404584783700000.0,94950,1000351,0.171
2021-08-06,ADANIPORTS,EQ,693.55,692.95,719.9,691.45,710.0,710.7,710.83,17504802,1244299716475000.0,216974,2718153,0.1553
2021-08-09,ADANIPORTS,EQ,710.7,714.0,717.0,694.1,698.85,699.9,705.61,7521213,530702016839999.94,109290,1053171,0.14
2021-08-10,ADANIPORTS,EQ,699.9,701.7,706.75,683.25,690.8,693.0,697.93,5937282,414383378040000.0,86998,1010146,0.17010000000000003
2021-08-11,ADANIPORTS,EQ,693.0,693.4,705.0,684.55,699.5,699.15,695.11,6297975,437779042339999.94,99723,1095768,0.174
2021-08-12,ADANIPORTS,EQ,699.15,701.0,710.4,700.0,703.95,704.05,705.36,5068665,357523302500000.0,80831,1015218,0.2003
2021-08-13,ADANIPORTS,EQ,704.05,704.45,709.5,699.05,703.9,704.15,705.41,3390071,239139293210000.0,59976,720216,0.21239999999999998
2021-08-16,ADANIPORTS,EQ,704.15,704.0,716.45,702.0,706.0,706.9,709.1,6385995,452830018464999.94,85111,1223470,0.1916
2021-08-17,ADANIPORTS,EQ,706.9,705.8,714.9,686.05,690.95,692.65,701.72,7262774,509643991289999.94,109287,1511302,0.20809999999999998
2021-08-18,ADANIPORTS,EQ,692.65,696.45,708.3,688.7,704.5,705.4,700.1,7354758,514904323580000.0,95134,911197,0.12390000000000001
2021-08-20,ADANIPORTS,EQ,705.4,690.0,706.4,680.8,681.95,687.2,696.2,6274741,436850119664999.94,84811,978631,0.156
2021-08-23,ADANIPORTS,EQ,687.2,691.8,691.8,665.0,668.1,668.3,676.44,6636881,448946388710000.06,99258,871404,0.1313
2021-08-24,ADANIPORTS,EQ,668.3,673.0,702.0,668.5,693.65,695.4,682.67,7640710,521605769730000.0,107336,1262655,0.1653
2021-08-25,ADANIPORTS,EQ,695.4,698.5,725.0,695.4,721.1,720.75,715.26,21275432,1521741467375000.0,272990,3183651,0.1496
2021-08-26,ADANIPORTS,EQ,720.75,725.0,733.0,717.7,721.9,721.7,724.56,14969643,1084634065535000.0,201663,2474848,0.1653
2021-08-27,ADANIPORTS,EQ,721.7,724.0,731.95,722.25,726.0,727.0,727.14,6751256,490912008420000.0,93264,1130194,0.1674
2021-08-30,ADANIPORTS,EQ,727.0,730.6,735.4,727.1,728.2,730.0,730.98,4757858,347789195975000.0,71327,1002851,0.2108
2021-08-31,ADANIPORTS,EQ,730.0,732.3,754.0,728.1,747.25,748.3,745.58,15419587,1149651341530000.0,174105,3890027,0.2523
2021-09-01,ADANIPORTS,EQ,748.3,750.05,751.85,737.6,744.4,744.75,744.38,5320381,396038709115000.0,83876,1397825,0.2627
2021-09-02,ADANIPORTS,EQ,744.75,745.0,760.65,744.0,753.55,753.85,754.33,5788915,436676397439999.94,90681,1386175,0.2395
2021-09-03,ADANIPORTS,EQ,753.85,755.95,762.0,745.3,753.9,754.9,753.95,4491254,338618482280000.0,82469,892833,0.1988
2021-09-06,ADANIPORTS,EQ,754.9,758.4,765.0,747.25,751.2,751.2,757.28,5260360,398356849165000.0,85810,1004016,0.19090000000000001
2021-09-07,ADANIPORTS,EQ,751.2,753.9,755.15,741.65,745.0,745.5,748.32,3515903,263101242044999.97,54357,628281,0.17870000000000003
2021-09-08,ADANIPORTS,EQ,745.5,748.8,753.0,738.25,748.8,746.85,745.66,4036193,300963423165000.0,56261,877308,0.21739999999999998
2021-09-09,ADANIPORTS,EQ,746.85,745.1,751.0,742.0,749.0,749.7,746.53,2829060,211196637045000.0,38702,789385,0.27899999999999997
