Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ASIANPAINT,EQ,2924.9,2930.0,2941.0,2903.95,2928.0,2933.1,2920.5,802415,234345546855000.03,51994,355048,0.4425
2021-06-08,ASIANPAINT,EQ,2933.1,2928.0,2944.25,2907.5,2925.0,2926.25,2922.05,762931,222932117635000.0,40978,399020,0.523
2021-06-09,ASIANPAINT,EQ,2926.25,2930.8,2965.0,2919.6,2941.3,2943.55,2946.1,1340352,394880444010000.0,76383,659142,0.4918
2021-06-10,ASIANPAINT,EQ,2943.55,2945.0,2959.3,2920.65,2955.6,2950.6,2940.62,1344559,395383425305000.0,62341,802036,0.5965
2021-06-11,ASIANPAINT,EQ,2950.6,2960.0,2971.6,2938.6,2955.1,2956.25,2953.6,878445,259457306255000.03,53557,469562,0.5345000000000001
2021-06-14,ASIANPAINT,EQ,2956.25,2955.1,2970.0,2916.5,2953.7,2949.9,2942.38,746823,219744047344999.97,36101,371926,0.498
2021-06-15,ASIANPAINT,EQ,2949.9,2970.0,3050.0,2960.95,3035.0,3042.2,3022.63,2262031,683729110925000.0,129837,683021,0.302
2021-06-16,ASIANPAINT,EQ,3042.2,3029.0,3042.2,3005.5,3017.95,3018.7,3022.71,859505,259803709419999.97,45884,213951,0.2489
2021-06-17,ASIANPAINT,EQ,3018.7,3017.95,3073.95,3000.5,3059.9,3060.3,3053.42,1533864,468352366995000.0,76201,477713,0.3114
2021-06-18,ASIANPAINT,EQ,3060.3,3061.55,3077.8,3016.05,3050.05,3047.2,3043.93,2293860,698235108700000.0,83345,1412015,0.6156
2021-06-21,ASIANPAINT,EQ,3047.2,3024.2,3079.15,3021.05,3071.2,3068.55,3064.78,720491,220814785180000.03,52068,155071,0.2152
2021-06-22,ASIANPAINT,EQ,3068.55,3085.0,3092.85,3004.2,3015.0,3010.8,3042.11,1199238,364821200145000.0,62200,599666,0.5
2021-06-23,ASIANPAINT,EQ,3010.8,3030.0,3030.0,2983.5,2995.0,2987.35,3000.87,1009007,302789573840000.0,59721,377198,0.3738
2021-06-24,ASIANPAINT,EQ,2987.35,2987.35,3049.7,2975.45,3044.0,3043.25,3014.66,985596,297123226350000.0,53646,354424,0.35960000000000003
2021-06-25,ASIANPAINT,EQ,3043.25,3030.2,3053.5,2985.0,3006.9,3003.9,3006.0,786964,236561103890000.0,62490,288295,0.3663
2021-06-28,ASIANPAINT,EQ,3003.9,3024.0,3038.85,2976.25,2986.65,2982.95,3002.0,891695,267686920450000.0,52409,307544,0.34490000000000004
2021-06-29,ASIANPAINT,EQ,2982.95,2989.0,3023.85,2973.05,3003.0,3001.5,2996.75,1242734,372416575995000.0,61535,487876,0.3926
2021-06-30,ASIANPAINT,EQ,3001.5,2999.0,3030.0,2985.65,3002.0,2992.7,3006.53,924522,277960070880000.03,56390,370445,0.4007
