Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,AXISBANK,EQ,742.05,743.1,753.95,741.5,749.9,751.1,749.65,6986728,523763352325000.0,115438,2896284,0.41450000000000004
2021-06-08,AXISBANK,EQ,751.1,751.0,751.1,739.5,745.45,746.35,745.03,6426815,478814414964999.94,90700,3039273,0.4729
2021-06-09,AXISBANK,EQ,746.35,746.0,751.25,730.15,737.0,736.75,741.12,8004726,593247917465000.0,153033,3665996,0.45799999999999996
2021-06-10,AXISBANK,EQ,736.75,739.45,745.35,732.9,742.6,744.25,739.86,7795125,576730426360000.0,110921,3454324,0.44310000000000005
2021-06-11,AXISBANK,EQ,744.25,746.25,746.25,737.0,737.5,738.45,741.03,4840759,358716654355000.0,84489,1887942,0.39
2021-06-14,AXISBANK,EQ,738.45,735.9,741.4,725.0,736.0,736.25,733.75,5190670,380866751460000.0,77501,1915636,0.3691
2021-06-15,AXISBANK,EQ,736.25,736.0,752.0,732.0,748.5,750.9,746.82,9686490,723403565960000.0,148950,4682250,0.48340000000000005
2021-06-16,AXISBANK,EQ,750.9,748.8,756.85,746.25,747.0,749.8,751.25,8614096,647130160020000.0,146934,3447460,0.40020000000000006
2021-06-17,AXISBANK,EQ,749.8,741.95,745.4,736.0,737.0,738.6,741.03,6674329,494590508889999.94,122017,3502617,0.5247999999999999
2021-06-18,AXISBANK,EQ,738.6,742.15,743.2,722.25,738.0,736.3,732.51,8143792,596538796600000.0,190414,3795996,0.4661
2021-06-21,AXISBANK,EQ,736.3,725.0,740.9,720.5,737.9,739.55,733.96,6464497,474466841005000.0,112325,2620344,0.4053
2021-06-22,AXISBANK,EQ,739.55,743.2,749.0,737.05,738.9,739.35,744.57,6727233,500892431885000.06,104752,3440828,0.5115
2021-06-23,AXISBANK,EQ,739.35,743.2,743.75,730.8,732.4,732.35,737.86,6154147,454092323175000.0,79735,3333586,0.5417000000000001
2021-06-24,AXISBANK,EQ,732.35,735.9,742.95,731.1,739.5,739.15,739.05,5313822,392717504795000.0,116430,2450285,0.4611
2021-06-25,AXISBANK,EQ,739.15,737.55,765.95,737.55,760.6,761.35,756.22,11170037,844695949855000.0,172938,4831949,0.4326
