Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BAJAJ-AUTO,EQ,4250.05,4258.55,4284.9,4240.0,4242.7,4249.75,4260.45,159646,68016413754999.99,14466,43629,0.2733
2021-06-08,BAJAJ-AUTO,EQ,4249.75,4250.0,4275.0,4234.0,4268.95,4269.9,4262.23,150816,64281295179999.99,16692,35685,0.2366
2021-06-09,BAJAJ-AUTO,EQ,4269.9,4268.0,4272.5,4201.0,4226.95,4224.5,4235.15,262617,111222127045000.0,27309,67418,0.25670000000000004
2021-06-10,BAJAJ-AUTO,EQ,4224.5,4229.0,4233.5,4166.0,4184.0,4179.9,4181.76,332571,139073294334999.98,33873,126707,0.381
2021-06-11,BAJAJ-AUTO,EQ,4179.9,4185.0,4216.85,4162.0,4173.0,4172.5,4190.02,188155,78837321105000.0,17703,43806,0.2328
2021-06-14,BAJAJ-AUTO,EQ,4172.5,4173.0,4195.5,4127.15,4145.0,4146.5,4150.08,200657,83274286775000.0,21911,72793,0.3628
2021-06-15,BAJAJ-AUTO,EQ,4146.5,4155.0,4171.8,4131.1,4137.0,4138.1,4145.7,138010,57214784070000.01,15225,39381,0.2853
2021-06-16,BAJAJ-AUTO,EQ,4138.1,4138.1,4158.05,4102.0,4104.0,4110.45,4117.76,216236,89040740695000.0,23952,99572,0.46049999999999996
2021-06-17,BAJAJ-AUTO,EQ,4110.45,4120.0,4120.0,4042.05,4058.0,4053.9,4074.8,357704,145757286545000.0,31258,152610,0.4266
2021-06-18,BAJAJ-AUTO,EQ,4053.9,4055.0,4193.35,4030.0,4177.1,4167.1,4124.09,701993,289508324525000.0,51709,214444,0.3055
2021-06-21,BAJAJ-AUTO,EQ,4167.1,4153.0,4196.0,4106.45,4180.0,4182.65,4165.51,374649,156060362460000.0,34636,126381,0.3373
2021-06-22,BAJAJ-AUTO,EQ,4182.65,4183.3,4230.6,4155.3,4208.45,4221.6,4204.18,591793,248800220819999.97,37290,286065,0.48340000000000005
2021-06-23,BAJAJ-AUTO,EQ,4221.6,4230.0,4259.65,4191.25,4204.0,4198.6,4232.53,418053,176942245305000.0,30182,184138,0.4405
2021-06-24,BAJAJ-AUTO,EQ,4198.6,4190.0,4236.2,4156.75,4221.0,4226.9,4207.83,314542,132353957155000.0,25214,147029,0.46740000000000004
2021-06-25,BAJAJ-AUTO,EQ,4226.9,4220.0,4249.0,4178.0,4192.95,4196.15,4209.58,175051,73689155520000.0,21204,52146,0.2979
2021-06-28,BAJAJ-AUTO,EQ,4196.15,4196.15,4205.25,4166.0,4187.0,4183.45,4183.16,158954,66492974500000.0,15251,49126,0.3091
2021-06-29,BAJAJ-AUTO,EQ,4183.45,4185.0,4188.85,4117.0,4120.0,4124.65,4136.75,332405,137507563950000.0,34254,169691,0.5105
2021-06-30,BAJAJ-AUTO,EQ,4124.65,4130.0,4164.0,4119.8,4141.0,4133.85,4138.68,331122,137040730330000.0,29548,166900,0.504
2021-07-01,BAJAJ-AUTO,EQ,4133.85,4141.0,4250.0,4141.0,4205.95,4204.55,4215.71,755502,318497396130000.0,50847,149677,0.1981
2021-07-02,BAJAJ-AUTO,EQ,4204.55,4229.5,4229.5,4171.0,4184.0,4175.35,4186.83,375525,157226083600000.0,30043,184293,0.4908
2021-07-05,BAJAJ-AUTO,EQ,4175.35,4191.6,4249.9,4186.85,4200.0,4201.5,4211.24,375703,158217620845000.0,30560,180869,0.4814
2021-07-06,BAJAJ-AUTO,EQ,4201.5,4203.5,4249.0,4172.0,4198.0,4195.4,4209.04,515181,216841703010000.0,32705,243476,0.47259999999999996
2021-07-07,BAJAJ-AUTO,EQ,4195.4,4200.0,4224.0,4170.0,4195.0,4188.25,4187.16,392794,164469324995000.0,21705,216684,0.5516
2021-07-08,BAJAJ-AUTO,EQ,4188.25,4068.7,4118.4,4030.55,4073.0,4077.3,4086.14,625491,255584096444999.97,49455,185524,0.29660000000000003
2021-07-09,BAJAJ-AUTO,EQ,4077.3,4077.0,4079.95,3990.0,3998.95,3995.9,4014.54,656635,263608794760000.0,51281,291094,0.44329999999999997
2021-07-12,BAJAJ-AUTO,EQ,3995.9,4018.0,4030.0,3946.9,3964.0,3956.15,3983.97,512870,204326064550000.0,38898,241557,0.47100000000000003
2021-07-13,BAJAJ-AUTO,EQ,3956.15,3985.0,4019.7,3954.55,3967.8,3966.1,3986.73,614101,244825285175000.0,31449,301544,0.49100000000000005
2021-07-14,BAJAJ-AUTO,EQ,3966.1,3969.0,4003.1,3940.0,3958.0,3953.85,3965.14,527932,209332589580000.0,43752,273437,0.5179
2021-07-15,BAJAJ-AUTO,EQ,3953.85,3954.0,3969.95,3930.3,3943.0,3940.0,3944.76,310788,122598520375000.0,35301,148465,0.4777
