Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BAJAJFINSV,EQ,12155.65,11880.0,12008.8,11684.65,11798.05,11828.55,11799.58,514727,607356324315000.0,63620,157014,0.305
2021-06-08,BAJAJFINSV,EQ,11828.55,11900.0,11900.0,11670.0,11725.4,11733.1,11755.91,289609,340461841865000.0,36157,81783,0.2824
2021-06-09,BAJAJFINSV,EQ,11733.1,11740.0,11838.0,11430.5,11550.0,11558.85,11641.46,308286,358889864430000.0,40325,82845,0.2687
2021-06-10,BAJAJFINSV,EQ,11558.85,11551.0,12208.0,11500.35,12000.0,11993.1,11897.62,629998,749547457315000.0,76937,143235,0.2274
2021-06-11,BAJAJFINSV,EQ,11993.1,12000.0,12080.0,11852.9,11900.0,11907.5,11961.49,352994,422233578100000.0,44424,50407,0.1428
2021-06-14,BAJAJFINSV,EQ,11907.5,11851.0,12015.0,11671.65,11940.0,11926.15,11885.49,288785,343235032515000.0,38858,40491,0.1402
2021-06-15,BAJAJFINSV,EQ,11926.15,11949.0,12084.9,11765.0,11800.0,11798.7,11885.01,314841,374188908030000.0,41211,89742,0.28500000000000003
2021-06-16,BAJAJFINSV,EQ,11798.7,11810.0,11985.0,11775.0,11860.0,11856.15,11881.36,247539,294110119870000.0,30795,38930,0.1573
2021-06-17,BAJAJFINSV,EQ,11856.15,11750.0,11937.2,11739.95,11810.0,11818.55,11844.53,220170,260781109350000.0,28670,48013,0.2181
2021-06-18,BAJAJFINSV,EQ,11818.55,11860.0,12100.0,11720.85,11995.0,11999.35,11931.15,489567,584109957940000.0,60420,103584,0.2116
2021-06-21,BAJAJFINSV,EQ,11999.35,11800.0,12199.75,11776.85,12161.15,12156.4,12034.21,294853,354832298670000.0,37498,50065,0.1698
2021-06-22,BAJAJFINSV,EQ,12156.4,12199.0,12266.0,12081.0,12138.0,12131.65,12171.12,274923,334612055765000.0,35329,55182,0.20070000000000002
2021-06-23,BAJAJFINSV,EQ,12131.65,12225.0,12400.0,12080.0,12287.85,12282.25,12268.47,378555,464429057495000.0,45449,70512,0.1863
2021-06-24,BAJAJFINSV,EQ,12282.25,12282.25,12396.0,12165.0,12395.0,12333.25,12277.01,278573,342004368570000.0,35702,66204,0.2377
2021-06-25,BAJAJFINSV,EQ,12333.25,12355.0,12520.0,12320.5,12465.0,12486.6,12446.19,218717,272219296494999.97,27439,45493,0.20800000000000002
2021-06-28,BAJAJFINSV,EQ,12486.6,12500.0,12519.6,12320.0,12380.0,12377.9,12405.85,165517,205337902610000.0,25547,41161,0.2487
2021-06-29,BAJAJFINSV,EQ,12377.9,12389.0,12490.0,12271.05,12300.0,12299.9,12374.41,157178,194498499450000.0,22352,32923,0.2095
2021-06-30,BAJAJFINSV,EQ,12299.9,12346.0,12369.55,12065.0,12076.2,12109.05,12210.14,231546,282720962675000.0,35279,96523,0.4169
2021-07-01,BAJAJFINSV,EQ,12109.05,12198.0,12198.0,11801.0,11839.0,11816.45,11941.36,321521,383939872455000.0,43679,116091,0.3611
2021-07-02,BAJAJFINSV,EQ,11816.45,11969.0,11969.0,11651.0,11766.0,11750.45,11746.14,355437,417501367070000.0,42660,115223,0.32420000000000004
2021-07-05,BAJAJFINSV,EQ,11750.45,11799.0,11942.0,11799.0,11905.4,11923.1,11886.83,155869,185278804455000.0,22350,26476,0.1699
2021-07-06,BAJAJFINSV,EQ,11923.1,11890.0,12282.35,11871.3,12090.2,12090.8,12089.82,320522,387505354525000.0,49330,72112,0.225
2021-07-07,BAJAJFINSV,EQ,12090.8,12000.0,12399.0,12000.0,12334.95,12374.15,12293.8,404800,497652949555000.0,57942,88752,0.21920000000000003
2021-07-08,BAJAJFINSV,EQ,12374.15,12320.0,12450.0,12240.0,12351.0,12333.9,12346.54,206630,255116539050000.0,24790,44473,0.2152
2021-07-09,BAJAJFINSV,EQ,12333.9,12351.0,12912.0,12345.0,12775.15,12854.75,12704.09,791922,1006064930904999.9,82004,184868,0.2334
2021-07-12,BAJAJFINSV,EQ,12854.75,12888.95,12945.4,12738.95,12875.0,12908.9,12830.91,409158,524987133580000.0,48684,149283,0.3649
2021-07-13,BAJAJFINSV,EQ,12908.9,12902.4,12998.8,12805.0,12900.55,12909.4,12891.51,274181,353460701730000.0,37243,89210,0.3254
2021-07-14,BAJAJFINSV,EQ,12909.4,12862.5,13033.0,12851.5,12980.0,12991.2,12962.49,240151,311295509090000.0,31091,72964,0.3038
2021-07-15,BAJAJFINSV,EQ,12991.2,12976.0,13110.0,12922.0,12950.0,12958.95,13000.37,177991,231394802760000.0,27078,31916,0.1793
2021-07-16,BAJAJFINSV,EQ,12958.95,12958.95,13025.0,12725.75,12766.25,12745.7,12850.15,252782,324828591140000.0,34235,97034,0.3839
2021-07-19,BAJAJFINSV,EQ,12745.7,12680.0,12820.0,12643.2,12725.0,12721.1,12727.68,188197,239531071190000.0,26561,48892,0.25980000000000003
2021-07-20,BAJAJFINSV,EQ,12721.1,12725.0,12771.0,12536.55,12613.0,12597.15,12638.43,145137,183430433775000.0,28418,25050,0.17260000000000003
2021-07-22,BAJAJFINSV,EQ,12597.15,12310.1,13100.0,12300.05,13051.85,13064.6,12904.12,524877,677307386755000.0,81198,89474,0.1705
2021-07-23,BAJAJFINSV,EQ,13064.6,13044.0,13243.95,12945.05,13208.0,13201.2,13136.76,289870,380795326510000.0,46244,52112,0.17980000000000002
