Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BAJFINANCE,EQ,5993.45,5800.0,5843.85,5682.45,5726.0,5729.75,5736.35,2835805,1626717980340000.0,218182,976264,0.3443
2021-06-08,BAJFINANCE,EQ,5729.75,5751.0,5817.0,5720.15,5746.85,5755.4,5770.67,1789007,1032377267675000.0,103759,442611,0.24739999999999998
2021-06-09,BAJFINANCE,EQ,5755.4,5795.0,5795.0,5627.3,5672.0,5674.5,5707.64,1538112,877899670060000.0,95674,381889,0.2483
2021-06-10,BAJFINANCE,EQ,5674.5,5715.0,6115.0,5677.0,6109.8,6086.4,5946.0,5296120,3149072542790000.0,303049,1092297,0.20620000000000002
2021-06-11,BAJFINANCE,EQ,6086.4,6105.35,6230.0,6045.2,6115.0,6120.0,6150.03,3702721,2277184742140000.0,226221,429052,0.1159
2021-06-14,BAJFINANCE,EQ,6120.0,6069.7,6249.0,5975.6,6198.95,6194.15,6151.86,2633601,1620154809795000.0,167342,287338,0.1091
2021-06-15,BAJFINANCE,EQ,6194.15,6219.0,6239.8,6150.0,6157.95,6161.15,6187.26,1523661,942728816854999.9,103078,382660,0.2511
2021-06-16,BAJFINANCE,EQ,6161.15,6140.0,6160.9,6062.8,6096.0,6081.6,6108.74,1481658,905106063695000.1,88957,519408,0.3506
2021-06-17,BAJFINANCE,EQ,6081.6,5920.0,6115.0,5920.0,6034.0,6050.25,6050.61,1871857,1132587216785000.0,104459,499038,0.2666
2021-06-18,BAJFINANCE,EQ,6050.25,6089.9,6148.0,5965.05,6086.4,6087.05,6063.64,2709615,1643014179235000.0,136543,953165,0.3518
2021-06-21,BAJFINANCE,EQ,6087.05,6000.0,6135.0,5987.1,6115.1,6116.0,6095.39,1271962,775310346950000.0,75077,227102,0.17850000000000002
2021-06-22,BAJFINANCE,EQ,6116.0,6150.0,6189.0,6000.0,6018.0,6016.8,6067.34,1540611,934741053654999.9,140096,511736,0.3322
2021-06-23,BAJFINANCE,EQ,6016.8,6051.0,6115.0,6001.0,6014.35,6015.6,6061.29,1238215,750517595975000.0,90459,167325,0.1351
2021-06-24,BAJFINANCE,EQ,6015.6,6027.0,6108.0,6011.0,6044.95,6043.6,6062.67,1082421,656235722070000.0,72045,215136,0.1988
2021-06-25,BAJFINANCE,EQ,6043.6,6057.0,6107.0,6030.2,6070.0,6075.8,6069.71,961994,583902752815000.0,72155,205228,0.2133
2021-06-28,BAJFINANCE,EQ,6075.8,6100.0,6117.7,6015.0,6043.0,6037.05,6046.79,828481,500965098810000.06,57735,177673,0.2145
2021-06-29,BAJFINANCE,EQ,6037.05,6040.0,6137.65,6002.1,6052.0,6052.4,6074.61,1310079,795821857615000.0,81835,318904,0.2434
2021-06-30,BAJFINANCE,EQ,6052.4,6050.0,6125.0,6000.0,6009.0,6015.85,6071.99,1225794,744301452085000.0,84682,363494,0.2965
2021-07-01,BAJFINANCE,EQ,6015.85,6040.0,6040.0,5940.0,5975.0,5967.15,5984.02,1120601,670569509525000.0,76301,270861,0.24170000000000003
2021-07-02,BAJFINANCE,EQ,5967.15,6000.0,6030.0,5965.0,5999.4,5997.75,5998.76,811298,486678421345000.0,62216,142208,0.1753
2021-07-05,BAJFINANCE,EQ,5997.75,6029.0,6095.95,6006.05,6070.0,6072.7,6060.54,863179,523133351085000.06,54644,140636,0.1629
2021-07-06,BAJFINANCE,EQ,6072.7,6055.0,6342.8,6053.0,6204.0,6202.4,6218.03,3491393,2170959724070000.0,181283,1039388,0.2977
2021-07-07,BAJFINANCE,EQ,6202.4,6220.0,6286.0,6160.4,6190.0,6198.6,6216.78,1947925,1210981788530000.0,117181,571253,0.2933
2021-07-08,BAJFINANCE,EQ,6198.6,6180.0,6220.9,6080.4,6119.95,6117.8,6146.28,1130560,694874234685000.0,77633,337543,0.2986
2021-07-09,BAJFINANCE,EQ,6117.8,6083.0,6171.0,6061.05,6129.45,6136.15,6126.39,1447544,886822004670000.1,100618,426107,0.2944
2021-07-12,BAJFINANCE,EQ,6136.15,6175.0,6198.9,6103.6,6144.0,6149.55,6158.97,978740,602802834715000.0,73823,243123,0.2484
2021-07-13,BAJFINANCE,EQ,6149.55,6185.0,6225.0,6140.0,6146.0,6154.3,6171.9,1002127,618503150870000.0,72552,335230,0.3345
2021-07-14,BAJFINANCE,EQ,6154.3,6150.0,6182.0,6120.0,6134.95,6133.9,6145.23,776574,477222537475000.0,54246,232220,0.299
2021-07-15,BAJFINANCE,EQ,6133.9,6133.9,6177.2,6102.0,6121.8,6129.7,6139.75,870990,534766266600000.0,71716,260205,0.2987
2021-07-16,BAJFINANCE,EQ,6129.7,6125.0,6190.0,6097.2,6130.0,6125.45,6140.17,963121,591373097300000.0,66589,287733,0.2988
2021-07-19,BAJFINANCE,EQ,6125.45,6088.0,6123.0,5935.0,6020.0,6015.4,6041.91,1290532,779727736000000.0,97115,454470,0.3522
2021-07-20,BAJFINANCE,EQ,6015.4,6020.0,6027.95,5868.0,5965.15,5941.85,5959.31,1401837,835398559895000.0,114178,273763,0.19530000000000003
2021-07-22,BAJFINANCE,EQ,5941.85,5930.0,6244.0,5921.15,6189.0,6195.55,6178.56,3488591,2155447435500000.0,219286,1327059,0.3804
2021-07-23,BAJFINANCE,EQ,6195.55,6189.0,6225.0,6140.0,6177.05,6180.9,6193.63,953739,590710352300000.0,80602,314033,0.3293
2021-07-26,BAJFINANCE,EQ,6180.9,6150.0,6198.3,6130.0,6159.15,6162.45,6164.87,733502,452194799445000.0,67640,241315,0.329
2021-07-27,BAJFINANCE,EQ,6162.45,6180.0,6327.0,6175.0,6231.1,6231.45,6265.46,2068528,1296027943480000.0,133499,723850,0.34990000000000004
2021-07-28,BAJFINANCE,EQ,6231.45,6257.9,6284.0,6157.0,6248.0,6262.0,6232.74,1149153,716237483860000.0,90974,409696,0.3565
2021-07-29,BAJFINANCE,EQ,6262.0,6289.95,6430.0,6264.05,6394.0,6400.1,6348.02,1484664,942467948810000.0,113518,459968,0.3098
2021-07-30,BAJFINANCE,EQ,6400.1,6416.85,6416.85,6212.2,6231.95,6228.1,6290.35,1406885,884980082840000.0,99238,729437,0.5185000000000001
2021-08-02,BAJFINANCE,EQ,6228.1,6270.0,6283.95,6170.0,6202.45,6200.5,6220.93,1012435,629828336530000.0,91701,367327,0.3628
2021-08-03,BAJFINANCE,EQ,6200.5,6215.0,6342.0,6206.0,6315.2,6331.9,6280.01,1091710,685594738375000.0,82903,410452,0.376
2021-08-04,BAJFINANCE,EQ,6331.9,6343.0,6477.45,6315.0,6354.0,6359.15,6388.51,1632091,1042662415515000.0,103919,424544,0.2601
2021-08-05,BAJFINANCE,EQ,6359.15,6354.0,6355.5,6232.0,6248.0,6248.25,6276.51,866567,543901652670000.0,79005,378032,0.4362
2021-08-06,BAJFINANCE,EQ,6248.25,6285.0,6299.5,6211.0,6225.0,6224.3,6245.91,729789,455819957385000.06,52838,267210,0.3661
2021-08-09,BAJFINANCE,EQ,6224.3,6225.0,6269.95,6136.05,6189.95,6193.15,6209.18,881179,547140092795000.0,67025,306591,0.3479
2021-08-10,BAJFINANCE,EQ,6193.15,6225.0,6248.45,6142.05,6167.0,6170.1,6192.01,731009,452641799835000.06,58374,204049,0.2791
2021-08-11,BAJFINANCE,EQ,6170.1,6176.1,6199.95,6057.0,6161.0,6167.8,6130.51,791929,485493105939999.94,70341,157143,0.1984
2021-08-12,BAJFINANCE,EQ,6167.8,6181.0,6254.9,6151.25,6193.0,6199.5,6212.18,794602,493621427414999.94,62309,272040,0.34240000000000004
2021-08-13,BAJFINANCE,EQ,6199.5,6210.0,6228.85,6131.0,6149.0,6156.55,6166.45,667932,411877133840000.0,61446,223599,0.3348
2021-08-16,BAJFINANCE,EQ,6156.55,6149.0,6395.0,6103.85,6363.05,6377.15,6281.61,1423335,894084055310000.0,106190,365632,0.2569
2021-08-17,BAJFINANCE,EQ,6377.15,6409.95,6436.85,6305.0,6407.0,6410.1,6379.06,1602776,1022420905004999.9,121823,515148,0.3214
2021-08-18,BAJFINANCE,EQ,6410.1,6434.0,6640.0,6406.05,6544.0,6544.1,6548.73,2153730,1410419703885000.0,148858,594582,0.2761
2021-08-20,BAJFINANCE,EQ,6544.1,6471.95,6732.7,6455.65,6637.0,6661.1,6631.33,2164732,1435504784430000.0,168099,655989,0.303
2021-08-23,BAJFINANCE,EQ,6661.1,6740.0,6819.5,6697.0,6735.6,6752.2,6764.26,1738340,1175859238940000.0,135406,444543,0.2557
2021-08-24,BAJFINANCE,EQ,6752.2,6775.0,7049.0,6727.95,6980.0,6980.1,6924.63,2622990,1816324820334999.8,205179,487752,0.18600000000000003
2021-08-25,BAJFINANCE,EQ,6980.1,7005.0,7054.0,6921.0,6925.0,6944.95,6979.51,1509667,1053674200410000.0,111509,406934,0.2696
2021-08-26,BAJFINANCE,EQ,6944.95,6900.0,6993.25,6855.0,6960.4,6931.95,6915.21,1234588,853743071460000.0,109191,358648,0.29050000000000004
2021-08-27,BAJFINANCE,EQ,6931.95,6950.0,7024.35,6872.0,6949.05,6966.6,6945.05,935906,649991721505000.0,75108,178000,0.1902
2021-08-30,BAJFINANCE,EQ,6966.6,6995.95,7197.0,6980.0,7151.05,7165.5,7130.56,1504382,1072707863579999.9,103690,369389,0.24550000000000002
2021-08-31,BAJFINANCE,EQ,7165.5,7160.0,7598.8,7130.0,7529.0,7524.5,7369.07,2946438,2171250207509999.8,167138,991013,0.33630000000000004
2021-09-01,BAJFINANCE,EQ,7524.5,7525.0,7674.5,7483.35,7497.0,7519.6,7550.97,2227789,1682197663705000.0,176999,743558,0.33380000000000004
2021-09-02,BAJFINANCE,EQ,7519.6,7500.0,7586.4,7445.05,7502.0,7498.45,7508.11,1183378,888492766110000.0,106799,434898,0.3675
2021-09-03,BAJFINANCE,EQ,7498.45,7500.0,7555.0,7461.75,7520.55,7523.4,7507.82,880247,660873289100000.0,90356,271539,0.3085
2021-09-06,BAJFINANCE,EQ,7523.4,7550.0,7615.0,7485.1,7514.95,7506.35,7536.4,897071,676068863610000.0,79789,277082,0.3089
2021-09-07,BAJFINANCE,EQ,7506.35,7528.9,7566.25,7407.2,7448.95,7457.3,7469.59,836013,624467771860000.0,81458,271746,0.325
2021-09-08,BAJFINANCE,EQ,7457.3,7457.0,7514.0,7411.05,7452.85,7463.2,7465.2,859256,641452082405000.0,80729,321899,0.37460000000000004
2021-09-09,BAJFINANCE,EQ,7463.2,7430.0,7460.0,7380.0,7428.0,7430.65,7418.62,700436,519626953625000.0,65504,288857,0.41240000000000004
