Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BHARTIARTL,EQ,532.7,534.0,541.0,533.0,536.3,536.45,537.66,9496183,510574129730000.0,125647,5043062,0.5311
2021-06-08,BHARTIARTL,EQ,536.45,538.1,548.0,534.0,547.5,546.8,541.3,12586649,681311686475000.0,141711,6511061,0.5173
2021-06-09,BHARTIARTL,EQ,546.8,549.9,551.5,535.35,539.9,540.0,544.6,12440819,677529966930000.0,136020,6043393,0.4858
2021-06-10,BHARTIARTL,EQ,540.0,543.9,547.85,540.35,545.0,545.15,544.66,6888855,375209065765000.0,70634,3770725,0.5474
2021-06-11,BHARTIARTL,EQ,545.15,545.5,549.75,540.05,541.5,540.85,544.2,7634036,415442654705000.0,92073,4304026,0.5638000000000001
2021-06-14,BHARTIARTL,EQ,540.85,540.85,540.85,529.3,539.5,539.35,536.56,5609077,300962390640000.0,68150,2583845,0.4607
2021-06-15,BHARTIARTL,EQ,539.35,541.0,543.65,538.4,541.65,542.5,541.67,7130896,386261235705000.0,98569,3829045,0.537
2021-06-16,BHARTIARTL,EQ,542.5,543.8,543.8,534.9,536.0,536.75,537.92,9860470,530412667505000.0,101959,5870976,0.5954
2021-06-17,BHARTIARTL,EQ,536.75,539.5,541.25,527.05,528.2,528.65,533.54,10026485,534955737664999.94,116401,5258372,0.5244
2021-06-18,BHARTIARTL,EQ,528.65,531.4,541.9,519.0,540.55,538.75,530.78,14723907,781521301790000.0,158567,7434031,0.5049
2021-06-21,BHARTIARTL,EQ,538.75,535.0,541.9,533.0,539.25,539.6,538.76,5637000,303701391600000.0,83637,1830285,0.3247
2021-06-22,BHARTIARTL,EQ,539.6,548.05,549.0,535.5,536.4,536.4,540.63,8946586,483675931914999.94,120508,2842659,0.3177
2021-06-23,BHARTIARTL,EQ,536.4,538.0,539.2,532.7,533.9,534.05,536.06,4679563,250852663180000.03,63718,1894079,0.4048
2021-06-24,BHARTIARTL,EQ,534.05,535.0,535.45,527.4,529.8,528.75,530.25,6301610,334144118560000.0,75005,3107452,0.49310000000000004
2021-06-25,BHARTIARTL,EQ,528.75,531.3,535.9,529.35,534.5,535.1,533.16,5402768,288056607445000.0,63409,2562118,0.4742
2021-06-28,BHARTIARTL,EQ,535.1,537.0,537.0,530.45,531.5,531.2,532.38,5168753,275175679585000.0,79465,2848462,0.5511
2021-06-29,BHARTIARTL,EQ,531.2,531.25,532.25,524.0,525.9,524.95,527.41,8553386,451115875589999.94,136722,5373552,0.6282
2021-06-30,BHARTIARTL,EQ,524.95,527.0,530.4,524.35,528.0,525.65,527.41,5654391,298219188190000.0,105020,2810329,0.49700000000000005
2021-07-01,BHARTIARTL,EQ,525.65,529.0,531.0,522.0,523.2,522.65,524.74,6454014,338669376115000.0,129105,3227982,0.5002000000000001
2021-07-02,BHARTIARTL,EQ,522.65,525.6,533.0,520.0,525.45,525.0,527.31,13063791,688861424315000.0,179216,4224394,0.3234
2021-07-05,BHARTIARTL,EQ,525.0,528.0,528.5,523.3,524.1,523.95,525.41,6256128,328702102345000.0,129389,3502031,0.5598
2021-07-06,BHARTIARTL,EQ,523.95,523.5,527.7,521.1,527.0,526.1,524.44,10300966,540223076810000.06,140103,6244902,0.6062
2021-07-07,BHARTIARTL,EQ,526.1,523.2,530.6,523.2,530.2,529.6,528.95,6546286,346265068955000.0,114175,3742069,0.5716
2021-07-08,BHARTIARTL,EQ,529.6,530.0,532.8,523.55,525.5,525.3,528.35,5301428,280099121480000.03,70695,2926722,0.5521
