Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BPCL,EQ,478.25,480.8,485.4,478.75,481.45,481.4,482.79,6261695,302309362335000.0,62319,2989111,0.47740000000000005
2021-06-08,BPCL,EQ,481.4,483.8,489.7,476.25,489.5,487.45,483.19,7599482,367202591825000.0,80115,2929925,0.38549999999999995
2021-06-09,BPCL,EQ,487.45,492.0,493.9,481.5,484.8,485.05,488.97,9490181,464040119820000.0,101469,4155349,0.4379
2021-06-10,BPCL,EQ,485.05,486.25,487.5,482.75,483.65,483.55,484.77,3694317,179088033515000.0,44471,1918386,0.5193
2021-06-11,BPCL,EQ,483.55,485.7,489.5,481.7,483.95,483.6,485.5,3719254,180568295060000.0,43140,1656483,0.4454
2021-06-14,BPCL,EQ,483.6,483.95,485.0,476.0,483.3,483.7,482.41,3618826,174576201125000.0,49244,1678474,0.46380000000000005
2021-06-15,BPCL,EQ,483.7,485.0,487.25,480.8,482.5,481.9,484.35,3253680,157593008315000.0,42546,1365094,0.41960000000000003
2021-06-16,BPCL,EQ,481.9,483.45,484.9,479.05,480.7,481.25,482.06,3997462,192701447385000.0,52204,1673574,0.41869999999999996
2021-06-17,BPCL,EQ,481.25,477.95,482.9,476.3,476.9,476.9,479.11,3325538,159328500425000.0,49717,1716258,0.5161
2021-06-18,BPCL,EQ,476.9,480.0,480.1,466.75,473.0,472.35,471.85,5291888,249697405415000.0,73408,2397242,0.45299999999999996
2021-06-21,BPCL,EQ,472.35,471.7,475.8,468.5,475.25,475.05,473.27,2698544,127712676009999.98,40315,845714,0.3134
2021-06-22,BPCL,EQ,475.05,477.5,478.75,472.8,473.1,473.65,475.83,2776710,132122947909999.98,36183,969061,0.349
2021-06-23,BPCL,EQ,473.65,474.0,475.0,469.15,469.9,469.6,471.44,2463779,116153447080000.0,30778,1326655,0.5385
2021-06-24,BPCL,EQ,469.6,469.5,470.5,465.1,467.0,466.1,467.54,4231105,197822097655000.0,49331,2354726,0.5565
2021-06-25,BPCL,EQ,466.1,468.4,472.1,466.2,469.85,470.05,469.72,2952120,138668220475000.0,36451,1513449,0.5127
2021-06-28,BPCL,EQ,470.05,471.0,472.0,466.55,467.5,467.15,468.48,2167160,101527778065000.0,40535,1151549,0.5314
2021-06-29,BPCL,EQ,467.15,469.0,469.5,465.0,466.7,466.25,467.06,2960797,138287650725000.0,37290,1573398,0.5314
2021-06-30,BPCL,EQ,466.25,467.0,470.65,466.0,468.5,468.1,468.57,2962317,138805507095000.0,43811,1657194,0.5594
