Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,BRITANNIA,EQ,3489.3,3506.5,3555.0,3478.5,3544.0,3542.6,3523.4,357312,125895382380000.0,29706,201670,0.5644
2021-06-08,BRITANNIA,EQ,3542.6,3544.5,3622.0,3542.6,3597.35,3601.75,3600.5,787313,283471799365000.0,59711,431761,0.5484
2021-06-09,BRITANNIA,EQ,3601.75,3598.0,3608.35,3557.1,3570.0,3574.7,3584.6,546202,195791402865000.0,45168,306263,0.5607
2021-06-10,BRITANNIA,EQ,3574.7,3571.0,3611.6,3555.0,3573.5,3576.3,3587.78,355092,127399030780000.0,34178,198600,0.5593
2021-06-11,BRITANNIA,EQ,3576.3,3575.0,3595.0,3551.0,3553.3,3557.9,3565.08,301375,107442571170000.0,32553,163598,0.5428000000000001
2021-06-14,BRITANNIA,EQ,3557.9,3557.9,3598.0,3510.45,3595.0,3591.25,3562.97,312420,111314335540000.02,28472,137693,0.44070000000000004
2021-06-15,BRITANNIA,EQ,3591.25,3593.35,3640.5,3593.0,3631.0,3631.85,3619.67,451019,163253984355000.0,31658,257986,0.5720000000000001
2021-06-16,BRITANNIA,EQ,3631.85,3631.05,3644.8,3605.05,3629.5,3639.45,3629.35,232534,84394763230000.0,20134,92948,0.3997
2021-06-17,BRITANNIA,EQ,3639.45,3625.9,3663.0,3609.5,3656.45,3658.15,3646.5,300185,109462467900000.0,29887,135471,0.45130000000000003
2021-06-18,BRITANNIA,EQ,3658.15,3661.4,3679.0,3595.0,3624.95,3619.2,3631.07,731807,265724109915000.0,42403,427899,0.5847
2021-06-21,BRITANNIA,EQ,3619.2,3600.0,3653.95,3581.1,3650.0,3648.85,3631.63,231475,84063170215000.0,20888,108469,0.4686
2021-06-22,BRITANNIA,EQ,3648.85,3650.0,3665.0,3616.0,3650.0,3650.9,3642.57,235555,85802624030000.0,27089,121364,0.5152
2021-06-23,BRITANNIA,EQ,3650.9,3652.0,3684.3,3631.0,3661.95,3659.3,3666.56,378997,138961350195000.0,43869,204753,0.5402
2021-06-24,BRITANNIA,EQ,3659.3,3659.3,3704.85,3651.0,3682.25,3689.1,3687.47,385390,142111579460000.0,29542,179832,0.46659999999999996
2021-06-25,BRITANNIA,EQ,3689.1,3709.9,3709.9,3644.9,3665.0,3670.05,3668.69,176772,64852193200000.0,21789,60405,0.3417
2021-06-28,BRITANNIA,EQ,3670.05,3670.05,3685.0,3643.0,3674.0,3667.25,3663.01,181793,66590992754999.99,18592,90092,0.49560000000000004
2021-06-29,BRITANNIA,EQ,3667.25,3655.0,3667.1,3610.05,3654.2,3657.15,3642.45,357263,130131355690000.02,27975,134537,0.3766
2021-06-30,BRITANNIA,EQ,3657.15,3675.0,3690.0,3632.95,3652.9,3649.65,3651.83,428387,156439569005000.0,22172,283855,0.6626000000000001
2021-07-01,BRITANNIA,EQ,3649.65,3640.0,3661.0,3580.65,3596.95,3595.8,3619.07,612678,221732388850000.0,23396,452927,0.7393000000000001
2021-07-02,BRITANNIA,EQ,3595.8,3609.0,3609.0,3535.0,3552.0,3545.3,3554.02,292855,104081117725000.0,26301,157282,0.5371
2021-07-05,BRITANNIA,EQ,3545.3,3564.0,3584.5,3512.4,3527.0,3523.55,3535.81,519061,183529980195000.0,27017,349912,0.6741
2021-07-06,BRITANNIA,EQ,3523.55,3526.0,3533.85,3508.65,3520.9,3519.0,3519.85,282115,99300265415000.0,18727,171091,0.6065
2021-07-07,BRITANNIA,EQ,3519.0,3521.0,3542.0,3506.0,3536.95,3521.35,3523.81,524482,184817590980000.0,27047,285188,0.5438000000000001
2021-07-08,BRITANNIA,EQ,3521.35,3499.0,3525.9,3473.25,3490.0,3491.4,3490.12,627227,218909478025000.0,37324,401573,0.6402
2021-07-09,BRITANNIA,EQ,3491.4,3491.0,3518.0,3468.0,3479.0,3475.95,3484.07,595359,207427125145000.0,29722,374755,0.6295000000000001
