Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,CIPLA,EQ,946.4,951.75,951.75,937.55,939.0,939.8,940.98,2028426,190870430570000.0,41121,921159,0.45409999999999995
2021-06-08,CIPLA,EQ,939.8,939.8,955.0,931.85,954.0,953.75,944.81,2278534,215277134700000.0,46874,725742,0.3185
2021-06-09,CIPLA,EQ,953.75,954.8,975.0,950.2,960.0,958.65,963.78,5498857,529969341395000.0,106962,1247871,0.22690000000000002
2021-06-10,CIPLA,EQ,958.65,960.95,975.0,960.0,974.6,974.2,971.84,4754350,462045196155000.0,88873,1776831,0.3737
2021-06-11,CIPLA,EQ,974.2,975.0,982.3,965.5,967.65,967.85,972.84,3480545,338600712795000.0,69016,1135069,0.3261
2021-06-14,CIPLA,EQ,967.85,972.7,979.0,957.0,975.7,976.15,972.49,2377279,231188831130000.03,56344,711877,0.2995
2021-06-15,CIPLA,EQ,976.15,975.0,978.85,967.15,968.25,969.7,971.49,1289684,125291961895000.0,39842,435407,0.3376
2021-06-16,CIPLA,EQ,969.7,969.0,971.15,953.8,956.0,956.75,962.58,1684500,162146674255000.0,36115,781474,0.46390000000000003
2021-06-17,CIPLA,EQ,956.75,955.0,959.75,943.5,948.0,950.95,950.62,2429291,230933357415000.0,67077,1185779,0.48810000000000003
2021-06-18,CIPLA,EQ,950.95,950.95,967.65,945.35,964.7,960.9,958.49,4978288,477166246095000.0,89522,2463996,0.4949
2021-06-21,CIPLA,EQ,960.9,958.0,962.7,950.5,960.05,960.15,957.99,1625660,155737025425000.0,41017,610240,0.3754
2021-06-22,CIPLA,EQ,960.15,956.2,960.9,949.15,955.0,955.85,953.58,2344400,223557208635000.0,53630,929476,0.3965
2021-06-23,CIPLA,EQ,955.85,956.0,966.0,954.2,959.0,957.75,959.5,1807471,173427198195000.0,46433,684265,0.3786
2021-06-24,CIPLA,EQ,957.75,957.8,958.7,944.0,952.55,950.9,949.82,1769651,168084348000000.0,70701,840399,0.47490000000000004
2021-06-25,CIPLA,EQ,950.9,951.0,961.0,948.95,958.25,957.1,954.32,2134441,203694844180000.0,49781,965483,0.4523
2021-06-28,CIPLA,EQ,957.1,962.0,971.35,957.1,964.0,963.05,965.81,1759671,169950270115000.0,66788,465415,0.2645
2021-06-29,CIPLA,EQ,963.05,964.0,989.0,960.05,980.0,979.6,975.11,4300755,419372285625000.0,104221,986741,0.22940000000000002
2021-06-30,CIPLA,EQ,979.6,992.2,997.0,969.15,971.05,971.9,979.87,7195632,705076312365000.0,150666,1402141,0.1949
2021-07-01,CIPLA,EQ,971.9,977.2,980.0,967.2,979.0,978.1,974.49,2291137,223269273090000.0,58009,797296,0.348
2021-07-02,CIPLA,EQ,978.1,981.85,985.8,975.1,978.05,979.2,979.76,1421148,139237842770000.0,48153,528904,0.3722
2021-07-05,CIPLA,EQ,979.2,979.3,983.85,973.1,975.0,974.7,977.59,1286458,125763208615000.02,34876,527477,0.41000000000000003
2021-07-06,CIPLA,EQ,974.7,975.0,975.0,964.75,969.0,969.1,969.29,1157576,112202332265000.02,30461,388230,0.3354
2021-07-07,CIPLA,EQ,969.1,968.0,968.95,961.0,965.5,965.2,964.97,1740439,167947163065000.0,44412,1007025,0.5786
2021-07-08,CIPLA,EQ,965.2,965.5,968.0,944.8,951.2,950.65,953.81,1662518,158572305055000.0,40355,724536,0.43579999999999997
2021-07-09,CIPLA,EQ,950.65,952.0,965.6,949.95,960.5,959.8,958.03,1301555,124692858705000.0,40621,316543,0.2432
2021-07-12,CIPLA,EQ,959.8,960.0,967.95,955.85,959.0,959.85,960.11,1122802,107801758790000.02,31659,336957,0.30010000000000003
2021-07-13,CIPLA,EQ,959.85,962.2,969.85,956.05,965.0,965.65,964.96,1317621,127145104950000.0,51485,556627,0.42240000000000005
2021-07-14,CIPLA,EQ,965.65,961.1,978.4,961.1,975.15,977.15,971.9,1729994,168137452390000.0,47793,713068,0.4122
2021-07-15,CIPLA,EQ,977.15,979.0,981.0,972.05,973.5,973.6,975.14,979315,95497186290000.0,38960,484464,0.4947
2021-07-16,CIPLA,EQ,973.6,973.6,989.9,973.6,975.0,977.15,982.39,2087320,205055901190000.0,70712,601252,0.28800000000000003
