Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,COALINDIA,EQ,153.1,156.0,158.85,155.45,156.7,156.25,156.89,31071589,487491815514999.94,141578,7620457,0.24530000000000002
2021-06-08,COALINDIA,EQ,156.25,157.4,157.5,152.8,156.0,156.0,155.33,12874065,199974692900000.0,67399,3167209,0.24600000000000002
2021-06-09,COALINDIA,EQ,156.0,157.0,161.4,155.2,157.2,156.4,158.18,30443113,481557203225000.0,127783,8451515,0.2776
2021-06-10,COALINDIA,EQ,156.4,157.1,158.75,155.75,156.55,156.5,157.18,11459484,180115109830000.0,53957,3563014,0.3109
2021-06-11,COALINDIA,EQ,156.5,157.0,165.0,156.65,162.25,162.65,162.74,61728565,1004552448895000.1,290266,12613581,0.2043
2021-06-14,COALINDIA,EQ,162.65,164.0,164.0,155.55,159.2,159.35,159.37,30836595,491442183225000.0,134152,7157404,0.2321
2021-06-15,COALINDIA,EQ,159.35,161.1,161.85,156.75,157.1,157.15,158.26,30153988,477210132775000.0,135507,7182181,0.2382
2021-06-16,COALINDIA,EQ,157.15,157.3,158.8,154.85,155.2,155.55,156.82,14098443,221091568040000.0,73166,3653177,0.2591
2021-06-17,COALINDIA,EQ,155.55,155.0,155.4,151.4,152.3,152.15,153.27,15784276,241920833355000.03,86134,4807827,0.30460000000000004
2021-06-18,COALINDIA,EQ,152.15,153.0,153.8,145.1,147.0,146.4,147.81,24823176,366909580700000.0,139988,9984953,0.4022
2021-06-21,COALINDIA,EQ,146.4,146.0,148.0,143.5,147.9,147.5,145.72,15038290,219134047675000.0,86492,4721386,0.314
2021-06-22,COALINDIA,EQ,147.5,148.9,149.5,147.8,148.8,148.7,148.9,12494441,186046279255000.0,60967,4556454,0.36469999999999997
2021-06-23,COALINDIA,EQ,148.7,149.85,150.6,148.15,148.4,148.45,149.41,7983220,119279658625000.0,55211,2336868,0.2927
2021-06-24,COALINDIA,EQ,148.45,148.45,149.1,146.0,146.75,146.4,147.25,12929173,190376412190000.0,57491,6041449,0.4673
2021-06-25,COALINDIA,EQ,146.4,146.75,149.25,146.75,148.75,148.75,148.06,7400514,109574304155000.0,42901,2340906,0.31629999999999997
2021-06-28,COALINDIA,EQ,148.75,147.1,149.0,147.0,147.1,147.2,147.75,8217659,121416380715000.02,49061,3368783,0.40990000000000004
2021-06-29,COALINDIA,EQ,147.2,147.1,147.9,143.95,145.6,144.5,145.06,21576435,312995504320000.0,65579,13023709,0.6036
2021-06-30,COALINDIA,EQ,144.5,145.6,147.4,145.1,146.35,146.65,146.5,12919448,189273527290000.0,59616,4515298,0.34950000000000003
2021-07-01,COALINDIA,EQ,146.65,146.6,147.3,145.5,145.75,145.65,146.08,5668038,82797890505000.0,34005,1466524,0.25870000000000004
2021-07-02,COALINDIA,EQ,145.65,147.0,148.65,146.05,147.5,147.65,147.39,20805994,306651861945000.0,88862,7566855,0.36369999999999997
