Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,DIVISLAB,EQ,4261.6,4264.15,4299.0,4220.0,4227.0,4229.95,4254.9,429298,182662027390000.0,31147,177626,0.41380000000000006
2021-06-08,DIVISLAB,EQ,4229.95,4229.95,4259.1,4201.8,4245.05,4241.2,4234.39,366017,154985708995000.0,30342,167692,0.4582
2021-06-09,DIVISLAB,EQ,4241.2,4250.0,4315.0,4230.2,4269.55,4267.45,4271.44,480787,205365400030000.0,37918,150497,0.313
2021-06-10,DIVISLAB,EQ,4267.45,4275.0,4425.0,4275.0,4371.0,4372.55,4378.73,1275478,558497253364999.94,92119,285729,0.22399999999999998
2021-06-11,DIVISLAB,EQ,4372.55,4372.0,4397.0,4325.0,4335.0,4334.5,4345.8,574413,249628511415000.0,46779,288672,0.5025999999999999
2021-06-14,DIVISLAB,EQ,4334.5,4334.65,4410.0,4311.0,4398.0,4388.05,4376.41,540274,236445815550000.0,36045,185239,0.3429
2021-06-15,DIVISLAB,EQ,4388.05,4398.0,4415.35,4296.2,4319.0,4313.05,4331.0,798680,345907949550000.0,53307,386368,0.48380000000000006
2021-06-16,DIVISLAB,EQ,4313.05,4319.6,4330.25,4282.85,4293.25,4300.7,4308.13,358040,154248110150000.0,28138,133917,0.374
2021-06-17,DIVISLAB,EQ,4300.7,4300.7,4324.45,4271.0,4298.0,4302.35,4299.81,205565,88389105255000.0,26526,56498,0.2748
2021-06-18,DIVISLAB,EQ,4302.35,4302.5,4363.95,4146.5,4205.0,4197.3,4239.47,1586031,672392490375000.0,71993,845941,0.5334000000000001
2021-06-21,DIVISLAB,EQ,4197.3,4190.0,4238.85,4162.0,4231.0,4229.1,4200.09,294121,123533540765000.02,25609,95566,0.3249
2021-06-22,DIVISLAB,EQ,4229.1,4234.8,4297.75,4218.95,4297.0,4288.75,4263.77,377841,161102897820000.0,33775,174686,0.4623
2021-06-23,DIVISLAB,EQ,4288.75,4300.0,4310.2,4221.25,4225.0,4224.6,4258.13,268303,114246925009999.98,29592,102527,0.3821
2021-06-24,DIVISLAB,EQ,4224.6,4235.0,4259.7,4195.05,4250.0,4250.35,4228.61,389303,164621154275000.0,36974,189406,0.4865
2021-06-25,DIVISLAB,EQ,4250.35,4254.65,4289.0,4240.25,4251.0,4248.75,4263.28,215936,92059580455000.0,18348,78071,0.3615
2021-06-28,DIVISLAB,EQ,4248.75,4251.0,4349.0,4251.0,4322.15,4314.4,4320.15,475081,205242347605000.0,38634,94333,0.1986
2021-06-29,DIVISLAB,EQ,4314.4,4316.6,4369.5,4300.0,4362.3,4356.15,4346.14,374334,162690648405000.0,38148,138065,0.3688
