Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,DRREDDY,EQ,5255.0,5261.0,5273.75,5212.7,5219.75,5219.2,5229.08,363967,190321138415000.0,28908,192970,0.5302
2021-06-08,DRREDDY,EQ,5219.2,5220.0,5295.9,5150.1,5287.0,5274.75,5217.71,732714,382309073495000.0,61249,340989,0.4654
2021-06-09,DRREDDY,EQ,5274.75,5277.9,5310.0,5208.05,5221.1,5222.8,5253.51,473105,248546415090000.0,31057,166342,0.35159999999999997
2021-06-10,DRREDDY,EQ,5222.8,5232.5,5300.0,5232.5,5298.15,5292.05,5282.92,367280,194031224140000.0,31087,140778,0.3833
2021-06-11,DRREDDY,EQ,5292.05,5300.0,5489.9,5288.55,5460.0,5453.0,5405.76,1455484,786800312435000.0,106615,380506,0.2614
2021-06-14,DRREDDY,EQ,5453.0,5453.0,5515.0,5370.0,5460.7,5461.35,5469.35,897942,491115658480000.0,76407,265397,0.2956
2021-06-15,DRREDDY,EQ,5461.35,5475.0,5483.05,5402.0,5410.0,5410.85,5439.06,568815,309381836415000.0,40222,246432,0.43320000000000003
2021-06-16,DRREDDY,EQ,5410.85,5410.0,5458.0,5340.3,5393.9,5406.1,5418.63,698591,378540509230000.0,44288,274363,0.39270000000000005
2021-06-17,DRREDDY,EQ,5406.1,5406.1,5414.0,5248.55,5292.6,5286.5,5332.77,707232,377150341840000.0,41556,307045,0.43420000000000003
2021-06-18,DRREDDY,EQ,5286.5,5315.0,5345.0,5234.8,5290.65,5283.9,5290.93,697428,369004455050000.0,46329,295793,0.4241
2021-06-21,DRREDDY,EQ,5283.9,5275.0,5300.0,5227.0,5298.8,5282.0,5253.34,415489,218270436630000.03,26263,207062,0.49840000000000007
2021-06-22,DRREDDY,EQ,5282.0,5285.5,5320.0,5250.5,5307.05,5308.35,5288.93,426855,225760463450000.0,37430,168841,0.39549999999999996
