Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,EICHERMOT,EQ,2744.6,2750.25,2797.9,2745.1,2760.0,2754.45,2774.44,602326,167111922020000.0,46350,126808,0.21050000000000002
2021-06-08,EICHERMOT,EQ,2754.45,2765.0,2779.0,2745.0,2761.0,2763.8,2764.51,441932,122172391900000.0,31453,150866,0.34140000000000004
2021-06-09,EICHERMOT,EQ,2763.8,2766.2,2774.45,2718.1,2728.0,2729.05,2745.34,471760,129514088265000.02,37739,130993,0.2777
2021-06-10,EICHERMOT,EQ,2729.05,2729.05,2755.0,2691.0,2709.0,2705.05,2707.97,571287,154702572770000.0,42067,210390,0.3683
2021-06-11,EICHERMOT,EQ,2705.05,2721.4,2752.55,2710.85,2740.0,2746.4,2735.78,596669,163235742250000.0,40651,260911,0.43729999999999997
2021-06-14,EICHERMOT,EQ,2746.4,2740.0,2771.85,2711.0,2742.0,2744.95,2743.46,525550,144182580065000.0,40426,140934,0.2682
2021-06-15,EICHERMOT,EQ,2744.95,2745.0,2787.05,2740.65,2758.2,2763.5,2771.12,646742,179220016000000.0,70758,249924,0.3864
2021-06-16,EICHERMOT,EQ,2763.5,2751.0,2777.65,2724.3,2743.45,2741.05,2745.91,312868,85910650765000.0,31822,118953,0.38020000000000004
2021-06-17,EICHERMOT,EQ,2741.05,2720.0,2772.9,2664.7,2668.9,2673.75,2720.88,701970,190997505750000.0,38035,315306,0.44920000000000004
2021-06-18,EICHERMOT,EQ,2673.75,2673.9,2715.0,2644.2,2706.45,2707.55,2691.6,649498,174818703440000.0,43298,153498,0.23629999999999998
2021-06-21,EICHERMOT,EQ,2707.55,2662.0,2742.0,2662.0,2695.15,2698.45,2710.58,528922,143368537530000.0,33899,128591,0.24309999999999998
2021-06-22,EICHERMOT,EQ,2698.45,2700.0,2759.35,2698.0,2715.0,2718.2,2730.1,477522,130368454434999.98,36796,118156,0.24739999999999998
2021-06-23,EICHERMOT,EQ,2718.2,2721.0,2763.0,2708.6,2728.0,2728.6,2737.78,432919,118523609330000.0,28332,114029,0.2634
2021-06-24,EICHERMOT,EQ,2728.6,2728.6,2735.0,2694.0,2715.0,2706.75,2707.56,402741,109044406315000.02,28454,154033,0.3825
2021-06-25,EICHERMOT,EQ,2706.75,2701.0,2725.0,2683.0,2721.0,2720.8,2703.15,455803,123210603875000.0,30896,176878,0.38810000000000006
2021-06-28,EICHERMOT,EQ,2720.8,2723.5,2752.95,2712.6,2740.0,2740.45,2738.37,243077,66563579460000.0,23605,69834,0.2873
2021-06-29,EICHERMOT,EQ,2740.45,2740.0,2749.0,2700.0,2709.0,2705.1,2717.44,290136,78842829100000.0,22774,93867,0.3235
2021-06-30,EICHERMOT,EQ,2705.1,2707.55,2725.0,2665.15,2674.5,2671.15,2691.39,391735,105431030330000.0,30771,168552,0.4303
2021-07-01,EICHERMOT,EQ,2671.15,2680.0,2709.0,2667.9,2680.0,2675.3,2685.67,463026,124353368484999.98,30624,188139,0.40630000000000005
2021-07-02,EICHERMOT,EQ,2675.3,2674.0,2691.1,2642.0,2664.0,2661.0,2661.25,621222,165322415925000.0,41479,251469,0.4048
2021-07-05,EICHERMOT,EQ,2661.0,2675.65,2720.0,2671.15,2706.95,2701.05,2704.17,489159,132277149809999.98,28451,93854,0.19190000000000002
2021-07-06,EICHERMOT,EQ,2701.05,2704.0,2731.15,2693.45,2713.0,2711.15,2712.79,331769,90002002325000.0,20547,95654,0.2883
2021-07-07,EICHERMOT,EQ,2711.15,2716.55,2738.9,2696.8,2710.0,2710.85,2722.32,517132,140780025755000.0,29087,136308,0.2636
2021-07-08,EICHERMOT,EQ,2710.85,2705.1,2737.0,2705.1,2732.0,2729.3,2719.94,509968,138708294205000.0,30204,295364,0.5792
2021-07-09,EICHERMOT,EQ,2729.3,2740.0,2765.0,2686.05,2706.0,2712.15,2710.86,971880,263462748444999.97,45381,438312,0.451
2021-07-12,EICHERMOT,EQ,2712.15,2720.0,2743.95,2705.0,2710.0,2709.5,2723.57,273843,74583046670000.0,20480,93993,0.3432
2021-07-13,EICHERMOT,EQ,2709.5,2725.0,2744.85,2700.0,2708.25,2706.7,2713.74,488409,132541700625000.0,30048,220059,0.45060000000000006
2021-07-14,EICHERMOT,EQ,2706.7,2709.45,2714.0,2687.6,2701.0,2700.0,2698.66,830881,224226942875000.0,31739,597500,0.7191
2021-07-15,EICHERMOT,EQ,2700.0,2710.0,2711.35,2652.0,2664.9,2667.5,2667.93,730937,195009038410000.0,43017,457870,0.6264000000000001
2021-07-16,EICHERMOT,EQ,2667.5,2667.5,2671.3,2607.8,2619.1,2617.25,2625.49,1037591,272418566660000.0,60257,631276,0.6084
2021-07-19,EICHERMOT,EQ,2617.25,2609.0,2617.25,2571.0,2578.95,2579.75,2593.31,561172,145529160970000.0,39265,311180,0.5545
2021-07-20,EICHERMOT,EQ,2579.75,2580.0,2601.0,2537.65,2558.0,2554.85,2552.04,890122,227162850919999.97,38671,668030,0.7505
2021-07-22,EICHERMOT,EQ,2554.85,2584.95,2584.95,2529.0,2565.95,2560.1,2545.88,1321161,336352369115000.0,43745,1012194,0.7661
2021-07-23,EICHERMOT,EQ,2560.1,2565.95,2578.0,2542.0,2553.45,2549.65,2552.92,379798,96959354695000.0,23678,206866,0.5447
2021-07-26,EICHERMOT,EQ,2549.65,2544.8,2585.0,2540.0,2564.9,2563.2,2566.57,309303,79384797005000.0,31301,92057,0.29760000000000003
2021-07-27,EICHERMOT,EQ,2563.2,2566.1,2598.0,2542.65,2575.0,2571.35,2571.47,492846,126733633795000.0,29046,187978,0.3814
2021-07-28,EICHERMOT,EQ,2571.35,2576.5,2576.5,2523.0,2550.0,2550.4,2544.48,383896,97681518120000.0,32935,176367,0.4594
2021-07-29,EICHERMOT,EQ,2550.4,2550.0,2559.95,2518.0,2527.95,2528.15,2531.01,341346,86395115635000.0,23715,152685,0.4473
2021-07-30,EICHERMOT,EQ,2528.15,2528.15,2563.7,2509.0,2531.4,2530.25,2535.19,606230,153690973110000.0,29140,340432,0.5616
2021-08-02,EICHERMOT,EQ,2530.25,2558.8,2615.0,2535.3,2603.5,2602.6,2582.09,691444,178537198305000.0,45689,198466,0.287
2021-08-03,EICHERMOT,EQ,2602.6,2609.8,2654.9,2587.1,2649.95,2649.3,2624.36,678468,178054230220000.0,49034,304031,0.44810000000000005
2021-08-04,EICHERMOT,EQ,2649.3,2658.0,2679.7,2635.5,2645.05,2641.8,2652.99,548192,145435034300000.0,33888,310969,0.5673
2021-08-05,EICHERMOT,EQ,2641.8,2650.0,2757.0,2642.0,2732.9,2732.15,2727.08,2173169,592639730875000.0,115570,786831,0.36210000000000003
2021-08-06,EICHERMOT,EQ,2732.15,2734.7,2759.35,2734.7,2742.0,2747.35,2748.19,799082,219603058225000.0,58461,415885,0.5205
2021-08-09,EICHERMOT,EQ,2747.35,2746.0,2768.75,2717.0,2730.9,2729.0,2739.18,516622,141511815760000.0,32710,223547,0.43270000000000003
2021-08-10,EICHERMOT,EQ,2729.0,2729.05,2754.0,2709.1,2735.55,2734.35,2735.33,733892,200743539120000.0,40985,441446,0.6015
2021-08-11,EICHERMOT,EQ,2734.35,2735.55,2750.0,2698.0,2725.0,2718.25,2716.4,361517,98202518145000.0,30951,166427,0.4604
