Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,GRASIM,EQ,1503.25,1518.6,1530.95,1495.6,1499.5,1501.0,1515.8,2491140,377606696290000.0,75003,588130,0.2361
2021-06-08,GRASIM,EQ,1501.0,1508.95,1516.05,1490.2,1502.05,1503.15,1503.85,1027390,154503749535000.0,36223,238441,0.2321
2021-06-09,GRASIM,EQ,1503.15,1510.1,1527.9,1485.0,1488.0,1492.05,1508.28,1727303,260525209165000.0,56272,421572,0.2441
2021-06-10,GRASIM,EQ,1492.05,1491.0,1517.0,1487.2,1493.0,1492.5,1500.83,875988,131471066915000.02,27231,155693,0.1777
2021-06-11,GRASIM,EQ,1492.5,1505.9,1510.0,1475.5,1491.0,1490.6,1491.88,895452,133590358184999.98,28962,219734,0.2454
2021-06-14,GRASIM,EQ,1490.6,1481.5,1497.7,1457.2,1489.3,1493.0,1485.04,682770,101393925695000.0,24634,174174,0.2551
2021-06-15,GRASIM,EQ,1493.0,1495.0,1515.0,1488.0,1495.95,1495.25,1501.4,814630,122308290705000.0,27146,201083,0.2468
2021-06-16,GRASIM,EQ,1495.25,1495.5,1501.55,1463.9,1470.35,1469.2,1479.53,917679,135773143265000.02,26517,424258,0.4623
2021-06-17,GRASIM,EQ,1469.2,1465.0,1490.65,1450.55,1454.9,1458.2,1470.63,795435,116978806834999.98,37360,182474,0.22940000000000002
2021-06-18,GRASIM,EQ,1458.2,1464.0,1489.2,1420.05,1487.05,1480.75,1460.45,1485497,216949718405000.03,43025,552519,0.3719
2021-06-21,GRASIM,EQ,1480.75,1461.3,1500.85,1455.0,1494.65,1496.65,1477.16,1145818,169255878955000.0,40273,450097,0.39280000000000004
2021-06-22,GRASIM,EQ,1496.65,1500.0,1520.8,1493.05,1497.8,1496.3,1506.39,1404669,211598418030000.0,65923,601668,0.4283
2021-06-23,GRASIM,EQ,1496.3,1500.0,1512.25,1484.0,1494.5,1498.75,1499.82,973788,146050713045000.0,35961,427413,0.4389
2021-06-24,GRASIM,EQ,1498.75,1498.0,1507.0,1487.5,1494.6,1498.9,1493.56,1145885,171144399405000.0,29185,703921,0.6143
2021-06-25,GRASIM,EQ,1498.9,1501.7,1515.0,1490.0,1505.0,1506.85,1503.44,1194203,179541822530000.0,39009,688357,0.5764
2021-06-28,GRASIM,EQ,1506.85,1515.0,1547.0,1512.75,1519.0,1520.6,1527.93,2447539,373967120490000.0,79678,880668,0.35979999999999995
2021-06-29,GRASIM,EQ,1520.6,1517.0,1523.25,1499.0,1502.85,1503.3,1506.4,734358,110623502175000.0,28928,301601,0.4107
2021-06-30,GRASIM,EQ,1503.3,1503.3,1509.7,1491.0,1499.65,1498.75,1499.87,899143,134859490840000.02,35046,337513,0.3754
2021-07-01,GRASIM,EQ,1498.75,1503.25,1508.35,1489.0,1500.0,1500.3,1497.79,635048,95116786475000.0,21139,195643,0.3081
2021-07-02,GRASIM,EQ,1500.3,1505.0,1512.95,1487.0,1488.5,1489.75,1496.49,742338,111089940955000.0,33539,294836,0.3972
2021-07-05,GRASIM,EQ,1489.75,1497.5,1508.0,1486.0,1488.0,1489.7,1493.31,784526,117153678630000.0,25674,350844,0.4472
2021-07-06,GRASIM,EQ,1489.7,1491.75,1525.0,1491.7,1495.55,1497.25,1507.51,1821054,274526336380000.03,52162,569391,0.3127
2021-07-07,GRASIM,EQ,1497.25,1495.0,1500.0,1476.0,1495.0,1493.85,1486.07,1119109,166307011760000.0,34643,422420,0.3775
2021-07-08,GRASIM,EQ,1493.85,1496.8,1498.75,1472.2,1473.4,1475.45,1480.45,1075063,159157330080000.0,31304,524990,0.4883
2021-07-09,GRASIM,EQ,1475.45,1475.0,1508.0,1461.0,1503.9,1500.15,1483.89,798580,118500780650000.0,33886,315657,0.39530000000000004
2021-07-12,GRASIM,EQ,1500.15,1507.0,1540.7,1507.0,1535.2,1536.15,1526.94,1859043,283864226640000.0,52703,614374,0.33049999999999996
2021-07-13,GRASIM,EQ,1536.15,1540.0,1582.15,1538.0,1577.0,1576.65,1558.7,2176074,339183910670000.0,78151,566784,0.2605
2021-07-14,GRASIM,EQ,1576.65,1575.5,1580.0,1563.15,1566.9,1567.8,1570.01,702486,110290697290000.02,25473,190084,0.2706
2021-07-15,GRASIM,EQ,1567.8,1568.0,1579.75,1553.15,1554.6,1557.25,1562.37,907912,141849418450000.0,32420,423878,0.4669
2021-07-16,GRASIM,EQ,1557.25,1564.8,1579.3,1548.05,1569.9,1572.3,1562.0,849808,132739839590000.02,28079,349731,0.4115
2021-07-19,GRASIM,EQ,1572.3,1558.8,1575.6,1544.85,1558.5,1558.8,1562.78,559807,87485376050000.0,21791,131187,0.2343
2021-07-20,GRASIM,EQ,1558.8,1558.2,1587.55,1538.9,1570.0,1574.1,1567.01,1729066,270946862710000.0,61635,603639,0.34909999999999997
2021-07-22,GRASIM,EQ,1574.1,1595.0,1599.5,1573.2,1582.0,1582.05,1586.92,982695,155945408125000.0,39799,375531,0.3821
2021-07-23,GRASIM,EQ,1582.05,1580.0,1588.95,1545.15,1550.0,1549.5,1564.83,1409312,220532702169999.97,39067,925117,0.6564
2021-07-26,GRASIM,EQ,1549.5,1549.5,1566.25,1541.05,1550.0,1550.25,1552.13,1010876,156901282055000.0,37640,493601,0.4883
2021-07-27,GRASIM,EQ,1550.25,1551.2,1564.2,1513.0,1518.5,1518.7,1533.72,769307,117990214295000.0,32441,357781,0.4651
2021-07-28,GRASIM,EQ,1518.7,1528.0,1537.25,1486.0,1530.5,1533.55,1515.15,1293433,195974960760000.0,43400,672858,0.5202
2021-07-29,GRASIM,EQ,1533.55,1543.0,1557.6,1523.0,1538.0,1544.6,1538.91,1218918,187581092720000.0,37176,712710,0.5847
2021-07-30,GRASIM,EQ,1544.6,1537.7,1566.0,1521.65,1555.85,1551.35,1547.73,1126373,174331924885000.0,43853,576044,0.5114
2021-08-02,GRASIM,EQ,1551.35,1565.0,1614.2,1558.65,1591.0,1591.65,1591.07,2021606,321652075175000.0,81288,504288,0.2494
2021-08-03,GRASIM,EQ,1591.65,1575.0,1599.9,1544.5,1592.0,1592.4,1568.97,1643947,257930225815000.0,57739,501373,0.305
2021-08-04,GRASIM,EQ,1592.4,1590.0,1605.25,1537.05,1553.0,1554.85,1568.32,1247524,195651135430000.0,43585,391359,0.31370000000000003
2021-08-05,GRASIM,EQ,1554.85,1539.0,1553.0,1525.0,1539.95,1537.4,1538.99,715729,110149801050000.0,33503,169039,0.23620000000000002
2021-08-06,GRASIM,EQ,1537.4,1544.6,1553.5,1520.2,1530.55,1531.0,1535.36,685670,105274896960000.0,31974,182258,0.2658
2021-08-09,GRASIM,EQ,1531.0,1545.0,1547.0,1506.55,1514.0,1512.15,1525.27,609167,92914395915000.0,28775,222201,0.36479999999999996
2021-08-10,GRASIM,EQ,1512.15,1520.0,1520.0,1477.95,1484.7,1490.6,1494.45,929912,138970386059999.98,39225,324902,0.3494
2021-08-11,GRASIM,EQ,1490.6,1484.0,1516.9,1480.0,1505.0,1502.4,1501.87,1268299,190481413195000.0,42047,497231,0.392
2021-08-12,GRASIM,EQ,1502.4,1499.8,1515.0,1488.65,1492.75,1492.3,1501.57,506910,76115880070000.0,26770,103727,0.2046
2021-08-13,GRASIM,EQ,1492.3,1493.3,1532.45,1485.5,1497.1,1496.9,1506.41,2441588,367804235515000.0,90605,411224,0.1684
2021-08-16,GRASIM,EQ,1496.9,1498.9,1525.0,1487.4,1489.0,1490.9,1500.43,929254,139427626275000.0,40838,202430,0.21780000000000002
2021-08-17,GRASIM,EQ,1490.9,1496.5,1498.55,1460.1,1479.55,1481.0,1475.64,1090935,160982498945000.0,43437,425280,0.3898
2021-08-18,GRASIM,EQ,1481.0,1482.2,1508.8,1480.0,1505.0,1501.2,1492.48,888339,132582836995000.0,40390,323555,0.3642
2021-08-20,GRASIM,EQ,1501.2,1489.95,1503.3,1475.0,1477.0,1484.65,1486.25,774150,115057816655000.0,37115,327244,0.4227
2021-08-23,GRASIM,EQ,1484.65,1495.0,1499.25,1432.0,1438.0,1440.65,1458.29,1163742,169707143585000.0,44656,489833,0.42090000000000005
2021-08-24,GRASIM,EQ,1440.65,1444.0,1462.0,1440.65,1461.9,1460.15,1453.38,913036,132698681790000.02,55223,516465,0.5657
2021-08-25,GRASIM,EQ,1460.15,1466.5,1472.65,1446.1,1451.2,1447.7,1455.11,839634,122176018275000.0,45818,500211,0.5957
2021-08-26,GRASIM,EQ,1447.7,1446.1,1459.75,1430.05,1441.45,1439.05,1440.87,936935,135000567200000.0,39185,375176,0.4004
2021-08-27,GRASIM,EQ,1439.05,1444.0,1468.0,1442.95,1459.5,1458.3,1457.85,896244,130658768920000.0,27577,382721,0.42700000000000005
2021-08-30,GRASIM,EQ,1458.3,1465.0,1483.0,1462.0,1470.0,1471.15,1474.29,764590,112722965170000.0,33821,398781,0.5216
2021-08-31,GRASIM,EQ,1471.15,1482.0,1504.4,1467.65,1500.0,1500.4,1487.34,1656264,246342363250000.0,36531,894936,0.5403
2021-09-01,GRASIM,EQ,1500.4,1510.0,1514.5,1480.2,1485.0,1486.0,1491.66,664026,99049777900000.0,30325,271849,0.4094
2021-09-02,GRASIM,EQ,1486.0,1490.0,1507.0,1485.0,1500.0,1499.25,1496.24,1018243,152353289120000.0,43902,530979,0.5215
2021-09-03,GRASIM,EQ,1499.25,1510.0,1519.95,1492.5,1511.65,1510.45,1508.66,1135652,171331117225000.0,39622,336234,0.2961
2021-09-06,GRASIM,EQ,1510.45,1512.0,1567.0,1512.0,1530.5,1531.0,1541.96,2510335,387083359685000.0,77562,758324,0.30210000000000004
2021-09-07,GRASIM,EQ,1531.0,1538.0,1557.9,1514.75,1555.1,1554.45,1538.69,1158223,178215132565000.0,41081,534229,0.4612
2021-09-08,GRASIM,EQ,1554.45,1562.0,1608.65,1552.4,1580.0,1576.7,1583.95,4078147,645958107290000.0,131440,858423,0.21050000000000002
2021-09-09,GRASIM,EQ,1576.7,1579.85,1603.0,1570.0,1596.0,1597.9,1586.67,842587,133690699305000.0,35789,234485,0.2783
