Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,HCLTECH,EQ,936.55,939.0,951.95,937.1,951.45,949.6,945.78,3282517,310455311310000.0,85146,2075799,0.6324000000000001
2021-06-08,HCLTECH,EQ,949.6,952.0,972.0,951.45,967.0,967.2,965.92,6385642,616804160650000.0,152721,3206836,0.5022
2021-06-09,HCLTECH,EQ,967.2,973.9,985.0,965.1,972.0,971.3,974.13,5521459,537864332120000.0,128350,2575831,0.46649999999999997
2021-06-10,HCLTECH,EQ,971.3,979.5,981.65,966.55,968.25,968.55,972.12,3878256,377014024460000.0,95725,2397460,0.6182
2021-06-11,HCLTECH,EQ,968.55,976.0,990.0,970.5,982.8,983.35,983.47,4777035,469807539530000.0,107510,2467967,0.5166
2021-06-14,HCLTECH,EQ,983.35,983.0,988.45,976.0,984.9,984.2,983.06,2236373,219849929040000.0,61546,1011745,0.4524
2021-06-15,HCLTECH,EQ,984.2,985.1,993.0,983.2,985.0,985.45,987.85,2559001,252791758065000.0,77275,1295910,0.5064
2021-06-16,HCLTECH,EQ,985.45,984.05,986.0,974.0,983.0,979.4,980.33,3138753,307700064745000.0,111172,1675644,0.5339
2021-06-17,HCLTECH,EQ,979.4,980.0,988.95,978.55,985.0,986.4,983.95,3609989,355205385305000.0,121395,2065523,0.5722
2021-06-18,HCLTECH,EQ,986.4,990.0,996.7,970.1,974.8,975.25,980.63,5622783,551385965575000.0,134661,3107908,0.5527000000000001
2021-06-21,HCLTECH,EQ,975.25,968.0,983.45,961.25,981.5,982.0,974.13,1639495,159708909895000.0,47795,718432,0.43820000000000003
2021-06-22,HCLTECH,EQ,982.0,982.1,988.2,976.25,978.1,980.1,983.26,2529648,248730832515000.0,55440,1283799,0.5075000000000001
2021-06-23,HCLTECH,EQ,980.1,985.0,985.0,971.0,974.25,972.9,975.46,2395543,233675907005000.03,66794,1455130,0.6074
2021-06-24,HCLTECH,EQ,972.9,972.0,994.6,969.1,984.9,989.7,986.32,4686567,462247023410000.06,97696,2361695,0.5039
2021-06-25,HCLTECH,EQ,989.7,995.0,1010.0,989.25,993.35,995.65,998.92,5196000,519036886814999.94,134545,2583936,0.49729999999999996
2021-06-28,HCLTECH,EQ,995.65,1000.0,1000.0,984.2,985.7,985.3,988.18,1844159,182235274985000.0,58687,1018287,0.5522
2021-06-29,HCLTECH,EQ,985.3,986.95,993.9,980.5,985.05,983.6,986.04,1895170,186871774810000.0,72654,1073880,0.5666
2021-06-30,HCLTECH,EQ,983.6,981.0,991.45,981.0,985.45,983.5,985.32,2682591,264320852380000.03,78993,1673182,0.6237
2021-07-01,HCLTECH,EQ,983.5,987.0,988.0,975.15,985.0,985.5,983.35,2861509,281386927090000.0,58045,1841596,0.6436000000000001
2021-07-02,HCLTECH,EQ,985.5,983.55,987.6,977.25,985.7,984.65,982.4,1646631,161764829425000.0,57280,898143,0.5454
2021-07-05,HCLTECH,EQ,984.65,991.7,995.9,978.0,979.5,979.75,983.59,2598033,255538903910000.0,99632,1604549,0.6176
2021-07-06,HCLTECH,EQ,979.75,980.0,982.2,970.2,974.0,972.05,975.16,2486069,242432400185000.0,69860,1664939,0.6697
2021-07-07,HCLTECH,EQ,972.05,970.0,977.6,960.3,975.0,975.35,968.88,3014899,292107543450000.0,114845,1769650,0.5870000000000001
2021-07-08,HCLTECH,EQ,975.35,975.0,982.0,970.0,976.4,976.8,975.64,2555624,249336241760000.0,77865,1672664,0.6545000000000001
