Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,HDFCBANK,EQ,1500.95,1510.0,1514.0,1496.0,1499.8,1499.85,1501.17,4045834,607348821150000.0,134014,2381811,0.5887
2021-06-08,HDFCBANK,EQ,1499.85,1496.55,1501.3,1481.5,1483.0,1483.05,1486.98,4936270,734011876380000.0,174145,3413458,0.6915000000000001
2021-06-09,HDFCBANK,EQ,1483.05,1483.9,1502.0,1472.05,1482.0,1480.3,1488.03,5111721,760641608690000.0,134064,2387438,0.4671
2021-06-10,HDFCBANK,EQ,1480.3,1482.1,1489.0,1473.65,1483.0,1481.05,1479.96,5741770,849757055450000.0,165786,3484470,0.6069
2021-06-11,HDFCBANK,EQ,1481.05,1491.0,1496.55,1481.05,1487.0,1486.35,1487.68,3602987,536009393955000.0,118634,1797686,0.4989
2021-06-14,HDFCBANK,EQ,1486.35,1478.25,1486.0,1462.55,1480.0,1479.45,1474.22,4440982,654699819995000.0,147161,2360747,0.5316
2021-06-15,HDFCBANK,EQ,1479.45,1486.0,1496.0,1474.8,1490.2,1490.25,1490.11,3784801,563975816045000.0,126209,1799385,0.4754
2021-06-16,HDFCBANK,EQ,1490.25,1488.0,1494.0,1478.1,1485.8,1484.6,1484.76,3851049,571789944430000.0,140563,2373410,0.6163000000000001
2021-06-17,HDFCBANK,EQ,1484.6,1466.0,1478.75,1460.0,1462.1,1466.1,1471.04,4641901,682842222205000.0,162372,2602883,0.5607
2021-06-18,HDFCBANK,EQ,1466.1,1469.5,1490.0,1455.0,1488.0,1479.8,1470.56,5969030,877783237750000.0,176020,3289110,0.551
2021-06-21,HDFCBANK,EQ,1479.8,1461.35,1491.8,1459.0,1490.95,1488.7,1475.42,3630236,535610856870000.0,121439,1774707,0.4889
2021-06-22,HDFCBANK,EQ,1488.7,1497.0,1508.0,1480.0,1481.85,1483.8,1496.02,7183412,1074654809535000.0,176519,4324982,0.6021
2021-06-23,HDFCBANK,EQ,1483.8,1490.0,1497.8,1478.6,1487.0,1485.5,1487.18,3922434,583337882225000.0,104106,2070834,0.5279
2021-06-24,HDFCBANK,EQ,1485.5,1490.0,1513.45,1488.0,1506.05,1506.25,1502.25,7392512,1110539744029999.9,161391,4417197,0.5975
2021-06-25,HDFCBANK,EQ,1506.25,1511.1,1522.0,1507.0,1513.75,1515.1,1515.21,5191588,786635315180000.0,157842,3242646,0.6246
2021-06-28,HDFCBANK,EQ,1515.1,1520.0,1523.0,1505.0,1512.0,1508.35,1510.42,4678393,706633744020000.0,97365,3047669,0.6514
2021-06-29,HDFCBANK,EQ,1508.35,1507.0,1508.2,1492.15,1500.15,1502.05,1498.23,5485846,821904160730000.0,119595,4097229,0.7469
2021-06-30,HDFCBANK,EQ,1502.05,1498.0,1509.0,1494.1,1497.0,1497.9,1501.04,4839511,726429715995000.0,113300,3300089,0.6819
2021-07-01,HDFCBANK,EQ,1497.9,1502.0,1502.0,1483.0,1487.95,1486.75,1491.4,8455721,1261082491785000.0,177593,5309019,0.6279
2021-07-02,HDFCBANK,EQ,1486.75,1485.0,1489.25,1477.0,1482.5,1480.4,1482.69,7413518,1099192607540000.0,175142,5654492,0.7626999999999999
2021-07-05,HDFCBANK,EQ,1480.4,1489.95,1504.5,1484.55,1496.6,1495.45,1497.63,3686941,552168394789999.94,136148,2121120,0.5753
2021-07-06,HDFCBANK,EQ,1495.45,1497.0,1540.0,1496.0,1531.95,1534.7,1527.06,8834516,1349081820725000.0,222855,4447203,0.5034000000000001
2021-07-07,HDFCBANK,EQ,1534.7,1534.0,1545.35,1527.7,1539.8,1539.5,1539.43,4814595,741173051565000.0,119316,3055239,0.6346
2021-07-08,HDFCBANK,EQ,1539.5,1525.0,1537.7,1513.45,1521.0,1520.45,1526.35,4210461,642663034565000.0,137221,2368698,0.5626
2021-07-09,HDFCBANK,EQ,1520.45,1512.55,1516.0,1497.5,1504.4,1502.0,1505.44,5347921,805095265780000.0,162723,3376292,0.6313000000000001
2021-07-12,HDFCBANK,EQ,1502.0,1502.0,1502.0,1484.0,1487.3,1487.0,1492.97,7229489,1079338650590000.0,160971,3956375,0.5473
2021-07-13,HDFCBANK,EQ,1487.0,1496.1,1506.1,1484.1,1500.4,1501.85,1493.95,9089071,1357858968720000.0,158600,6329919,0.6964
2021-07-14,HDFCBANK,EQ,1501.85,1497.5,1507.35,1491.1,1498.0,1499.15,1500.22,4894247,734245915185000.0,114595,3004238,0.6138
2021-07-15,HDFCBANK,EQ,1499.15,1505.0,1526.75,1499.65,1521.0,1520.7,1518.05,5219401,792330498385000.0,192039,2898079,0.5553
2021-07-16,HDFCBANK,EQ,1520.7,1527.95,1529.95,1518.8,1522.3,1522.35,1524.21,2585314,394055273925000.0,86273,1175158,0.4546
2021-07-19,HDFCBANK,EQ,1522.35,1487.0,1488.85,1466.0,1472.4,1471.0,1477.63,12555800,1855277905609999.8,410524,6626486,0.5278
2021-07-20,HDFCBANK,EQ,1471.0,1442.0,1454.0,1436.15,1444.0,1443.15,1443.36,12087125,1744604234559999.8,329311,8568066,0.7089
2021-07-22,HDFCBANK,EQ,1443.15,1456.1,1468.5,1445.0,1451.7,1448.7,1455.81,6603557,961349216175000.0,253822,3828445,0.5798
2021-07-23,HDFCBANK,EQ,1448.7,1451.5,1457.45,1435.3,1443.0,1442.75,1445.22,6563342,948546585404999.9,265409,4491778,0.6844
2021-07-26,HDFCBANK,EQ,1442.75,1430.0,1444.0,1428.1,1434.5,1434.55,1434.93,6583583,944696520820000.1,238911,4980099,0.7564000000000001
2021-07-27,HDFCBANK,EQ,1434.55,1436.1,1449.9,1436.1,1441.5,1439.75,1443.44,11200715,1616752331240000.0,205605,9077138,0.8104000000000001
2021-07-28,HDFCBANK,EQ,1439.75,1435.05,1438.7,1404.0,1419.5,1417.3,1416.6,10335171,1464082017595000.0,350925,7692903,0.7443000000000001
2021-07-29,HDFCBANK,EQ,1417.3,1428.25,1429.95,1413.3,1421.75,1418.25,1422.4,6851115,974503000890000.0,174810,4861470,0.7095999999999999
2021-07-30,HDFCBANK,EQ,1418.25,1419.0,1431.75,1407.95,1425.0,1426.45,1422.61,5827744,829061985285000.0,182078,3984364,0.6837000000000001
2021-08-02,HDFCBANK,EQ,1426.45,1435.0,1435.0,1416.25,1423.8,1422.65,1425.88,6629393,945274888315000.0,239364,4820387,0.7271
2021-08-03,HDFCBANK,EQ,1422.65,1410.0,1439.9,1410.0,1434.1,1434.7,1428.31,6016560,859352825879999.9,168518,4182501,0.6951999999999999
2021-08-04,HDFCBANK,EQ,1434.7,1441.0,1474.5,1440.0,1465.5,1465.3,1462.94,11026974,1613182909280000.0,294722,6667254,0.6046
2021-08-05,HDFCBANK,EQ,1465.3,1467.1,1507.05,1457.4,1483.8,1484.85,1483.26,9411204,1395929515995000.0,234822,4731088,0.5027
