Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,HEROMOTOCO,EQ,3048.4,3065.25,3076.6,3040.75,3054.0,3052.25,3055.57,612460,187141467440000.0,38155,266853,0.43570000000000003
2021-06-08,HEROMOTOCO,EQ,3052.25,3058.0,3078.0,3040.35,3057.9,3055.95,3058.46,555729,169967735045000.0,42003,236905,0.4263
2021-06-09,HEROMOTOCO,EQ,3055.95,3055.95,3090.0,3010.6,3025.25,3023.5,3057.81,845692,258596358255000.03,55683,278819,0.3297
2021-06-10,HEROMOTOCO,EQ,3023.5,3038.95,3043.9,2999.0,3012.0,3009.0,3012.65,567660,171015915175000.0,33527,266554,0.4696
2021-06-11,HEROMOTOCO,EQ,3009.0,3019.0,3038.0,2995.0,3004.0,3004.35,3012.38,467264,140757861705000.0,30066,187283,0.4008
2021-06-14,HEROMOTOCO,EQ,3004.35,3010.0,3016.95,2943.0,2985.2,2985.65,2980.55,489598,145927153075000.0,31555,148239,0.3028
2021-06-15,HEROMOTOCO,EQ,2985.65,2985.0,3025.0,2972.3,3006.85,3007.05,2999.34,454939,136451819134999.98,29779,159295,0.35009999999999997
2021-06-16,HEROMOTOCO,EQ,3007.05,3008.0,3014.85,2970.0,2971.05,2975.4,2988.17,444814,132917863990000.02,28982,179268,0.40299999999999997
2021-06-17,HEROMOTOCO,EQ,2975.4,2947.0,2958.95,2902.0,2912.45,2914.1,2929.2,782315,229155564680000.03,56114,409223,0.5231
2021-06-18,HEROMOTOCO,EQ,2914.1,2914.1,2945.0,2852.0,2902.0,2891.35,2889.3,904203,261251579925000.0,64775,433559,0.47950000000000004
2021-06-21,HEROMOTOCO,EQ,2891.35,2870.0,2913.0,2865.0,2894.7,2894.85,2892.7,577938,167180041710000.0,48663,261977,0.4533
2021-06-22,HEROMOTOCO,EQ,2894.85,2901.0,2942.05,2896.55,2905.0,2907.05,2919.22,522538,152540518170000.0,35467,225704,0.4319
