Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,HINDALCO,EQ,395.05,396.15,401.4,394.25,395.0,395.0,397.02,6176784,245227593005000.03,68864,1308827,0.2119
2021-06-08,HINDALCO,EQ,395.0,395.0,395.5,381.1,388.0,387.75,385.97,17334691,669068683665000.0,161460,5749508,0.33170000000000005
2021-06-09,HINDALCO,EQ,387.75,388.0,390.95,382.3,383.2,383.15,386.41,11807015,456237720950000.0,108283,4792702,0.40590000000000004
2021-06-10,HINDALCO,EQ,383.15,386.15,389.95,384.25,385.9,385.4,386.43,5796380,223988049400000.0,57637,1808441,0.312
2021-06-11,HINDALCO,EQ,385.4,388.4,395.0,383.15,393.4,393.15,389.15,9630564,374773957085000.0,79743,2549410,0.2647
2021-06-14,HINDALCO,EQ,393.15,392.95,397.5,381.35,394.3,394.8,391.45,11601461,454139296070000.0,91699,2724667,0.2349
2021-06-15,HINDALCO,EQ,394.8,391.0,396.35,390.0,391.0,390.85,393.17,7929361,311756336245000.0,70590,2146799,0.2707
2021-06-16,HINDALCO,EQ,390.85,387.3,391.35,377.0,379.8,380.25,381.52,17978012,685901413415000.0,160885,5468075,0.3042
2021-06-17,HINDALCO,EQ,380.25,376.0,380.3,365.05,369.0,369.25,373.81,14321673,535352815539999.94,171883,5546184,0.3873
2021-06-18,HINDALCO,EQ,369.25,368.75,373.35,359.8,372.45,371.35,366.15,22723111,832006327835000.0,199410,9961852,0.43840000000000007
2021-06-21,HINDALCO,EQ,371.35,366.9,369.95,360.4,368.35,367.6,365.54,13172227,481494186270000.0,111664,4460960,0.3387
2021-06-22,HINDALCO,EQ,367.6,371.0,371.85,366.25,366.65,367.55,368.92,9787216,361070450015000.0,88270,3687459,0.3768
2021-06-23,HINDALCO,EQ,367.55,368.05,377.0,367.35,369.0,368.1,372.87,14295574,533038549664999.94,130170,3251898,0.2275
2021-06-24,HINDALCO,EQ,368.1,369.0,372.45,366.1,370.5,369.05,369.42,9066954,334951054000000.0,69494,2279833,0.2514
2021-06-25,HINDALCO,EQ,369.05,371.55,380.35,371.55,376.0,375.9,376.05,12815999,481951462210000.06,88988,4681544,0.3653
2021-06-28,HINDALCO,EQ,375.9,378.9,384.95,374.25,382.45,382.3,380.58,14518487,552544152325000.0,98675,4566739,0.3145
2021-06-29,HINDALCO,EQ,382.3,383.4,383.5,372.7,374.3,374.25,376.15,9106037,342527997245000.0,96207,3139782,0.3448
2021-06-30,HINDALCO,EQ,374.25,376.55,379.4,370.95,372.4,372.05,375.52,10110801,379676951090000.0,90895,3750852,0.371
2021-07-01,HINDALCO,EQ,372.05,372.3,380.8,372.0,379.75,379.4,377.32,8232292,310622418915000.0,76522,1901358,0.231
2021-07-02,HINDALCO,EQ,379.4,378.0,380.6,374.2,376.7,376.05,377.27,5070326,191289699715000.0,49035,1129174,0.2227
2021-07-05,HINDALCO,EQ,376.05,379.0,391.0,377.5,390.35,389.55,385.95,12836172,495417591350000.0,111922,2937246,0.2288
2021-07-06,HINDALCO,EQ,389.55,389.4,391.0,384.0,386.2,385.35,388.2,6153733,238887198035000.0,74858,1347946,0.219
2021-07-07,HINDALCO,EQ,385.35,382.9,395.0,380.2,393.5,393.65,388.45,10577866,410900014955000.0,100886,2509745,0.2373
2021-07-08,HINDALCO,EQ,393.65,392.5,392.9,381.2,382.85,383.1,385.75,12333337,475759323745000.0,99403,4743798,0.3846
