Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,HINDUNILVR,EQ,2342.05,2354.0,2354.0,2331.0,2340.0,2339.3,2337.49,1128300,263739512910000.0,78218,794272,0.7040000000000001
2021-06-08,HINDUNILVR,EQ,2339.3,2339.3,2362.0,2335.15,2358.0,2359.0,2350.03,1106664,260069781719999.97,65338,711398,0.6428
2021-06-09,HINDUNILVR,EQ,2359.0,2362.0,2371.95,2345.6,2355.25,2356.0,2356.51,1072858,252820209160000.0,47003,587650,0.5477000000000001
2021-06-10,HINDUNILVR,EQ,2356.0,2364.0,2399.95,2355.25,2381.0,2378.8,2385.07,1944339,463738581780000.0,95730,903444,0.4647
2021-06-11,HINDUNILVR,EQ,2378.8,2381.0,2388.55,2360.0,2367.5,2366.5,2368.41,1128097,267179993244999.97,56894,720961,0.6391
2021-06-14,HINDUNILVR,EQ,2366.5,2358.4,2375.1,2336.6,2366.2,2364.6,2358.11,1761632,415411573725000.0,65470,1094365,0.6212
2021-06-15,HINDUNILVR,EQ,2364.6,2360.0,2395.0,2360.0,2393.9,2391.95,2382.84,1215463,289625441485000.0,64282,771490,0.6347
2021-06-16,HINDUNILVR,EQ,2391.95,2385.0,2418.85,2383.65,2406.5,2407.9,2406.59,2153668,518298728585000.06,100285,1162613,0.5398
2021-06-17,HINDUNILVR,EQ,2407.9,2398.0,2425.9,2386.4,2415.1,2417.7,2411.99,1555777,375251747105000.0,89036,901184,0.5793
2021-06-18,HINDUNILVR,EQ,2417.7,2420.0,2496.7,2405.0,2490.25,2482.9,2459.94,3937751,968663336070000.1,149256,2478255,0.6294
2021-06-21,HINDUNILVR,EQ,2482.9,2473.95,2529.0,2467.0,2507.05,2514.35,2512.27,2506277,629643375260000.0,121152,1307031,0.5215
2021-06-22,HINDUNILVR,EQ,2514.35,2518.1,2533.95,2481.65,2487.0,2490.25,2503.81,1945883,487212389064999.94,105631,1144470,0.5881000000000001
2021-06-23,HINDUNILVR,EQ,2490.25,2495.0,2514.0,2458.2,2481.25,2480.5,2483.77,1035668,257235842544999.97,64176,605658,0.5848
2021-06-24,HINDUNILVR,EQ,2480.5,2490.0,2504.8,2474.1,2494.0,2490.15,2489.88,759681,189151495000000.0,44986,363052,0.4779
2021-06-25,HINDUNILVR,EQ,2490.15,2488.0,2489.95,2445.0,2449.8,2448.65,2456.58,1112942,273402886725000.0,59379,692902,0.6226
