Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ICICIBANK,EQ,642.7,645.2,650.0,644.25,646.8,648.2,647.36,7556341,489165017725000.0,105578,3580293,0.47380000000000005
2021-06-08,ICICIBANK,EQ,648.2,648.0,648.0,637.4,642.95,642.4,641.27,11912935,763944818830000.0,157128,6754774,0.5670000000000001
2021-06-09,ICICIBANK,EQ,642.4,644.4,645.6,628.8,636.0,636.1,637.42,15823094,1008593022860000.0,171068,6687462,0.4226
2021-06-10,ICICIBANK,EQ,636.1,635.45,642.4,631.0,641.0,640.4,636.58,10712418,681935608250000.0,185554,4865449,0.45420000000000005
2021-06-11,ICICIBANK,EQ,640.4,644.0,644.55,631.5,636.3,635.7,636.58,9015059,573879816560000.0,112050,3928279,0.43570000000000003
2021-06-14,ICICIBANK,EQ,635.7,635.7,636.1,623.35,634.5,635.15,629.61,10170497,640348370725000.0,145891,5165984,0.5079
2021-06-15,ICICIBANK,EQ,635.15,636.35,646.2,636.0,644.4,645.3,642.01,11039987,708782102415000.0,152743,4640935,0.4204
2021-06-16,ICICIBANK,EQ,645.3,644.9,649.2,637.6,639.15,640.1,642.29,8601339,552453238155000.0,111274,2747697,0.3194
2021-06-17,ICICIBANK,EQ,640.1,633.05,637.55,626.7,631.55,633.0,632.89,9720060,615176517325000.0,151522,4617122,0.47500000000000003
2021-06-18,ICICIBANK,EQ,633.0,632.6,636.6,620.7,634.25,630.4,627.54,13820690,867301571815000.0,186181,7200719,0.521
2021-06-21,ICICIBANK,EQ,630.4,622.85,633.1,616.25,630.4,631.25,624.58,13407446,837402212685000.0,160021,6349743,0.4736
2021-06-22,ICICIBANK,EQ,631.25,635.0,644.1,629.55,630.4,630.85,636.84,15270093,972463574985000.0,176110,7320825,0.4794
2021-06-23,ICICIBANK,EQ,630.85,633.75,635.0,623.45,625.05,624.7,628.32,10950633,688044796875000.0,143482,6062419,0.5536
2021-06-24,ICICIBANK,EQ,624.7,627.0,636.3,624.45,635.0,634.05,630.13,12815724,807556676630000.0,240995,7512410,0.5861999999999999
2021-06-25,ICICIBANK,EQ,634.05,636.1,650.0,636.1,648.75,649.0,644.92,14785922,953575682929999.9,207278,7854702,0.5312
2021-06-28,ICICIBANK,EQ,649.0,651.0,653.0,646.15,650.25,650.3,649.69,12093491,785703962015000.0,147790,6499263,0.5374
2021-06-29,ICICIBANK,EQ,650.3,646.3,648.75,636.45,639.85,640.1,641.04,12225470,783702625245000.0,172840,7148618,0.5847
2021-06-30,ICICIBANK,EQ,640.1,638.3,640.8,629.8,631.45,630.9,635.34,14276494,907039553990000.0,205275,8534430,0.5978
2021-07-01,ICICIBANK,EQ,630.9,633.95,637.4,630.05,631.7,630.85,633.58,10517081,666344294860000.0,132773,4675567,0.4446
2021-07-02,ICICIBANK,EQ,630.85,632.25,641.35,632.25,640.25,640.25,637.82,10999396,701566202425000.0,143818,5215343,0.47409999999999997
2021-07-05,ICICIBANK,EQ,640.25,642.75,648.5,641.2,647.05,647.85,645.72,7358568,475155632914999.94,111398,4044122,0.5496
2021-07-06,ICICIBANK,EQ,647.85,645.2,655.0,645.2,648.9,650.3,651.24,9209891,599781043795000.0,160049,4738733,0.5145000000000001
2021-07-07,ICICIBANK,EQ,650.3,650.9,654.75,645.9,653.0,654.0,651.68,7741559,504503880050000.0,165765,4419300,0.5709000000000001
2021-07-08,ICICIBANK,EQ,654.0,650.5,654.0,638.1,642.0,641.9,645.87,10782941,696441739885000.0,156419,6149277,0.5703
2021-07-09,ICICIBANK,EQ,641.9,639.5,641.15,633.8,638.95,638.55,637.77,7069698,450880722864999.94,141560,2986655,0.4225
2021-07-12,ICICIBANK,EQ,638.55,646.0,650.25,642.4,646.7,646.25,647.1,6992783,452500796814999.94,142727,2795825,0.3998
2021-07-13,ICICIBANK,EQ,646.25,655.15,666.35,653.0,664.0,664.95,661.57,19825411,1311583007925000.0,263915,9551329,0.4818
2021-07-14,ICICIBANK,EQ,664.95,662.0,668.0,658.2,664.2,664.35,663.5,11648541,772878035365000.0,181500,6354193,0.5455
2021-07-15,ICICIBANK,EQ,664.35,665.1,669.6,661.1,665.4,667.45,666.94,8244429,549856631050000.0,149702,4915671,0.5962
2021-07-16,ICICIBANK,EQ,667.45,667.45,667.75,657.7,660.7,660.3,660.87,9212875,608849846520000.0,150682,6511718,0.7068000000000001
