Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,INDUSINDBK,EQ,1009.3,1018.0,1032.65,1009.5,1024.7,1025.2,1021.89,3823401,390708527620000.0,73337,1423012,0.3722
2021-06-08,INDUSINDBK,EQ,1025.2,1025.0,1028.0,1005.6,1019.1,1020.15,1018.0,3141410,319795793640000.0,71477,948186,0.3018
2021-06-09,INDUSINDBK,EQ,1020.15,1019.0,1035.7,997.25,1006.25,1003.55,1019.69,4767864,486174067289999.94,96730,1386307,0.2908
2021-06-10,INDUSINDBK,EQ,1003.55,1012.0,1028.6,1006.0,1025.1,1024.35,1017.79,2984339,303744481800000.0,62383,755399,0.2531
2021-06-11,INDUSINDBK,EQ,1024.35,1028.0,1032.0,1012.1,1015.6,1015.1,1018.86,2679470,273001027990000.0,65768,995872,0.37170000000000003
2021-06-14,INDUSINDBK,EQ,1015.1,1012.0,1028.0,993.75,1024.9,1024.3,1012.68,3982216,403271718590000.0,81895,1137673,0.2857
2021-06-15,INDUSINDBK,EQ,1024.3,1025.0,1050.0,1025.0,1031.0,1034.45,1039.75,6026006,626552289080000.0,118605,1647877,0.2735
2021-06-16,INDUSINDBK,EQ,1034.45,1030.0,1038.7,1010.35,1015.0,1013.7,1023.64,3325800,340443401250000.0,64568,887706,0.2669
2021-06-17,INDUSINDBK,EQ,1013.7,1002.0,1021.8,968.0,983.7,984.05,997.71,6126591,611253254220000.0,142713,2441434,0.3985
2021-06-18,INDUSINDBK,EQ,984.05,993.9,999.8,960.0,999.5,995.4,981.7,4895262,480569333045000.0,105836,867772,0.1773
2021-06-21,INDUSINDBK,EQ,995.4,977.0,1010.0,968.05,1008.0,1007.55,992.43,3160990,313704976830000.0,64012,674687,0.2134
2021-06-22,INDUSINDBK,EQ,1007.55,1015.9,1021.7,996.05,999.0,1000.1,1012.39,4141759,419309217205000.0,86887,1739254,0.41990000000000005
2021-06-23,INDUSINDBK,EQ,1000.1,1009.0,1017.8,996.5,999.7,999.55,1006.3,3975716,400075405525000.0,74094,1179374,0.29660000000000003
2021-06-24,INDUSINDBK,EQ,999.55,1004.0,1008.0,996.2,999.1,1000.65,1002.08,2285845,229059109230000.03,44896,585017,0.2559
2021-06-25,INDUSINDBK,EQ,1000.65,997.0,1020.0,986.65,1010.0,1012.9,1007.71,3499315,352630270015000.0,67714,898353,0.25670000000000004
2021-06-28,INDUSINDBK,EQ,1012.9,1019.0,1021.6,1001.0,1013.85,1008.9,1011.86,2819763,285321199850000.0,52885,612373,0.2172
2021-06-29,INDUSINDBK,EQ,1008.9,1009.0,1022.0,1000.0,1014.75,1018.15,1012.81,4543628,460181596205000.0,67883,2125341,0.4678
2021-06-30,INDUSINDBK,EQ,1018.15,1021.5,1027.55,1012.15,1015.0,1016.35,1021.28,2628556,268448207300000.0,53168,661654,0.25170000000000003
2021-07-01,INDUSINDBK,EQ,1016.35,1011.0,1016.95,1000.0,1007.05,1007.7,1009.29,3070067,309859534330000.0,49955,461867,0.1504
2021-07-02,INDUSINDBK,EQ,1007.7,1008.0,1014.15,1005.15,1010.0,1009.65,1010.16,1501210,151646332905000.0,34132,303630,0.2023
2021-07-05,INDUSINDBK,EQ,1009.65,1012.0,1026.5,1012.0,1019.5,1020.55,1019.49,1993126,203196634570000.0,38628,558794,0.2804
2021-07-06,INDUSINDBK,EQ,1020.55,1018.7,1035.0,1015.0,1028.55,1031.05,1029.44,3019919,310881624455000.0,70748,993427,0.329
2021-07-07,INDUSINDBK,EQ,1031.05,1024.55,1047.0,1013.0,1042.65,1044.9,1036.52,3781022,391911905670000.0,92062,1295138,0.3425
2021-07-08,INDUSINDBK,EQ,1044.9,1042.85,1061.0,1036.2,1046.0,1045.45,1050.8,4139752,435004938155000.0,113895,995796,0.24050000000000002
2021-07-09,INDUSINDBK,EQ,1045.45,1040.0,1048.6,1026.2,1038.75,1039.95,1039.03,3625932,376743555730000.0,69073,1115561,0.30770000000000003
2021-07-12,INDUSINDBK,EQ,1039.95,1045.4,1057.65,1041.05,1048.2,1049.3,1050.09,2010018,211069984215000.0,50531,674286,0.33549999999999996
2021-07-13,INDUSINDBK,EQ,1049.3,1055.0,1059.95,1044.0,1054.5,1055.9,1053.71,2096758,220937094850000.0,48045,552227,0.2634
2021-07-14,INDUSINDBK,EQ,1055.9,1050.0,1060.5,1048.5,1050.4,1052.6,1053.64,1566799,165084837190000.0,40792,404628,0.2583
2021-07-15,INDUSINDBK,EQ,1052.6,1054.0,1067.4,1050.0,1054.55,1055.1,1058.12,2748272,290799042020000.0,80823,930617,0.3386
2021-07-16,INDUSINDBK,EQ,1055.1,1054.0,1058.95,1042.0,1042.5,1044.3,1047.4,1218164,127590911845000.0,36897,264617,0.2172
2021-07-19,INDUSINDBK,EQ,1044.3,1024.0,1034.7,1005.55,1015.0,1015.85,1019.92,2644846,269753953610000.0,62267,710084,0.2685
2021-07-20,INDUSINDBK,EQ,1015.85,1017.0,1019.0,980.0,983.45,981.55,991.89,3752725,372230005715000.0,94050,1296859,0.3456
2021-07-22,INDUSINDBK,EQ,981.55,999.9,1005.75,988.0,991.95,992.15,996.49,2181872,217421379185000.0,57894,508692,0.2331
2021-07-23,INDUSINDBK,EQ,992.15,996.0,1000.0,977.0,985.5,989.3,986.68,3449852,340389319795000.0,82549,959327,0.2781
2021-07-26,INDUSINDBK,EQ,989.3,989.3,996.65,978.3,980.0,981.3,986.67,2335433,230430996735000.0,58743,781697,0.3347
2021-07-27,INDUSINDBK,EQ,981.3,989.0,994.0,963.05,971.5,975.8,980.11,3311920,324603369855000.0,91506,1205092,0.3639
2021-07-28,INDUSINDBK,EQ,975.8,992.0,1009.8,979.0,993.0,992.75,992.43,8820340,875358162254999.9,162822,3076578,0.34880000000000005
2021-07-29,INDUSINDBK,EQ,992.75,997.95,1003.45,987.0,991.9,992.05,994.12,3459503,343914681905000.0,58472,1662683,0.4806
2021-07-30,INDUSINDBK,EQ,992.05,989.0,1000.0,980.0,982.0,981.0,987.41,3115750,307652383845000.0,75331,1427555,0.4582
2021-08-02,INDUSINDBK,EQ,981.0,991.8,997.15,985.45,990.0,988.0,992.18,2149603,213278482960000.0,61610,864625,0.4022
2021-08-03,INDUSINDBK,EQ,988.0,987.0,1025.0,986.65,1022.45,1022.05,1009.68,4450926,449402881735000.06,109037,1628334,0.3658
2021-08-04,INDUSINDBK,EQ,1022.05,1029.0,1048.0,1016.9,1019.0,1020.55,1032.23,5055711,521867407960000.06,110828,1142706,0.226
2021-08-05,INDUSINDBK,EQ,1020.55,1011.45,1012.45,986.0,996.75,997.7,996.66,3955681,394248062100000.0,86896,852398,0.21550000000000002
2021-08-06,INDUSINDBK,EQ,997.7,1005.0,1034.0,998.2,1027.0,1029.5,1025.12,7609448,780056870645000.0,131275,2571800,0.33799999999999997
2021-08-09,INDUSINDBK,EQ,1029.5,1031.0,1047.0,1028.05,1043.0,1042.8,1041.0,4274598,444986379530000.0,81773,1502428,0.3515
