Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,IOC,EQ,114.6,114.85,115.75,114.3,114.55,114.7,115.07,19210364,221055867100000.0,71652,8251278,0.42950000000000005
2021-06-08,IOC,EQ,114.7,115.15,117.5,113.35,116.85,116.7,115.53,22786086,263240858850000.0,81028,8362845,0.36700000000000005
2021-06-09,IOC,EQ,116.7,117.1,117.85,114.5,114.9,114.95,116.38,21013561,244562463835000.0,69935,6644894,0.31620000000000004
2021-06-10,IOC,EQ,114.95,115.5,116.5,115.2,116.0,115.95,115.88,12975319,150357274960000.0,46228,5303297,0.4087
2021-06-11,IOC,EQ,115.95,116.4,117.35,114.4,115.25,115.1,115.79,15096011,174796131160000.0,54026,5455723,0.3614
2021-06-14,IOC,EQ,115.1,115.25,115.7,112.5,114.5,114.75,114.53,10651393,121985615115000.02,48693,2338621,0.21960000000000002
2021-06-15,IOC,EQ,114.75,114.55,116.4,114.55,115.8,115.75,115.66,12477524,144316094070000.0,53448,4745577,0.3803
2021-06-16,IOC,EQ,115.75,115.75,117.15,115.5,115.7,115.9,116.43,11893517,138480300984999.98,54665,3556159,0.299
2021-06-17,IOC,EQ,115.9,114.95,116.3,114.05,114.55,114.6,115.14,9555157,110016244895000.0,47168,3120308,0.32659999999999995
2021-06-18,IOC,EQ,114.6,115.2,115.6,111.0,112.65,112.3,112.49,16211302,182365286930000.0,73048,6749623,0.4164
2021-06-21,IOC,EQ,112.3,111.5,113.5,110.65,112.7,112.65,111.55,15093435,168363493040000.0,65987,5531766,0.3665
2021-06-22,IOC,EQ,112.65,113.6,114.85,113.0,113.65,113.85,114.01,12121307,138191608320000.0,54994,4161546,0.3433
2021-06-23,IOC,EQ,113.85,114.5,114.5,112.7,112.8,112.9,113.28,5465048,61907961075000.0,35631,1639328,0.3
2021-06-24,IOC,EQ,112.9,113.0,113.6,111.05,111.45,111.45,111.96,7991737,89474932825000.0,38609,2990693,0.37420000000000003
2021-06-25,IOC,EQ,111.45,111.5,112.4,111.2,111.45,111.4,111.67,5213142,58217178850000.0,35455,1702906,0.32670000000000005
2021-06-28,IOC,EQ,111.4,111.9,111.95,110.7,110.9,110.85,111.06,6517463,72384372375000.0,37028,1954759,0.2999
2021-06-29,IOC,EQ,110.85,110.85,111.9,107.8,108.35,108.15,109.41,15190047,166194692320000.0,74511,6678259,0.4396
2021-06-30,IOC,EQ,108.15,108.25,109.9,107.6,107.9,107.9,108.68,11404351,123942478550000.0,52795,3497301,0.30670000000000003
2021-07-01,IOC,EQ,107.9,107.9,108.95,107.35,107.85,107.55,107.87,8810812,95038624170000.0,45786,2921117,0.3315
2021-07-02,IOC,EQ,107.55,107.75,109.75,107.75,108.7,108.45,108.62,11938563,129670785345000.0,51323,4235390,0.35479999999999995
2021-07-05,IOC,EQ,108.45,109.45,109.45,108.45,108.85,108.8,108.86,6203719,67535193740000.0,34873,2258682,0.3641
2021-07-06,IOC,EQ,108.8,108.7,109.4,108.2,108.3,108.4,108.81,6200880,67472379220000.01,35604,2454747,0.39590000000000003
2021-07-07,IOC,EQ,108.4,107.65,108.4,107.15,108.3,107.95,107.78,7451336,80313053625000.0,32379,3133419,0.4205
2021-07-08,IOC,EQ,107.95,107.95,109.1,107.35,107.55,107.55,108.15,9531909,103083139615000.0,39435,3866418,0.4056
2021-07-09,IOC,EQ,107.55,107.55,107.6,106.55,107.35,107.3,107.1,7282932,78001667785000.0,44404,3379833,0.46409999999999996
2021-07-12,IOC,EQ,107.3,107.35,108.3,106.85,107.15,107.2,107.56,6292486,67683756190000.0,36902,2124931,0.33770000000000006
2021-07-13,IOC,EQ,107.2,107.35,108.1,106.85,107.85,107.8,107.42,7484958,80406183135000.0,34355,3424589,0.4575
2021-07-14,IOC,EQ,107.8,107.55,108.15,106.65,107.15,107.1,107.31,6079860,65240101045000.01,43241,2921558,0.4805
2021-07-15,IOC,EQ,107.1,107.0,107.25,106.15,106.5,106.3,106.68,7634493,81445933240000.0,40368,4373669,0.5729
2021-07-16,IOC,EQ,106.3,106.05,107.4,105.45,106.2,106.1,106.27,7862388,83557139945000.0,41820,2948040,0.375
2021-07-19,IOC,EQ,106.1,105.75,107.9,105.1,105.8,105.95,106.56,11688575,124558684290000.02,67078,4213739,0.3605
2021-07-20,IOC,EQ,105.95,106.1,106.8,104.55,105.35,105.6,105.59,12829211,135465351915000.02,69381,6225062,0.4852
2021-07-22,IOC,EQ,105.6,106.5,107.0,105.2,106.9,106.7,106.08,10839232,114980511334999.98,66023,4733418,0.43670000000000003
2021-07-23,IOC,EQ,106.7,106.7,107.2,105.45,105.8,106.0,106.06,7331144,77751102195000.0,60730,2914819,0.3976
2021-07-26,IOC,EQ,106.0,106.0,106.25,104.5,104.65,104.65,105.19,7291715,76700612495000.0,44756,3856525,0.5289
2021-07-27,IOC,EQ,104.65,104.75,105.35,103.25,103.75,103.95,104.24,7727582,80550761320000.0,48587,3515824,0.455
2021-07-28,IOC,EQ,103.95,104.0,104.75,103.1,104.2,104.0,103.89,9155891,95119619100000.0,51871,4134517,0.4516
2021-07-29,IOC,EQ,104.0,104.25,104.5,103.2,103.9,103.9,103.81,10093200,104777345330000.0,49982,5135550,0.5088
2021-07-30,IOC,EQ,103.9,104.25,106.3,102.9,103.4,103.15,104.13,26245260,273282518725000.0,100556,8043009,0.3065
2021-08-02,IOC,EQ,103.15,104.5,105.85,103.65,105.85,105.5,105.05,13312605,139849985884999.98,67438,5308273,0.3987
2021-08-03,IOC,EQ,105.5,106.0,106.5,105.3,106.1,106.15,106.09,10106484,107224238100000.0,59524,5635179,0.5576
2021-08-04,IOC,EQ,106.15,106.5,107.5,104.9,105.4,105.3,106.08,11584493,122883090609999.98,59105,6287133,0.5427000000000001
2021-08-05,IOC,EQ,105.3,104.5,104.8,102.55,103.95,103.95,103.57,13497599,139789319340000.02,55167,6253541,0.4633
2021-08-06,IOC,EQ,103.95,103.95,106.25,103.8,106.0,105.9,105.7,9202543,97271302500000.0,45219,3023694,0.3286
2021-08-09,IOC,EQ,105.9,106.2,106.45,103.95,104.45,104.4,105.07,8306815,87282008395000.0,55782,3881959,0.4673
2021-08-10,IOC,EQ,104.4,104.9,104.9,101.9,102.5,102.25,103.31,8212403,84846277080000.0,47327,3900415,0.47490000000000004
2021-08-11,IOC,EQ,102.25,102.8,104.95,102.3,104.8,104.65,103.51,10858036,112389727300000.0,57482,3870425,0.3565
2021-08-12,IOC,EQ,104.65,104.65,105.5,103.75,104.15,104.1,104.65,8961763,93787329955000.0,50140,3708293,0.41380000000000006
2021-08-13,IOC,EQ,104.1,104.0,105.0,103.75,104.5,104.65,104.49,6700217,70008208025000.0,39646,2342405,0.3496
2021-08-16,IOC,EQ,104.65,104.75,107.45,104.3,107.05,107.2,105.86,21879419,231623148725000.0,79388,5651087,0.2583
2021-08-17,IOC,EQ,107.2,107.3,108.25,104.7,105.8,105.7,106.4,17129194,182255386930000.0,75062,4985619,0.2911
2021-08-18,IOC,EQ,105.7,106.4,106.5,104.7,106.0,106.2,105.73,12592530,133142346134999.98,52121,4286411,0.3404
2021-08-20,IOC,EQ,106.2,105.45,105.5,103.0,103.2,103.5,103.96,10490839,109064810595000.0,54616,3858968,0.3678
2021-08-23,IOC,EQ,103.5,104.9,104.9,102.2,102.85,103.0,103.28,6954749,71828214780000.0,38707,2056781,0.2957
2021-08-24,IOC,EQ,103.0,103.9,106.2,103.65,105.75,105.9,105.24,11898392,125223915520000.0,53238,3952172,0.3322
2021-08-25,IOC,EQ,105.9,106.5,106.95,105.4,105.9,106.1,106.19,7541658,80083963060000.0,40595,2815121,0.37329999999999997
