Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ITC,EQ,208.75,210.4,212.4,210.2,211.75,211.45,211.52,31433280,664863946830000.0,156997,18131098,0.5768
2021-06-08,ITC,EQ,211.45,212.2,214.25,211.2,213.8,213.65,212.77,21261361,452368624100000.0,126001,9657352,0.45420000000000005
2021-06-09,ITC,EQ,213.65,214.0,214.75,211.5,212.55,212.5,213.34,24887924,530949958410000.06,119309,15123894,0.6077
2021-06-10,ITC,EQ,212.5,208.7,211.4,207.5,209.75,209.3,209.31,30719587,642996610585000.0,186336,15190492,0.49450000000000005
2021-06-11,ITC,EQ,209.3,210.3,210.45,207.75,208.0,207.9,208.6,21424291,446915704950000.0,138839,12707358,0.5931000000000001
2021-06-14,ITC,EQ,207.9,207.95,208.45,205.2,207.55,207.3,206.83,17677889,365633410195000.0,133072,9437208,0.5338
2021-06-15,ITC,EQ,207.3,207.55,208.4,207.0,207.1,207.05,207.54,14854294,308282385850000.0,110907,8322105,0.5602
2021-06-16,ITC,EQ,207.05,207.05,209.35,207.05,207.45,207.85,208.28,20104244,418737076780000.0,103261,10366304,0.5156000000000001
2021-06-17,ITC,EQ,207.85,206.95,208.0,205.0,205.5,205.65,206.25,21476893,442950443450000.0,173639,12738431,0.5931000000000001
2021-06-18,ITC,EQ,205.65,206.0,206.45,202.5,204.85,204.55,204.27,23567549,481411795130000.0,179302,13762293,0.584
2021-06-21,ITC,EQ,204.55,203.1,206.0,202.4,204.7,204.45,204.54,19074685,390156173875000.0,150105,10540012,0.5526
2021-06-22,ITC,EQ,204.45,206.1,206.25,204.35,205.2,205.1,205.11,18042675,370078971575000.0,113081,10051913,0.5571
2021-06-23,ITC,EQ,205.1,205.65,205.85,203.6,204.05,203.95,204.47,12575210,257124371990000.0,132740,7412553,0.5895
2021-06-24,ITC,EQ,203.95,204.45,204.65,202.55,203.95,203.25,203.18,22435272,455843881950000.0,145424,14094355,0.6282
2021-06-25,ITC,EQ,203.25,204.0,205.6,203.75,205.0,205.05,204.79,13877208,284190131970000.0,140517,7806217,0.5625
2021-06-28,ITC,EQ,205.05,205.9,205.9,203.35,203.7,203.6,203.99,14627153,298382002825000.0,117711,9628768,0.6583
2021-06-29,ITC,EQ,203.6,203.6,205.3,203.15,203.25,203.3,203.84,13326068,271634602885000.0,107509,7115203,0.5339
2021-06-30,ITC,EQ,203.3,204.3,204.4,202.55,202.7,202.7,203.25,15942408,324023446675000.0,122092,9379338,0.5883
2021-07-01,ITC,EQ,202.7,202.9,203.8,202.15,203.1,203.0,203.03,10191296,206916264925000.0,68663,4631882,0.4545
2021-07-02,ITC,EQ,203.0,203.3,203.7,202.25,202.45,202.4,202.75,12698779,257469630350000.0,132029,7041308,0.5545
2021-07-05,ITC,EQ,202.4,203.0,204.1,202.7,203.65,203.65,203.38,10248249,208429071445000.0,75097,5324082,0.5195000000000001
2021-07-06,ITC,EQ,203.65,203.25,203.8,202.25,202.6,202.5,203.1,11088659,225209279540000.0,95117,6585054,0.5939
2021-07-07,ITC,EQ,202.5,202.5,205.2,202.3,203.9,203.75,203.87,17879443,364516328400000.0,91964,9646809,0.5395000000000001
2021-07-08,ITC,EQ,203.75,203.5,204.5,201.8,202.05,202.0,202.54,20925008,423819128905000.0,141373,13451340,0.6428
2021-07-09,ITC,EQ,202.0,202.0,202.35,200.9,201.45,201.35,201.63,11834045,238605174294999.97,95596,6495070,0.5488000000000001
2021-07-12,ITC,EQ,201.35,202.0,202.55,200.95,201.1,201.1,201.68,13085323,263909206615000.0,95000,7825684,0.5981000000000001
2021-07-13,ITC,EQ,201.1,202.0,202.2,201.35,202.05,201.85,201.75,10830411,218506411300000.0,66272,6620288,0.6113000000000001
2021-07-14,ITC,EQ,201.85,201.85,205.15,201.7,203.95,204.1,203.56,20480406,416903730015000.0,106786,8811621,0.4302
2021-07-15,ITC,EQ,204.1,204.4,208.5,202.9,206.4,206.25,205.96,28852257,594245016965000.0,148819,13002377,0.4507
2021-07-16,ITC,EQ,206.25,207.7,209.65,207.2,207.85,207.9,208.43,29019824,604858873110000.0,163226,15320511,0.5279
2021-07-19,ITC,EQ,207.9,206.8,209.5,206.35,208.0,207.75,208.11,16464973,342647269850000.0,110856,7638694,0.46390000000000003
2021-07-20,ITC,EQ,207.75,208.2,209.3,206.4,206.6,206.8,207.8,23656813,491578269245000.0,161404,13024081,0.5505
2021-07-22,ITC,EQ,206.8,207.0,208.25,205.85,207.0,207.0,207.03,18311537,379102737890000.0,101678,10246304,0.5596
2021-07-23,ITC,EQ,207.0,207.0,213.6,206.5,212.45,212.4,210.93,44526781,939193741595000.1,253121,22931963,0.515
2021-07-26,ITC,EQ,212.4,214.0,215.35,210.8,211.05,211.15,213.27,47263771,1007976784715000.0,276749,19514256,0.4129
2021-07-27,ITC,EQ,211.15,212.0,213.0,207.95,208.8,208.65,210.31,24436949,513928526189999.94,131878,12610541,0.516
2021-07-28,ITC,EQ,208.65,208.3,210.0,207.45,209.2,209.1,208.88,14736840,307827539835000.0,140082,7335884,0.4978
2021-07-29,ITC,EQ,209.1,209.1,210.2,205.65,206.0,206.05,207.81,15603733,324254150385000.0,119278,8615259,0.5521
2021-07-30,ITC,EQ,206.05,206.1,207.1,204.6,205.05,204.95,205.63,14940336,307217303400000.0,102568,8579574,0.5743
2021-08-02,ITC,EQ,204.95,206.45,207.5,205.45,207.2,207.3,206.59,9674128,199861125490000.0,73105,5358505,0.5539000000000001
2021-08-03,ITC,EQ,207.3,207.5,210.9,206.45,209.75,209.9,209.37,18468527,386671636505000.0,114086,8449335,0.4575
2021-08-04,ITC,EQ,209.9,210.9,211.1,208.1,208.65,208.6,209.38,10998260,230278144735000.0,80790,5959442,0.5418999999999999
2021-08-05,ITC,EQ,208.6,208.6,216.75,206.9,215.0,215.25,213.38,47178466,1006702096635000.0,243882,22297896,0.47259999999999996
2021-08-06,ITC,EQ,215.25,215.4,216.0,212.6,214.6,214.25,214.19,23581637,505087654430000.0,133898,11335234,0.4807
2021-08-09,ITC,EQ,214.25,215.0,217.15,212.7,213.7,213.8,214.89,20358146,437474571660000.06,140681,9788836,0.4808
2021-08-10,ITC,EQ,213.8,214.0,214.45,208.55,210.0,209.85,211.36,18155926,383737496340000.0,122060,10446912,0.5754
2021-08-11,ITC,EQ,209.85,209.85,210.6,207.45,208.7,208.65,208.61,15418634,321654721480000.0,112589,8964786,0.5814
2021-08-12,ITC,EQ,208.65,210.25,214.2,208.35,208.9,208.9,210.26,27692208,582260632455000.0,155350,10822541,0.3908
2021-08-13,ITC,EQ,208.9,209.85,212.3,209.2,211.35,211.45,211.24,18850939,398205839600000.0,139319,7802940,0.4139
2021-08-16,ITC,EQ,211.45,211.4,213.25,210.5,211.0,210.9,211.93,11190075,237146706335000.0,90617,5445762,0.4867
2021-08-17,ITC,EQ,210.9,210.8,211.5,208.8,208.95,209.2,209.63,7858486,164737665775000.0,77453,3836077,0.48810000000000003
2021-08-18,ITC,EQ,209.2,209.6,211.5,208.35,209.3,208.95,209.49,10735658,224901431450000.0,76896,4565354,0.4253
2021-08-20,ITC,EQ,208.95,207.0,210.7,206.7,208.4,208.9,208.46,19421004,404841663770000.0,119445,7894513,0.4065
2021-08-23,ITC,EQ,208.9,209.5,210.2,206.0,206.2,206.3,207.76,9936365,206433794265000.0,83271,4098694,0.41250000000000003
2021-08-24,ITC,EQ,206.3,207.0,207.0,204.7,205.75,205.75,205.71,12490094,256933439885000.0,90980,6518681,0.5219
2021-08-25,ITC,EQ,205.75,206.4,207.9,206.0,206.3,206.4,207.06,10586894,219213050425000.0,74105,5826330,0.5503
2021-08-26,ITC,EQ,206.4,206.4,206.85,204.35,204.85,204.6,205.45,14836173,304806849670000.0,84248,8338144,0.562
2021-08-27,ITC,EQ,204.6,205.0,206.85,204.9,206.05,205.9,205.99,10476384,215805945615000.0,60983,6425432,0.6133
2021-08-30,ITC,EQ,205.9,206.0,208.2,206.0,208.05,208.0,207.0,12084844,250156015160000.0,76605,7342135,0.6075
2021-08-31,ITC,EQ,208.0,208.05,211.6,207.25,211.0,211.3,210.24,25808430,542603405239999.94,123479,16684705,0.6465000000000001
2021-09-01,ITC,EQ,211.3,211.0,212.3,209.3,209.55,209.5,210.09,16241960,341233450565000.0,76728,9752416,0.6004
2021-09-02,ITC,EQ,209.5,209.0,211.5,209.0,209.75,209.75,210.23,14321164,301075275710000.0,82922,8277589,0.578
