Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,JSWSTEEL,EQ,721.2,722.6,730.75,712.8,715.6,715.75,722.48,6872666,496536046045000.0,84451,1333928,0.1941
2021-06-08,JSWSTEEL,EQ,715.75,714.3,714.3,692.0,706.35,707.5,702.87,8230750,578512609345000.0,120287,1370806,0.16649999999999998
2021-06-09,JSWSTEEL,EQ,707.5,705.0,713.35,693.55,698.5,697.85,704.43,6922786,487661652095000.0,85793,1789363,0.2585
2021-06-10,JSWSTEEL,EQ,697.85,701.3,719.0,700.0,707.15,705.8,710.91,8543092,607336412770000.0,108163,1128192,0.13210000000000002
2021-06-11,JSWSTEEL,EQ,705.8,714.0,734.1,704.75,732.5,731.2,720.03,11372473,818851156500000.0,136918,2223396,0.1955
2021-06-14,JSWSTEEL,EQ,731.2,732.65,737.2,714.65,728.1,729.15,729.09,10470356,763380836390000.0,152448,1188363,0.1135
2021-06-15,JSWSTEEL,EQ,729.15,728.0,732.4,717.0,724.6,725.1,727.16,5124845,372656946850000.0,72521,531194,0.1037
2021-06-16,JSWSTEEL,EQ,725.1,720.0,728.9,703.55,706.8,705.4,711.13,9016464,641192093410000.0,111650,1330956,0.1476
2021-06-17,JSWSTEEL,EQ,705.4,702.1,711.0,693.45,696.5,696.35,702.33,5639158,396055158200000.0,84261,781657,0.1386
2021-06-18,JSWSTEEL,EQ,696.35,695.5,696.4,656.1,673.4,670.6,671.42,13505600,906790718300000.0,178369,3469306,0.2569
2021-06-21,JSWSTEEL,EQ,670.6,656.9,676.3,646.15,673.0,672.95,665.36,8187341,544753115575000.0,120678,1936508,0.2365
2021-06-22,JSWSTEEL,EQ,672.95,676.0,682.5,673.25,674.8,675.25,677.36,5398107,365647738105000.0,78211,1197927,0.22190000000000001
2021-06-23,JSWSTEEL,EQ,675.25,679.0,685.0,664.15,665.7,665.5,674.86,6059813,408950581940000.0,71917,1606764,0.2652
2021-06-24,JSWSTEEL,EQ,665.5,669.6,681.5,664.9,680.5,679.0,676.24,6985183,472368913855000.0,88369,1127918,0.16149999999999998
2021-06-25,JSWSTEEL,EQ,679.0,685.0,702.35,685.0,690.0,689.5,693.84,9066409,629066689085000.0,115334,1480997,0.16329999999999997
