Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,LT,EQ,1537.55,1545.45,1569.5,1540.75,1555.2,1557.8,1559.67,3131245,488369933914999.94,138266,1745788,0.5575
2021-06-08,LT,EQ,1557.8,1561.0,1583.0,1546.05,1549.95,1549.15,1566.85,3945382,618182146320000.0,124073,1969881,0.4993
2021-06-09,LT,EQ,1549.15,1550.0,1555.0,1513.3,1520.8,1519.3,1528.34,3025732,462433614985000.06,87809,1571302,0.5193
2021-06-10,LT,EQ,1519.3,1525.0,1534.0,1515.0,1519.0,1519.7,1522.93,1584311,241280237710000.0,70245,809912,0.5112
2021-06-11,LT,EQ,1519.7,1521.0,1527.15,1498.65,1506.95,1503.45,1510.69,1909384,288448139940000.0,89161,920962,0.4823
2021-06-14,LT,EQ,1503.45,1503.45,1519.5,1478.0,1514.65,1515.75,1503.4,2005404,301493405150000.0,75077,887021,0.44229999999999997
2021-06-15,LT,EQ,1515.75,1520.0,1523.7,1505.85,1510.2,1510.8,1517.75,1831871,278031703944999.97,87788,1015320,0.5543
2021-06-16,LT,EQ,1510.8,1505.85,1516.0,1488.0,1489.9,1490.9,1498.95,1504791,225560424410000.0,75796,781884,0.5196000000000001
2021-06-17,LT,EQ,1490.9,1481.0,1499.85,1480.25,1484.5,1487.55,1491.61,1675778,249961316015000.0,76245,825601,0.4927
2021-06-18,LT,EQ,1487.55,1487.55,1490.95,1460.1,1479.1,1476.0,1474.97,4649835,685838548110000.0,88985,2832260,0.6091
2021-06-21,LT,EQ,1476.0,1460.0,1469.4,1447.25,1467.8,1467.05,1457.7,1970012,287169315940000.0,84554,988614,0.5018
2021-06-22,LT,EQ,1467.05,1470.1,1504.8,1469.55,1500.0,1499.2,1495.71,3862264,577683265355000.0,79969,2509345,0.6497
2021-06-23,LT,EQ,1499.2,1505.0,1507.0,1476.1,1482.0,1479.25,1490.77,1818874,271152154825000.0,58824,959493,0.5275
2021-06-24,LT,EQ,1479.25,1490.0,1513.2,1482.0,1510.0,1504.05,1503.58,2762042,415294999620000.0,89469,919510,0.3329
2021-06-25,LT,EQ,1504.05,1510.5,1529.3,1507.5,1520.85,1523.85,1520.89,2099002,319234313985000.0,71855,1124150,0.5356000000000001
2021-06-28,LT,EQ,1523.85,1526.0,1527.95,1510.35,1515.0,1514.45,1517.12,1173658,178057538960000.0,48791,566896,0.483
2021-06-29,LT,EQ,1514.45,1513.0,1529.8,1503.9,1512.0,1510.9,1515.69,2174022,329515154280000.0,92802,1141104,0.5249
2021-06-30,LT,EQ,1510.9,1516.0,1523.4,1495.5,1499.55,1500.55,1507.55,2139362,322519383730000.0,78688,1374837,0.6426000000000001
2021-07-01,LT,EQ,1500.55,1497.1,1503.0,1480.15,1495.0,1492.3,1489.23,2060651,306878238925000.0,73577,1191664,0.5783
2021-07-02,LT,EQ,1492.3,1500.0,1500.65,1475.5,1488.5,1485.65,1485.74,1814564,269596998690000.0,71260,912579,0.5029
2021-07-05,LT,EQ,1485.65,1490.0,1514.0,1488.0,1506.0,1507.95,1506.22,1605396,241808409869999.97,69029,718944,0.44780000000000003
2021-07-06,LT,EQ,1507.95,1506.0,1519.0,1500.0,1506.0,1505.5,1509.49,1072506,161893512625000.0,43555,442599,0.41270000000000007
2021-07-07,LT,EQ,1505.5,1495.0,1519.7,1495.0,1515.0,1516.45,1511.57,1096808,165790606900000.0,46858,420221,0.38310000000000005
2021-07-08,LT,EQ,1516.45,1503.0,1524.0,1497.0,1500.1,1500.7,1506.77,1456033,219390247915000.0,50101,846421,0.5813
2021-07-09,LT,EQ,1500.7,1497.9,1502.85,1485.5,1499.5,1499.6,1493.16,1248405,186406412465000.0,62923,703001,0.5631
2021-07-12,LT,EQ,1499.6,1504.4,1516.0,1491.6,1501.5,1500.75,1504.41,865284,130174414175000.0,37039,310795,0.3592
2021-07-13,LT,EQ,1500.75,1515.0,1515.0,1501.35,1514.6,1513.6,1510.73,995833,150443637600000.0,42968,518345,0.5205
2021-07-14,LT,EQ,1513.6,1513.55,1549.9,1508.0,1540.85,1544.7,1537.92,4010254,616743339675000.0,148317,1589433,0.39630000000000004
2021-07-15,LT,EQ,1544.7,1550.0,1625.0,1549.95,1601.25,1609.35,1605.58,9066480,1455692268270000.0,264762,3647308,0.4023
2021-07-16,LT,EQ,1609.35,1609.35,1622.8,1595.1,1617.0,1618.75,1611.96,4157388,670155215595000.0,105911,2612925,0.6285000000000001
2021-07-19,LT,EQ,1618.75,1600.0,1639.4,1597.6,1609.95,1609.6,1618.7,3027093,489994300185000.06,116309,1171928,0.3871
2021-07-20,LT,EQ,1609.6,1609.85,1622.65,1582.0,1588.7,1590.35,1598.87,1847026,295315913655000.0,78585,736633,0.39880000000000004
2021-07-22,LT,EQ,1590.35,1610.0,1647.15,1591.55,1647.0,1642.15,1623.72,3231269,524666079720000.0,128998,1536508,0.4755
2021-07-23,LT,EQ,1642.15,1644.0,1645.95,1606.85,1617.0,1611.75,1620.02,2259058,365970992750000.0,124176,1092555,0.48360000000000003
2021-07-26,LT,EQ,1611.75,1611.75,1627.3,1592.8,1599.0,1597.6,1606.31,2219416,356507696620000.0,108930,1237923,0.5578000000000001
2021-07-27,LT,EQ,1597.6,1610.15,1619.0,1584.25,1605.6,1608.25,1605.19,3984778,639633019725000.0,130685,1733635,0.4351
2021-07-28,LT,EQ,1608.25,1592.45,1601.3,1553.0,1598.0,1594.2,1585.53,4119892,653223152340000.0,151089,2392452,0.5807
2021-07-29,LT,EQ,1594.2,1594.0,1607.35,1586.0,1597.0,1596.0,1596.48,1672177,266959599705000.03,82667,827782,0.495
2021-07-30,LT,EQ,1596.0,1598.0,1624.9,1585.0,1601.95,1601.45,1605.59,2536568,407267861930000.0,92796,1247722,0.4919
2021-08-02,LT,EQ,1601.45,1606.3,1618.0,1602.05,1616.0,1613.95,1612.08,1083353,174645023700000.0,53697,550593,0.5082
2021-08-03,LT,EQ,1613.95,1625.0,1638.7,1610.3,1631.0,1634.35,1625.58,1777140,288888190170000.0,87136,805500,0.4533
2021-08-04,LT,EQ,1634.35,1640.0,1644.3,1613.6,1623.5,1623.2,1627.56,2067087,336431378950000.0,110104,1212490,0.5866
2021-08-05,LT,EQ,1623.2,1620.0,1632.85,1608.8,1624.2,1627.4,1622.06,1831728,297117248390000.0,68086,936012,0.511
2021-08-06,LT,EQ,1627.4,1627.0,1639.0,1608.3,1609.0,1610.35,1618.77,1192143,192980179325000.0,58047,609781,0.5115
2021-08-09,LT,EQ,1610.35,1620.0,1624.0,1590.0,1595.0,1597.45,1605.73,1223794,196508609945000.0,55545,537682,0.4394
2021-08-10,LT,EQ,1597.45,1606.0,1609.9,1572.0,1587.15,1588.45,1593.77,1429931,227897648090000.0,55271,641477,0.4486
2021-08-11,LT,EQ,1588.45,1590.2,1597.9,1562.75,1584.0,1583.3,1577.95,1370930,216325853215000.0,66800,710965,0.5186
2021-08-12,LT,EQ,1583.3,1590.0,1627.0,1582.0,1624.0,1623.45,1612.91,1645811,265454837319999.97,82015,763899,0.46409999999999996
2021-08-13,LT,EQ,1623.45,1626.0,1676.8,1625.0,1665.05,1668.4,1658.61,5439442,902193158935000.0,167570,2561409,0.47090000000000004
2021-08-16,LT,EQ,1668.4,1674.0,1677.05,1653.35,1657.95,1656.1,1661.96,1794407,298222690875000.0,88043,892804,0.4975
2021-08-17,LT,EQ,1656.1,1658.0,1665.0,1625.05,1639.0,1638.75,1643.49,1838525,302159428055000.0,89869,978475,0.5322
2021-08-18,LT,EQ,1638.75,1647.0,1661.1,1627.1,1630.0,1632.85,1644.37,1570228,258204107394999.97,78150,714850,0.45530000000000004
2021-08-20,LT,EQ,1632.85,1618.9,1623.0,1590.0,1592.0,1593.6,1600.88,2416059,386781757445000.0,114986,1384010,0.5728
2021-08-23,LT,EQ,1593.6,1600.1,1619.0,1567.9,1582.0,1580.75,1592.68,1973841,314369272855000.0,83127,907282,0.4597
2021-08-24,LT,EQ,1580.75,1590.0,1613.35,1582.8,1608.0,1605.8,1599.01,1580003,252644749135000.0,62459,779035,0.49310000000000004
2021-08-25,LT,EQ,1605.8,1614.95,1626.0,1590.0,1593.7,1593.8,1601.79,1795313,287571892220000.0,75791,914690,0.5095000000000001
2021-08-26,LT,EQ,1593.8,1593.8,1602.95,1585.0,1600.0,1595.75,1593.23,2051262,326813754265000.0,79090,1445834,0.7049
2021-08-27,LT,EQ,1595.75,1604.0,1666.7,1598.05,1639.0,1638.1,1644.68,4903187,806418012700000.0,154721,1520761,0.3102
2021-08-30,LT,EQ,1638.1,1646.7,1684.95,1645.1,1657.5,1660.1,1666.86,3345934,557721832514999.94,103723,1397003,0.4175
2021-08-31,LT,EQ,1660.1,1660.05,1676.0,1645.0,1673.1,1672.2,1666.51,3264644,544056760685000.06,80714,1953994,0.5985
2021-09-01,LT,EQ,1672.2,1672.25,1718.0,1672.2,1688.15,1686.4,1696.47,3530101,598870394050000.0,163279,1748907,0.4954
2021-09-02,LT,EQ,1686.4,1687.9,1710.0,1682.0,1688.0,1686.2,1693.93,2400278,406590700235000.0,94269,1361270,0.5671
2021-09-03,LT,EQ,1686.2,1697.0,1704.3,1672.1,1695.0,1691.5,1686.34,2336258,393973089310000.0,95745,1399568,0.5991
2021-09-06,LT,EQ,1691.5,1700.0,1716.0,1690.2,1693.5,1694.2,1698.65,1850835,314391215845000.0,86215,884906,0.4781
2021-09-07,LT,EQ,1694.2,1694.2,1705.0,1679.45,1682.85,1681.7,1687.97,1734879,292842404580000.0,68174,940698,0.5422
2021-09-08,LT,EQ,1681.7,1682.0,1694.7,1658.0,1665.75,1666.55,1672.92,1644392,275093850544999.97,96978,805986,0.4901
2021-09-09,LT,EQ,1666.55,1655.2,1680.6,1655.2,1668.3,1670.05,1669.86,1225239,204597570830000.0,61789,674804,0.5508
