Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,M&M,EQ,804.6,807.9,811.75,802.6,804.1,803.85,805.96,2994862,241374949405000.03,103621,1816871,0.6067
2021-06-08,M&M,EQ,803.85,804.1,810.0,797.5,807.75,807.85,806.16,2960405,238656762415000.0,75428,1025924,0.3465
2021-06-09,M&M,EQ,807.85,808.0,816.75,801.0,804.5,804.45,809.36,4176767,338051451150000.0,76510,1333246,0.31920000000000004
2021-06-10,M&M,EQ,804.45,808.0,810.95,803.05,806.85,806.95,806.72,2264605,182689787710000.0,46279,943053,0.4164
2021-06-11,M&M,EQ,806.95,809.0,815.85,805.5,808.75,809.0,810.88,1783272,144601324980000.0,43665,626846,0.3515
2021-06-14,M&M,EQ,809.0,809.0,809.5,794.0,806.8,807.45,803.49,1598770,128459759259999.98,45061,420730,0.2632
2021-06-15,M&M,EQ,807.45,807.35,813.5,806.0,808.9,808.6,809.44,1640381,132778236209999.98,43852,887778,0.5412
2021-06-16,M&M,EQ,808.6,808.8,821.85,801.6,804.45,806.15,813.7,3863280,314355835580000.0,82591,1035348,0.268
2021-06-17,M&M,EQ,806.15,802.0,809.9,792.55,804.65,805.7,804.32,1988175,159913003525000.0,56075,785354,0.395
2021-06-18,M&M,EQ,805.7,806.0,808.95,773.1,784.0,781.55,784.6,5793496,454556650739999.94,104284,3480318,0.6007
2021-06-21,M&M,EQ,781.55,776.0,778.85,762.35,777.0,776.85,770.67,3024852,233116599580000.03,77193,1136155,0.37560000000000004
2021-06-22,M&M,EQ,776.85,780.1,789.55,772.7,775.0,775.2,781.9,2925669,228757582990000.0,79221,1312813,0.4487
2021-06-23,M&M,EQ,775.2,781.9,786.0,775.0,783.0,781.95,781.21,2700327,210952774835000.0,62018,1122100,0.4155
2021-06-24,M&M,EQ,781.95,783.0,794.0,779.0,793.0,791.8,788.4,3251137,256319610425000.0,69415,1526104,0.4694
2021-06-25,M&M,EQ,791.8,793.2,801.9,790.0,793.8,794.25,795.07,1763201,140186712270000.0,48362,582560,0.33039999999999997
2021-06-28,M&M,EQ,794.25,795.0,799.0,789.25,793.8,793.5,793.91,1409432,111896532900000.0,51584,621912,0.4413
2021-06-29,M&M,EQ,793.5,789.0,792.0,779.4,782.6,781.6,783.53,3167773,248205531100000.0,78631,1983663,0.6262
2021-06-30,M&M,EQ,781.6,784.9,789.4,775.45,781.0,777.7,781.32,2393862,187037761410000.0,62828,1346278,0.5624
2021-07-01,M&M,EQ,777.7,778.0,798.75,774.9,779.65,779.45,784.76,5697553,447121988725000.0,90734,1270684,0.223
2021-07-02,M&M,EQ,779.45,786.0,787.3,777.0,784.0,782.6,781.87,1963778,153541054000000.0,47998,833342,0.4244
2021-07-05,M&M,EQ,782.6,786.0,793.5,784.5,790.6,791.75,789.19,1320469,104209527585000.0,41752,536392,0.4062
2021-07-06,M&M,EQ,791.75,790.6,795.0,778.7,781.85,781.9,788.25,1420179,111946286420000.0,46551,539223,0.3797
2021-07-07,M&M,EQ,781.9,777.8,781.9,768.55,779.2,778.9,774.18,3004815,232627912850000.0,85687,1569017,0.5222
2021-07-08,M&M,EQ,778.9,777.95,787.6,771.0,776.1,776.25,777.38,2010027,156254510495000.0,67085,906801,0.4511
2021-07-09,M&M,EQ,776.25,772.0,776.0,767.0,772.8,771.55,771.08,1658120,127854726259999.98,61625,987003,0.5953
2021-07-12,M&M,EQ,771.55,776.0,781.0,768.5,771.5,772.85,773.08,2681410,207295534395000.0,86428,1467472,0.5473
2021-07-13,M&M,EQ,772.85,777.9,782.2,773.65,781.8,781.15,778.46,2189466,170440812455000.0,59121,1274838,0.5822999999999999
2021-07-14,M&M,EQ,781.15,780.0,787.0,777.05,785.9,786.15,782.76,2067565,161841044430000.0,54999,1366743,0.6609999999999999
2021-07-15,M&M,EQ,786.15,781.0,783.95,775.2,780.0,779.9,780.07,2109663,164568904960000.0,49161,1134171,0.5376
2021-07-16,M&M,EQ,779.9,784.0,784.0,776.5,780.45,779.8,780.05,845054,65918445625000.0,28603,336664,0.39840000000000003
2021-07-19,M&M,EQ,779.8,775.8,780.7,770.0,776.9,775.8,774.84,1265906,98087143500000.0,57602,636276,0.5025999999999999
2021-07-20,M&M,EQ,775.8,775.0,775.7,752.35,760.0,760.2,760.12,2179910,165699243345000.0,78182,1130625,0.5186999999999999
2021-07-22,M&M,EQ,760.2,764.2,767.1,755.65,758.25,758.45,760.13,2182264,165879848700000.0,84245,1410456,0.6463
