Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,MARUTI,EQ,7214.7,7221.0,7328.85,7211.1,7273.0,7275.65,7281.32,520482,378979583725000.0,53602,224477,0.4313
2021-06-08,MARUTI,EQ,7275.65,7317.5,7366.45,7295.2,7336.95,7336.75,7332.9,538816,395108208610000.0,57394,299547,0.5559000000000001
2021-06-09,MARUTI,EQ,7336.75,7310.2,7339.2,7200.0,7238.55,7239.0,7253.8,443778,321907628975000.0,54241,180247,0.4062
2021-06-10,MARUTI,EQ,7239.0,7258.0,7279.45,7174.05,7209.5,7199.9,7209.21,278027,200435585515000.0,41656,108735,0.3911
2021-06-11,MARUTI,EQ,7199.9,7244.0,7244.0,7186.4,7215.0,7223.8,7219.08,253689,183140019070000.0,43956,124909,0.4924
2021-06-14,MARUTI,EQ,7223.8,7195.0,7212.95,7095.05,7181.15,7177.85,7147.84,322353,230412740905000.03,37207,143497,0.44520000000000004
2021-06-15,MARUTI,EQ,7177.85,7181.15,7228.85,7156.3,7165.0,7166.25,7177.53,207625,149023516385000.0,36310,89173,0.42950000000000005
2021-06-16,MARUTI,EQ,7166.25,7166.0,7193.75,7070.0,7108.5,7114.25,7119.34,283007,201482331520000.0,45004,128623,0.4545
2021-06-17,MARUTI,EQ,7114.25,7060.0,7099.1,6931.1,6955.0,6969.35,7009.75,595255,417258665180000.0,66183,333094,0.5596
2021-06-18,MARUTI,EQ,6969.35,6989.85,6989.85,6821.0,6960.0,6959.35,6913.65,797389,551286885735000.06,97087,412856,0.5178
2021-06-21,MARUTI,EQ,6959.35,6870.0,6925.0,6842.0,6890.1,6899.9,6886.61,443795,305624129700000.0,60269,249341,0.5618
2021-06-22,MARUTI,EQ,6899.9,6940.0,7299.95,6930.0,7257.5,7265.4,7201.24,1757310,1265480472760000.0,171579,549897,0.3129
2021-06-23,MARUTI,EQ,7265.4,7266.1,7479.0,7240.05,7432.1,7432.7,7417.45,2227399,1652161355570000.0,221087,1032732,0.4636
2021-06-24,MARUTI,EQ,7432.7,7448.8,7550.0,7410.1,7531.0,7527.45,7497.38,1041762,781048998145000.0,95406,457296,0.439
2021-06-25,MARUTI,EQ,7527.45,7540.0,7665.0,7540.0,7623.0,7649.0,7627.1,1216123,927549338590000.0,114428,707447,0.5817
2021-06-28,MARUTI,EQ,7649.0,7698.0,7698.0,7571.4,7596.0,7596.25,7608.92,433364,329743160465000.0,50498,163967,0.37840000000000007
2021-06-29,MARUTI,EQ,7596.25,7596.0,7601.0,7452.55,7503.0,7487.5,7502.99,480219,360307896005000.0,52711,205273,0.4275
2021-06-30,MARUTI,EQ,7487.5,7505.5,7646.6,7492.6,7539.9,7515.9,7557.97,729267,551177563630000.0,94722,332638,0.4561
2021-07-01,MARUTI,EQ,7515.9,7500.0,7605.0,7495.05,7584.55,7584.4,7563.96,584331,441985825550000.0,57959,255187,0.43670000000000003
2021-07-02,MARUTI,EQ,7584.4,7625.0,7634.5,7546.55,7564.0,7573.85,7577.27,434905,329539357050000.0,48194,238506,0.5484
2021-07-05,MARUTI,EQ,7573.85,7596.3,7690.0,7583.0,7591.95,7599.45,7629.31,484183,369398081445000.0,47506,181475,0.37479999999999997
2021-07-06,MARUTI,EQ,7599.45,7600.0,7657.95,7487.45,7508.5,7514.95,7567.52,425103,321697339170000.0,41040,118295,0.2783
2021-07-07,MARUTI,EQ,7514.95,7528.0,7581.0,7433.65,7450.0,7449.4,7486.85,395336,295982317985000.0,44726,181681,0.4596
2021-07-08,MARUTI,EQ,7449.4,7455.0,7498.0,7385.0,7400.0,7401.2,7426.17,391940,291061297625000.0,40411,121213,0.3093
2021-07-09,MARUTI,EQ,7401.2,7381.0,7447.9,7343.4,7423.0,7425.7,7401.23,400686,296556818470000.0,53081,180958,0.4516
2021-07-12,MARUTI,EQ,7425.7,7500.0,7589.8,7451.05,7467.0,7470.1,7519.78,496478,373340727495000.0,55325,109130,0.2198
2021-07-13,MARUTI,EQ,7470.1,7520.0,7529.2,7404.0,7433.1,7430.35,7442.7,350032,260518142850000.0,43258,160054,0.4573
2021-07-14,MARUTI,EQ,7430.35,7436.0,7449.0,7310.0,7325.0,7326.75,7343.64,460178,337938058560000.0,60474,186672,0.4057
2021-07-15,MARUTI,EQ,7326.75,7357.0,7358.0,7268.0,7305.0,7307.0,7300.47,430055,313960545920000.0,52872,206473,0.48009999999999997
2021-07-16,MARUTI,EQ,7307.0,7333.0,7333.0,7272.8,7296.95,7303.55,7299.47,281552,205517940770000.0,34289,143479,0.5096
2021-07-19,MARUTI,EQ,7303.55,7251.7,7297.0,7151.1,7179.0,7165.55,7205.57,386598,278565974175000.0,62117,150598,0.3895
2021-07-20,MARUTI,EQ,7165.55,7180.0,7265.0,7144.45,7220.0,7232.7,7203.49,413816,298091850610000.0,52165,142420,0.3442
2021-07-22,MARUTI,EQ,7232.7,7302.0,7325.0,7246.3,7287.0,7299.55,7297.27,439934,321031593720000.0,54932,259844,0.5906
2021-07-23,MARUTI,EQ,7299.55,7300.0,7375.0,7277.0,7283.5,7293.85,7334.62,436330,320031444260000.0,55896,207353,0.47520000000000007
2021-07-26,MARUTI,EQ,7293.85,7307.0,7360.0,7180.0,7236.0,7235.8,7241.33,431758,312650084330000.0,60183,207254,0.48
2021-07-27,MARUTI,EQ,7235.8,7241.3,7320.0,7160.85,7243.3,7240.25,7242.97,417171,302155859595000.0,49284,192839,0.4623
2021-07-28,MARUTI,EQ,7240.25,7280.0,7312.0,7063.0,7145.0,7165.05,7195.08,739427,532023932975000.0,100898,255290,0.3453
2021-07-29,MARUTI,EQ,7165.05,7130.0,7130.0,6936.0,6999.0,6993.5,7011.57,1519226,1065216575875000.0,152249,700971,0.46140000000000003
