Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,NESTLEIND,EQ,17426.8,17474.55,17590.0,17353.5,17520.6,17532.55,17475.02,49436,86389506815000.0,15165,22160,0.4483
2021-06-08,NESTLEIND,EQ,17532.55,17530.05,17612.95,17403.4,17484.0,17482.6,17492.35,47447,82995957600000.0,17390,21614,0.45549999999999996
2021-06-09,NESTLEIND,EQ,17482.6,17460.0,17625.6,17440.0,17515.15,17557.15,17519.25,41878,73367118745000.0,11693,21108,0.504
2021-06-10,NESTLEIND,EQ,17557.15,17525.0,17675.0,17490.0,17550.0,17556.1,17589.62,42053,73969647415000.0,11112,21022,0.4999
2021-06-11,NESTLEIND,EQ,17556.1,17609.0,17609.0,17365.0,17530.0,17536.4,17481.85,48997,85655827255000.0,12591,22476,0.4587
2021-06-14,NESTLEIND,EQ,17536.4,17461.4,17630.0,17417.6,17555.25,17577.5,17547.01,36523,64086933095000.01,11054,15037,0.4117
2021-06-15,NESTLEIND,EQ,17577.5,17646.0,17710.0,17511.0,17710.0,17684.8,17672.28,47196,83406075255000.0,12146,25331,0.5367000000000001
2021-06-16,NESTLEIND,EQ,17684.8,17650.2,18068.5,17613.05,17951.0,17965.2,17910.09,116962,209479993910000.0,26738,51591,0.4411
2021-06-17,NESTLEIND,EQ,17965.2,17915.0,18189.3,17900.0,18039.9,18059.05,18097.46,75787,137155208759999.98,20499,25861,0.3412
2021-06-18,NESTLEIND,EQ,18059.05,18059.0,18098.95,17600.0,17630.3,17670.65,17754.82,147670,262185439360000.0,26901,90633,0.6138
2021-06-21,NESTLEIND,EQ,17670.65,17631.4,17710.05,17513.0,17669.15,17649.15,17603.25,40180,70729858395000.0,13065,17675,0.4399
2021-06-22,NESTLEIND,EQ,17649.15,17670.0,17747.95,17410.0,17430.0,17436.55,17477.36,70532,123271296070000.0,21127,32431,0.4598
2021-06-23,NESTLEIND,EQ,17436.55,17499.95,17560.0,17370.0,17420.0,17414.8,17445.01,37084,64693075935000.0,12161,14449,0.3896
2021-06-24,NESTLEIND,EQ,17414.8,17415.05,17670.0,17322.4,17662.0,17619.75,17537.21,65045,114070756870000.0,17131,40545,0.6233
2021-06-25,NESTLEIND,EQ,17619.75,17570.25,17650.0,17435.0,17500.05,17506.7,17509.82,39000,68288313935000.0,12588,20448,0.5243
2021-06-28,NESTLEIND,EQ,17506.7,17507.05,17620.0,17453.5,17503.0,17506.15,17541.62,40450,70955871055000.0,11158,22718,0.5616
2021-06-29,NESTLEIND,EQ,17506.15,17590.0,17750.0,17489.65,17640.0,17599.25,17615.19,71096,125236941055000.0,21632,37798,0.5316
