Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,NTPC,EQ,111.75,112.15,116.75,112.0,116.45,116.4,115.32,28407410,327582893545000.0,108221,10125595,0.3564
2021-06-08,NTPC,EQ,116.4,117.5,118.5,116.0,116.4,116.2,117.35,43191813,506834969535000.06,152027,15852288,0.36700000000000005
2021-06-09,NTPC,EQ,116.2,116.5,121.0,115.8,118.0,118.1,118.86,49807823,592030071485000.0,176140,16933157,0.34
2021-06-10,NTPC,EQ,118.1,119.35,119.9,117.3,118.35,118.5,118.58,22144392,262578619855000.03,110531,7264536,0.3281
2021-06-11,NTPC,EQ,118.5,118.9,119.55,117.55,118.6,118.8,118.65,13871562,164592492825000.0,50511,5653964,0.40759999999999996
2021-06-14,NTPC,EQ,118.8,118.8,118.9,116.25,117.9,118.2,117.45,14179055,166535052125000.0,53396,5296864,0.3736
2021-06-15,NTPC,EQ,118.2,118.2,118.95,117.6,117.7,117.8,118.22,8148417,96332393045000.0,41946,3312118,0.4065
2021-06-16,NTPC,EQ,117.8,117.8,120.6,116.85,119.0,119.8,118.94,21585917,256748918540000.0,60336,7520491,0.34840000000000004
2021-06-17,NTPC,EQ,119.8,118.2,120.6,116.95,117.0,117.4,118.43,14466025,171322756715000.0,56445,4257359,0.2943
2021-06-18,NTPC,EQ,117.4,117.4,118.15,112.9,113.7,113.55,114.33,43927941,502223219139999.94,149397,20651075,0.47009999999999996
2021-06-21,NTPC,EQ,113.55,113.25,118.45,113.05,118.05,118.0,116.47,34597018,402955498245000.0,149564,6080020,0.1757
2021-06-22,NTPC,EQ,118.0,118.5,118.9,116.95,118.1,118.3,118.05,16712010,197288624125000.0,80614,6031014,0.36090000000000005
2021-06-23,NTPC,EQ,118.3,118.85,118.85,116.95,117.2,117.25,117.76,12590251,148261876410000.0,52634,5490540,0.4361
2021-06-24,NTPC,EQ,117.25,117.2,118.5,115.7,118.15,118.0,116.88,14046692,164170901895000.0,60679,6451436,0.4593
2021-06-25,NTPC,EQ,118.0,119.1,119.1,115.7,116.1,116.05,116.79,12768348,149122628375000.0,51527,4752435,0.3722
2021-06-28,NTPC,EQ,116.05,116.9,117.85,116.0,116.15,116.15,116.82,10709748,125110511284999.98,43357,4352065,0.40640000000000004
2021-06-29,NTPC,EQ,116.15,116.25,118.55,115.4,116.75,117.6,116.98,33488455,391735397315000.0,74880,16990066,0.5073
2021-06-30,NTPC,EQ,117.6,117.85,118.45,116.15,116.25,116.4,116.98,16739618,195820455600000.0,55447,7493214,0.4476
2021-07-01,NTPC,EQ,116.4,116.8,117.8,115.7,117.45,117.35,116.79,12479506,145753400820000.0,54145,5251087,0.4208
2021-07-02,NTPC,EQ,117.35,117.55,119.05,117.0,117.85,117.5,117.73,17215972,202680738420000.0,71522,9251205,0.5374
2021-07-05,NTPC,EQ,117.5,117.9,119.1,117.25,118.55,118.6,118.48,16409169,194410736850000.0,62277,8809523,0.5369
2021-07-06,NTPC,EQ,118.6,118.1,118.95,117.05,117.65,117.65,117.73,14979094,176343144195000.0,52591,7848032,0.5239
2021-07-07,NTPC,EQ,117.65,117.05,118.2,116.85,117.35,117.45,117.63,14545289,171097955285000.0,45086,6890245,0.4737
2021-07-08,NTPC,EQ,117.45,117.35,118.7,117.2,117.25,117.45,118.01,12037089,142054577975000.0,46336,5469351,0.45439999999999997
2021-07-09,NTPC,EQ,117.45,117.0,118.4,116.25,118.0,117.8,117.27,9585144,112402909005000.0,33360,4066117,0.4242
2021-07-12,NTPC,EQ,117.8,118.0,118.75,117.15,117.75,117.85,117.91,7651672,90223446330000.0,30639,4085122,0.5339
2021-07-13,NTPC,EQ,117.85,118.15,122.0,118.1,119.75,119.9,120.63,30663035,369884251505000.0,106854,9830850,0.32060000000000005
2021-07-14,NTPC,EQ,119.9,119.95,120.95,119.8,120.7,120.75,120.56,9539611,115014310925000.0,43938,4757202,0.4987
2021-07-15,NTPC,EQ,120.75,120.75,121.2,119.2,120.1,120.3,120.31,11278872,135694177570000.0,49392,5214352,0.4623
2021-07-16,NTPC,EQ,120.3,120.15,120.8,118.3,119.4,119.1,119.16,17198632,204941753760000.0,38463,10165648,0.5911
2021-07-19,NTPC,EQ,119.1,119.1,121.85,118.5,121.5,121.4,120.52,14364285,173120998275000.0,61586,7298187,0.5081
2021-07-20,NTPC,EQ,121.4,122.0,122.0,118.2,118.25,118.45,119.33,11360716,135567701559999.98,67622,5292406,0.46590000000000004
2021-07-22,NTPC,EQ,118.45,118.75,119.7,118.55,119.0,119.2,119.06,9520328,113349519555000.0,43008,2894727,0.3041
2021-07-23,NTPC,EQ,119.2,119.4,120.1,118.3,118.65,118.5,118.97,10442400,124237942830000.0,46476,4359049,0.41740000000000005
2021-07-26,NTPC,EQ,118.5,118.2,120.0,118.05,119.3,119.35,119.37,5370055,64104819179999.99,35726,1824914,0.3398
2021-07-27,NTPC,EQ,119.35,119.3,119.6,118.2,118.7,118.85,118.87,5280342,62765084185000.0,29332,2276526,0.4311
2021-07-28,NTPC,EQ,118.85,119.55,119.55,115.8,116.55,116.8,116.96,11010096,128771237490000.02,60852,5135131,0.46640000000000004
2021-07-29,NTPC,EQ,116.8,117.7,118.25,115.25,116.65,116.75,116.72,11897018,138857051355000.0,52903,6017196,0.5058
2021-07-30,NTPC,EQ,116.75,116.95,119.95,116.25,119.0,118.2,118.47,14546264,172332747030000.0,59728,5812581,0.3996
2021-08-02,NTPC,EQ,118.2,118.6,118.75,117.0,117.9,117.75,117.89,11742555,138437161040000.02,47573,5441032,0.46340000000000003
2021-08-03,NTPC,EQ,117.75,118.5,118.5,116.5,117.55,117.65,117.49,21122697,248167945755000.03,96497,13313256,0.6303
2021-08-04,NTPC,EQ,117.65,118.05,118.85,116.55,117.45,117.85,117.66,9432176,110981890745000.0,45355,4990551,0.5291
2021-08-05,NTPC,EQ,117.85,117.05,117.8,115.95,116.55,116.5,116.56,11045322,128747759865000.02,49984,6021620,0.5452
2021-08-06,NTPC,EQ,116.5,116.5,118.7,116.45,117.85,117.65,117.83,8434733,99390447445000.0,40929,4043934,0.4794
2021-08-09,NTPC,EQ,117.65,118.5,119.1,116.55,116.9,116.7,117.89,7816050,92145777885000.0,39925,3001710,0.384
2021-08-10,NTPC,EQ,116.7,116.9,117.2,113.65,114.4,114.35,115.64,9774255,113025393730000.0,43319,4526031,0.4631
2021-08-11,NTPC,EQ,114.35,114.7,117.3,114.55,117.1,116.95,116.04,8056886,93492694155000.0,49046,3728079,0.46270000000000006
2021-08-12,NTPC,EQ,116.95,116.95,119.4,116.5,118.9,119.15,117.96,8640167,101920365815000.0,51859,4023337,0.4657
2021-08-13,NTPC,EQ,119.15,119.45,119.45,117.2,118.45,118.25,118.33,9744939,115315032250000.0,55344,5368289,0.5509000000000001
2021-08-16,NTPC,EQ,118.25,118.25,119.4,118.1,118.8,118.85,118.82,8768804,104188856660000.0,35447,4963105,0.5660000000000001
2021-08-17,NTPC,EQ,118.85,119.35,119.5,116.2,117.2,117.4,117.63,8758578,103029051950000.0,62395,4415317,0.5041
2021-08-18,NTPC,EQ,117.4,117.4,118.9,116.1,116.7,116.55,117.33,9357721,109797271630000.0,43297,4902928,0.5239
2021-08-20,NTPC,EQ,116.55,116.3,117.0,113.45,114.35,114.15,114.88,11684504,134232328995000.0,48403,6003690,0.5138
2021-08-23,NTPC,EQ,114.15,115.5,115.75,112.2,113.5,113.4,113.59,6271685,71237912850000.0,41706,2409650,0.38420000000000004
2021-08-24,NTPC,EQ,113.4,114.2,116.3,113.65,114.05,113.95,114.57,11791078,135093387995000.0,70074,5689073,0.4825
2021-08-25,NTPC,EQ,113.95,114.7,115.25,113.8,114.1,114.0,114.18,9491958,108377361150000.0,43787,5988739,0.6309
2021-08-26,NTPC,EQ,114.0,114.1,114.5,111.95,112.6,112.75,112.79,11668986,131610425484999.98,56736,6583115,0.5642
2021-08-27,NTPC,EQ,112.75,112.7,114.1,112.1,113.25,113.4,113.3,8095717,91726715310000.0,37215,4459334,0.5508
2021-08-30,NTPC,EQ,113.4,113.25,115.5,113.25,115.15,114.95,114.82,9915170,113844835175000.0,47125,6155340,0.6208
2021-08-31,NTPC,EQ,114.95,115.25,116.35,114.7,115.9,115.95,115.78,11386659,131837093455000.0,50942,7182876,0.6308
2021-09-01,NTPC,EQ,115.95,116.0,116.7,114.75,115.3,115.4,115.42,7508413,86661380045000.0,51802,4386772,0.5842
2021-09-02,NTPC,EQ,115.4,115.1,116.7,115.0,116.5,116.5,116.14,5700524,66206015735000.0,46972,3608583,0.633
2021-09-03,NTPC,EQ,116.5,117.0,117.9,116.5,116.85,117.0,117.06,9364904,109627738550000.0,50706,5381132,0.5746
2021-09-06,NTPC,EQ,117.0,117.65,117.65,115.9,116.75,116.45,116.43,7005043,81557236830000.0,58286,3836586,0.5477000000000001
2021-09-07,NTPC,EQ,116.45,116.7,116.9,115.25,115.7,115.85,115.92,7723357,89526412210000.0,52052,4330117,0.5607
2021-09-08,NTPC,EQ,115.85,113.85,114.6,112.4,114.15,114.05,113.89,10508654,119686975400000.0,76050,4821153,0.45880000000000004
2021-09-09,NTPC,EQ,114.05,113.95,114.75,113.5,114.65,114.55,114.27,5757417,65791877275000.0,37471,3280451,0.5698
