Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ONGC,EQ,125.45,126.95,127.5,124.9,125.5,125.15,126.32,28709907,362667006835000.0,119563,12258189,0.42700000000000005
2021-06-08,ONGC,EQ,125.15,125.75,125.9,122.65,125.0,124.8,124.14,15261479,189450653225000.0,71600,4154186,0.2722
2021-06-09,ONGC,EQ,124.8,127.0,128.0,123.05,124.45,124.05,125.7,29718157,373545000665000.0,114983,7377308,0.2482
2021-06-10,ONGC,EQ,124.05,123.75,124.8,122.45,124.05,123.95,123.97,12245640,151812061030000.0,57237,3161768,0.2582
2021-06-11,ONGC,EQ,123.95,123.95,126.6,122.5,123.6,123.55,124.29,18360366,228204657880000.03,90357,4480487,0.244
2021-06-14,ONGC,EQ,123.55,124.4,125.8,121.25,125.0,124.8,124.43,19547491,243231961485000.0,99597,3351674,0.17149999999999999
2021-06-15,ONGC,EQ,124.8,125.6,128.5,124.85,125.75,125.35,126.76,32779493,415516892765000.0,128447,6745112,0.20579999999999998
2021-06-16,ONGC,EQ,125.35,127.0,128.25,126.1,126.7,126.7,127.11,31654780,402366025175000.0,116004,8881351,0.2806
2021-06-17,ONGC,EQ,126.7,125.6,127.0,123.5,125.35,125.1,125.1,18124616,226736640650000.0,65333,5929915,0.3272
2021-06-18,ONGC,EQ,125.1,124.55,124.55,118.9,120.75,120.25,120.55,87912730,1059806128329999.9,159172,52628724,0.5986
2021-06-21,ONGC,EQ,120.25,119.4,122.0,118.95,121.1,120.95,120.64,15669821,189045769800000.0,66054,4790106,0.3057
2021-06-22,ONGC,EQ,120.95,122.7,124.2,121.5,122.0,122.05,123.08,23629008,290821850895000.0,90604,9709092,0.41090000000000004
2021-06-23,ONGC,EQ,122.05,123.5,124.4,121.75,123.25,123.35,122.61,21978870,269479037280000.03,76497,9293382,0.4228
2021-06-24,ONGC,EQ,123.35,124.45,124.45,121.35,122.45,122.0,122.61,24358397,298651629755000.0,88859,10037627,0.4121
2021-06-25,ONGC,EQ,122.0,122.95,124.95,120.35,121.1,120.9,122.35,34557609,422800908750000.0,137023,7320569,0.2118
2021-06-28,ONGC,EQ,120.9,122.55,124.5,121.8,122.55,122.35,123.12,23728169,292139065390000.0,106053,5641913,0.2378
2021-06-29,ONGC,EQ,122.35,121.8,122.45,119.1,119.75,119.4,120.35,20857415,251013354565000.0,98860,9005185,0.43170000000000003
2021-06-30,ONGC,EQ,119.4,120.35,120.95,117.05,117.85,117.7,119.09,19094044,227400488755000.03,89622,7047109,0.3691
2021-07-01,ONGC,EQ,117.7,117.75,119.75,117.3,118.9,118.85,118.36,16012542,189517640445000.0,76174,5939363,0.37090000000000006
2021-07-02,ONGC,EQ,118.85,120.0,120.85,118.0,118.9,118.45,119.39,20014124,238953784600000.0,73116,7043177,0.3519
2021-07-05,ONGC,EQ,118.45,119.15,121.45,118.9,121.25,120.95,119.93,12050022,144518749315000.0,77714,4548279,0.3774
2021-07-06,ONGC,EQ,120.95,123.0,125.0,121.05,121.6,121.5,122.95,30193164,371220941885000.0,118671,10954052,0.3628
2021-07-07,ONGC,EQ,121.5,119.9,120.4,117.8,120.1,119.9,118.9,18479814,219726232060000.0,72312,5796999,0.31370000000000003
2021-07-08,ONGC,EQ,119.9,119.4,119.4,116.85,117.1,117.05,118.01,17151883,202416827200000.0,68941,8951503,0.5219
2021-07-09,ONGC,EQ,117.05,117.1,118.65,116.6,118.1,117.9,117.88,11240925,132512416290000.02,54788,4130373,0.3674
2021-07-12,ONGC,EQ,117.9,119.0,119.35,118.0,118.45,118.55,118.62,8420962,99888732340000.0,41267,3819268,0.4535
2021-07-13,ONGC,EQ,118.55,119.0,120.8,118.6,120.7,120.4,119.82,8580799,102815231990000.0,47853,3601508,0.4197
2021-07-14,ONGC,EQ,120.4,120.3,121.75,120.1,120.45,120.8,121.14,12709481,153960797665000.0,55857,5601712,0.44079999999999997
2021-07-15,ONGC,EQ,120.8,119.2,119.4,116.2,117.1,116.9,117.2,28589465,335066221510000.0,186280,15436691,0.5399
