Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,POWERGRID,EQ,226.15,227.3,237.8,226.9,237.45,236.25,232.88,10158072,236556196310000.0,69230,3391946,0.33390000000000003
2021-06-08,POWERGRID,EQ,236.25,238.95,238.95,232.05,234.1,234.05,234.91,12662869,297467137105000.0,80620,5419688,0.428
2021-06-09,POWERGRID,EQ,234.05,236.0,245.5,233.8,243.25,242.1,241.13,22424506,540724117795000.0,148856,3880836,0.1731
2021-06-10,POWERGRID,EQ,242.1,248.0,248.0,240.25,241.4,241.65,243.79,18388571,448296115320000.0,125775,5481778,0.2981
2021-06-11,POWERGRID,EQ,241.65,248.8,248.8,244.0,246.6,246.3,246.12,16392434,403448927795000.0,100451,6047449,0.3689
2021-06-14,POWERGRID,EQ,246.3,247.95,249.8,242.1,249.1,248.7,246.48,10537107,259717757810000.0,77635,3979572,0.37770000000000004
2021-06-15,POWERGRID,EQ,248.7,250.55,251.5,247.05,247.6,247.6,248.93,8452513,210405905755000.0,52591,3852211,0.4557
2021-06-16,POWERGRID,EQ,247.6,246.85,247.5,240.95,242.25,242.15,242.78,17272513,419343494370000.0,81043,10871012,0.6294
2021-06-17,POWERGRID,EQ,242.15,244.05,244.05,236.75,239.85,239.85,240.0,12521910,300521082240000.0,92754,5476069,0.43729999999999997
2021-06-18,POWERGRID,EQ,239.85,244.0,245.0,230.1,234.25,233.0,235.39,27719000,652465194570000.0,223037,10305903,0.3718
2021-06-21,POWERGRID,EQ,233.0,231.9,235.45,228.4,234.8,234.85,231.78,6592407,152796862575000.0,71861,2363001,0.35840000000000005
2021-06-22,POWERGRID,EQ,234.85,232.05,237.0,232.05,234.1,234.05,234.87,6165871,144816762995000.0,52469,1866114,0.3027
2021-06-23,POWERGRID,EQ,234.05,235.75,236.0,232.0,232.8,232.25,233.4,6030649,140755425540000.0,59529,2571498,0.4264
2021-06-24,POWERGRID,EQ,232.25,232.25,232.95,228.1,231.0,231.15,230.26,7292369,167914136000000.0,70964,3549493,0.4867
2021-06-25,POWERGRID,EQ,231.15,231.45,232.8,229.4,231.0,230.85,230.69,4351744,100389233345000.0,47039,1981227,0.45530000000000004
2021-06-28,POWERGRID,EQ,230.85,232.0,232.5,230.7,232.0,231.85,231.77,5619149,130235013984999.98,54905,3541852,0.6303
2021-06-29,POWERGRID,EQ,231.85,232.6,237.9,231.65,236.25,236.0,235.11,34362892,807918469020000.0,142144,20529836,0.5974
2021-06-30,POWERGRID,EQ,236.0,237.15,237.6,232.0,232.45,232.4,233.42,9808734,228957873840000.0,83552,4286135,0.43700000000000006
2021-07-01,POWERGRID,EQ,232.4,232.55,232.95,230.2,230.8,230.8,231.16,8957710,207066853535000.0,60837,5166332,0.5767
2021-07-02,POWERGRID,EQ,230.8,230.8,231.1,227.6,228.0,227.95,228.79,5371872,122903722909999.98,51868,2844736,0.5296000000000001
2021-07-05,POWERGRID,EQ,227.95,229.3,230.9,228.35,230.15,230.3,230.09,3852668,88644390630000.0,40166,1758654,0.4565
2021-07-06,POWERGRID,EQ,230.3,229.4,230.5,228.3,228.95,228.8,229.47,3005966,68977761629999.99,39312,1538028,0.5117
2021-07-07,POWERGRID,EQ,228.8,228.8,231.45,228.8,231.4,230.95,230.2,4066256,93604220685000.0,39209,2106418,0.518
2021-07-08,POWERGRID,EQ,230.95,230.1,233.15,229.55,231.0,231.15,231.26,4916257,113693868180000.0,30731,2827483,0.5751
