Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,RELIANCE,EQ,2190.5,2202.0,2242.0,2185.0,2225.05,2227.4,2214.78,7539326,1669795878150000.0,227808,2439654,0.3236
2021-06-08,RELIANCE,EQ,2227.4,2226.6,2227.15,2198.15,2211.5,2214.6,2213.34,4464889,988233230585000.0,147771,1548468,0.3468
2021-06-09,RELIANCE,EQ,2214.6,2219.0,2221.0,2157.95,2178.0,2175.0,2189.57,5265326,1152880333615000.0,167739,1817182,0.34509999999999996
2021-06-10,RELIANCE,EQ,2175.0,2193.4,2230.0,2177.55,2184.8,2183.0,2199.39,6532832,1436827285515000.0,215752,1927662,0.29510000000000003
2021-06-11,RELIANCE,EQ,2183.0,2182.9,2228.0,2180.1,2215.8,2213.15,2214.24,6351520,1406381759510000.0,226319,1955394,0.3079
2021-06-14,RELIANCE,EQ,2213.15,2215.0,2258.25,2195.05,2245.0,2244.9,2232.14,9383416,2094509779490000.2,284426,2698433,0.2876
2021-06-15,RELIANCE,EQ,2244.9,2261.0,2274.9,2240.3,2244.0,2250.0,2257.44,7002898,1580861110025000.0,215805,2501188,0.3572
2021-06-16,RELIANCE,EQ,2250.0,2244.9,2247.05,2205.85,2209.55,2211.6,2223.78,4982975,1108104710715000.0,163887,1901607,0.3816
2021-06-17,RELIANCE,EQ,2211.6,2200.0,2235.0,2179.9,2214.15,2215.65,2212.43,7266765,1607717656255000.0,225832,2716466,0.3738
2021-06-18,RELIANCE,EQ,2215.65,2225.5,2235.0,2184.35,2224.15,2225.65,2216.48,13553801,3004172515995000.0,221167,6806773,0.5022
2021-06-21,RELIANCE,EQ,2225.65,2203.5,2247.5,2200.15,2238.95,2237.25,2225.6,5624044,1251685229150000.0,180220,1583246,0.2815
2021-06-22,RELIANCE,EQ,2237.25,2254.0,2261.0,2219.35,2225.0,2225.75,2245.45,5940386,1333886084710000.0,180362,2507156,0.42210000000000003
2021-06-23,RELIANCE,EQ,2225.75,2250.0,2250.6,2201.7,2208.15,2205.35,2217.44,7685796,1704276222855000.0,214835,3994464,0.5197
2021-06-24,RELIANCE,EQ,2205.35,2206.85,2214.6,2140.0,2147.8,2153.5,2174.85,42209687,9179980463260000.0,755278,15742153,0.373
2021-06-25,RELIANCE,EQ,2153.5,2153.5,2153.5,2081.1,2104.5,2104.45,2106.02,25546334,5380107704015000.0,629847,9894247,0.3873
2021-06-28,RELIANCE,EQ,2104.45,2122.0,2126.5,2081.0,2089.0,2086.0,2100.31,9357852,1965437982809999.8,286857,4383331,0.46840000000000004
