Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,SBILIFE,EQ,989.15,995.0,997.95,987.0,988.2,988.5,990.29,693875,68713888650000.0,34639,428255,0.6172
2021-06-08,SBILIFE,EQ,988.5,988.0,988.0,963.0,980.75,979.85,976.29,3262160,318480621450000.0,111284,1952928,0.5987
2021-06-09,SBILIFE,EQ,979.85,978.15,1007.0,978.15,997.0,998.6,998.52,3809219,380358448395000.0,110768,1588610,0.41700000000000004
2021-06-10,SBILIFE,EQ,998.6,1005.0,1005.0,992.05,997.2,997.55,998.69,1041345,103998125925000.0,40352,360091,0.3458
2021-06-11,SBILIFE,EQ,997.55,998.9,1002.5,984.0,990.0,988.1,991.06,823207,81584820885000.0,37137,337894,0.4105
2021-06-14,SBILIFE,EQ,988.1,988.1,992.75,971.35,985.0,986.15,983.1,514960,50625834630000.0,23915,186018,0.36119999999999997
2021-06-15,SBILIFE,EQ,986.15,991.8,1003.75,980.85,997.0,995.85,995.67,1137725,113279689545000.0,40032,441511,0.38810000000000006
2021-06-16,SBILIFE,EQ,995.85,999.95,1003.85,988.35,991.2,991.8,996.21,833286,83013109290000.0,31254,373622,0.4484
2021-06-17,SBILIFE,EQ,991.8,983.0,992.7,977.0,983.0,983.3,986.32,869613,85771333085000.0,41948,470732,0.5413
2021-06-18,SBILIFE,EQ,983.3,1000.7,1000.7,956.75,983.55,982.55,977.12,1888723,184550753905000.0,56255,948954,0.5024000000000001
2021-06-21,SBILIFE,EQ,982.55,973.0,990.4,968.35,984.9,981.55,975.31,887943,86602102415000.0,31296,462385,0.5207
2021-06-22,SBILIFE,EQ,981.55,982.0,1011.0,980.05,1005.0,1007.0,999.17,2289172,228728192280000.03,56603,1130862,0.494
2021-06-23,SBILIFE,EQ,1007.0,1010.5,1015.05,999.0,999.2,1000.55,1005.64,1802617,181278306130000.0,59987,700449,0.3886
2021-06-24,SBILIFE,EQ,1000.55,1000.1,1005.45,995.0,1001.4,1002.15,999.69,932721,93242892045000.0,32286,351136,0.3765
2021-06-25,SBILIFE,EQ,1002.15,997.0,1017.55,991.4,1007.05,1007.15,1007.97,980203,98801396940000.0,36915,340247,0.3471
2021-06-28,SBILIFE,EQ,1007.15,1010.5,1019.7,998.0,1003.0,1002.1,1009.38,1107325,111771382825000.0,45933,510224,0.4608
2021-06-29,SBILIFE,EQ,1002.1,1000.1,1017.3,995.25,998.0,999.4,1001.83,2486963,249152428785000.0,70998,1537989,0.6184000000000001
2021-06-30,SBILIFE,EQ,999.4,1002.4,1011.75,998.45,1007.15,1008.15,1007.29,777901,78356813365000.0,29245,342169,0.4399
2021-07-01,SBILIFE,EQ,1008.15,1009.0,1017.4,1002.6,1007.0,1006.9,1010.17,834379,84286570075000.0,23523,462753,0.5546
2021-07-02,SBILIFE,EQ,1006.9,1010.9,1010.9,996.05,1006.1,1007.2,1003.49,581097,58312290429999.99,33193,271179,0.4667
2021-07-05,SBILIFE,EQ,1007.2,1014.0,1014.95,1005.8,1009.55,1009.85,1011.4,431929,43685501305000.0,15397,166437,0.38530000000000003
2021-07-06,SBILIFE,EQ,1009.85,1010.95,1032.9,1006.1,1025.0,1023.15,1025.29,1693798,173664251930000.0,59445,570874,0.337
2021-07-07,SBILIFE,EQ,1023.15,1023.5,1027.0,1012.55,1015.0,1014.4,1019.17,888200,90522908605000.0,29662,568117,0.6396000000000001
2021-07-08,SBILIFE,EQ,1014.4,1010.75,1026.0,1002.1,1023.45,1021.6,1016.16,868890,88293061075000.0,22013,448997,0.5167
2021-07-09,SBILIFE,EQ,1021.6,1014.1,1028.0,1012.55,1019.7,1019.6,1019.79,930387,94879959125000.0,33331,431268,0.4635
2021-07-12,SBILIFE,EQ,1019.6,1019.7,1036.0,1018.95,1035.5,1033.45,1030.87,1297301,133735052365000.02,35167,638203,0.4919
2021-07-13,SBILIFE,EQ,1033.45,1040.0,1056.5,1036.05,1055.0,1052.65,1047.52,2525938,264596023275000.0,75992,1351077,0.5349
2021-07-14,SBILIFE,EQ,1052.65,1050.0,1060.85,1047.0,1053.0,1052.4,1055.82,1596046,168513817240000.0,38173,975292,0.6111
2021-07-15,SBILIFE,EQ,1052.4,1053.5,1064.95,1049.35,1053.0,1052.95,1053.98,796945,83996168015000.0,26224,450949,0.5658
2021-07-16,SBILIFE,EQ,1052.95,1054.0,1057.85,1047.1,1050.0,1050.25,1050.71,699003,73445013890000.0,38400,423947,0.6065
2021-07-19,SBILIFE,EQ,1050.25,1044.9,1050.25,1027.3,1037.2,1037.85,1040.46,643558,66959376470000.01,29775,369046,0.5734
2021-07-20,SBILIFE,EQ,1037.85,1037.25,1041.2,1012.8,1016.2,1014.75,1023.88,695099,71169761575000.0,38525,396251,0.5700999999999999
2021-07-22,SBILIFE,EQ,1014.75,1017.0,1038.8,1017.0,1028.0,1026.0,1030.31,915518,94327175870000.0,39460,317117,0.3464
2021-07-23,SBILIFE,EQ,1026.0,1025.5,1053.95,1023.55,1048.95,1050.45,1046.63,1290998,135119245920000.0,47020,383044,0.2967
2021-07-26,SBILIFE,EQ,1050.45,1048.0,1104.9,1040.1,1092.05,1076.65,1067.16,2151393,229587603385000.0,75601,521384,0.24230000000000002
2021-07-27,SBILIFE,EQ,1076.65,1098.0,1113.75,1063.0,1111.0,1105.15,1094.19,6096747,667100316085000.0,148592,2547453,0.4178
2021-07-28,SBILIFE,EQ,1105.15,1115.0,1138.8,1093.0,1129.0,1133.4,1120.79,4409570,494218251210000.06,119403,1399613,0.3174
2021-07-29,SBILIFE,EQ,1133.4,1133.0,1148.0,1124.05,1124.05,1128.85,1137.87,1555904,177042331925000.0,55486,589170,0.3787
2021-07-30,SBILIFE,EQ,1128.85,1123.0,1123.0,1092.0,1111.05,1098.6,1104.96,1238229,136819931634999.98,41660,505427,0.4082
2021-08-02,SBILIFE,EQ,1098.6,1111.05,1128.5,1101.95,1105.25,1107.2,1112.02,1582968,176028823210000.0,67011,682769,0.4313
2021-08-03,SBILIFE,EQ,1107.2,1105.25,1134.9,1094.8,1128.25,1131.7,1118.27,1033719,115598201595000.0,41873,315697,0.3054
2021-08-04,SBILIFE,EQ,1131.7,1130.0,1144.65,1125.0,1139.5,1136.85,1136.06,1840302,209069245700000.0,86681,959859,0.5216
2021-08-05,SBILIFE,EQ,1136.85,1170.2,1175.7,1125.0,1138.25,1134.75,1142.83,6687775,764298476480000.0,136770,2959391,0.4425
