Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,SBIN,EQ,433.6,435.1,437.4,430.8,431.3,432.25,434.78,20201197,878303545100000.0,174837,6487715,0.3212
2021-06-08,SBIN,EQ,432.25,432.25,432.5,424.0,427.4,427.2,427.47,31113823,1330030038520000.0,247824,9816376,0.3155
2021-06-09,SBIN,EQ,427.2,427.5,432.3,418.2,421.95,421.45,426.58,27784834,1185249046530000.0,241080,6008214,0.2162
2021-06-10,SBIN,EQ,421.45,424.9,433.3,422.4,432.4,432.25,428.67,27397712,1174470824810000.0,211924,7523211,0.2746
2021-06-11,SBIN,EQ,432.25,434.85,435.5,425.25,429.4,429.6,430.04,26831924,1153869802875000.0,211915,6400469,0.23850000000000002
2021-06-14,SBIN,EQ,429.6,427.0,432.45,416.7,430.0,430.35,424.94,30106015,1279312295895000.0,279081,8165857,0.2712
2021-06-15,SBIN,EQ,430.35,429.2,432.8,428.0,429.2,429.5,430.4,16413658,706448778430000.0,162940,3299558,0.201
2021-06-16,SBIN,EQ,429.5,428.0,432.75,425.0,425.6,425.95,428.25,19701175,843697196900000.0,167477,4064252,0.20629999999999998
2021-06-17,SBIN,EQ,425.95,421.0,425.95,416.6,419.7,420.25,421.98,23048331,972601001975000.0,218316,6472192,0.2808
2021-06-18,SBIN,EQ,420.25,423.9,423.9,402.65,414.5,412.9,410.77,45748727,1879243109090000.2,482106,12706247,0.2777
2021-06-21,SBIN,EQ,412.9,406.35,421.0,400.5,419.1,419.75,411.51,33128978,1363297391695000.0,300583,6731788,0.20320000000000002
2021-06-22,SBIN,EQ,419.75,423.0,425.45,417.3,418.25,418.65,422.18,28442965,1200812274365000.0,238271,9392524,0.33020000000000005
2021-06-23,SBIN,EQ,418.65,421.1,424.75,415.0,418.8,418.85,420.54,27564829,1159203405825000.0,219929,4961124,0.18
2021-06-24,SBIN,EQ,418.85,420.35,422.75,416.3,418.25,417.2,419.42,19214547,805895689125000.0,171615,4841128,0.252
2021-06-25,SBIN,EQ,417.2,421.0,431.0,419.05,428.65,428.8,426.03,29886797,1273264920610000.0,237815,8914078,0.2983
2021-06-28,SBIN,EQ,428.8,430.7,433.15,424.55,426.45,426.75,427.91,29370660,1256813200765000.0,226087,9818539,0.3343
2021-06-29,SBIN,EQ,426.75,427.5,428.95,420.55,421.4,421.5,423.98,22275961,944451127410000.0,199410,8437375,0.3788
2021-06-30,SBIN,EQ,421.5,423.0,424.9,418.3,419.0,419.2,422.01,18337773,773863281895000.0,166062,4722649,0.2575
2021-07-01,SBIN,EQ,419.2,420.3,423.7,417.15,421.2,420.4,420.97,16161469,680354637085000.0,146987,3289674,0.2036
2021-07-02,SBIN,EQ,420.4,420.3,425.4,419.0,424.8,424.4,422.72,16423811,694267615560000.0,150826,4269757,0.26
2021-07-05,SBIN,EQ,424.4,426.5,434.5,424.25,433.7,432.65,428.55,16483761,706412712660000.0,153743,5660728,0.34340000000000004
2021-07-06,SBIN,EQ,432.65,431.7,436.5,428.2,429.3,429.75,433.45,20195278,875355766720000.1,209939,5413566,0.2681
2021-07-07,SBIN,EQ,429.75,429.35,434.0,427.55,433.0,432.85,431.0,14473774,623813569760000.0,130765,3715611,0.25670000000000004
2021-07-08,SBIN,EQ,432.85,432.8,435.4,422.1,424.5,424.45,429.03,21433043,919549400304999.9,215558,5669467,0.2645
2021-07-09,SBIN,EQ,424.45,425.0,427.5,421.05,423.8,423.75,423.87,16844494,713988027385000.0,158445,4397446,0.2611
2021-07-12,SBIN,EQ,423.75,426.5,430.25,424.6,427.6,427.45,427.88,12886781,551398212260000.06,130234,3100116,0.24059999999999998
2021-07-13,SBIN,EQ,427.45,430.0,431.8,428.3,428.85,429.1,429.95,12831125,551671077120000.0,116776,4276395,0.3333
2021-07-14,SBIN,EQ,429.1,429.0,432.3,426.4,431.2,431.05,429.74,12767351,548670260000000.0,157944,4429592,0.3469
2021-07-15,SBIN,EQ,431.05,432.7,432.95,429.65,431.65,431.7,431.53,11030732,476010662420000.0,126999,3378724,0.3063
2021-07-16,SBIN,EQ,431.7,432.0,432.5,427.45,430.6,430.0,429.67,8713863,374406893680000.0,86998,2161111,0.24800000000000003
2021-07-19,SBIN,EQ,430.0,423.4,429.45,418.85,428.5,427.9,426.05,14426686,614655978455000.0,142972,4300410,0.2981
2021-07-20,SBIN,EQ,427.9,427.0,427.0,418.9,421.0,420.9,422.47,14623321,617788638765000.0,175334,4341360,0.2969
2021-07-22,SBIN,EQ,420.9,425.55,426.7,420.9,422.25,422.05,424.24,11799761,500598705625000.0,145497,3403902,0.28850000000000003
2021-07-23,SBIN,EQ,422.05,422.9,429.95,419.5,428.5,428.9,424.32,17704661,751247124840000.0,158647,4726281,0.267
2021-07-26,SBIN,EQ,428.9,427.8,427.8,422.3,422.85,423.3,424.32,14037519,595637424520000.0,153835,4170799,0.29710000000000003
2021-07-27,SBIN,EQ,423.3,424.15,433.25,424.0,429.2,429.95,430.0,24119619,1037148512440000.0,199224,8645999,0.35850000000000004
2021-07-28,SBIN,EQ,429.95,430.0,430.5,421.05,424.8,425.5,424.98,17636515,749513231075000.0,188398,5520335,0.313
