Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,SHREECEM,EQ,28153.65,28209.95,29344.85,28209.95,28851.15,29155.8,28982.38,89841,260380559160000.0,29042,36098,0.4018
2021-06-08,SHREECEM,EQ,29155.8,29025.0,29199.0,28647.0,28847.0,28955.35,28924.26,49167,142211907570000.0,16978,17157,0.349
2021-06-09,SHREECEM,EQ,28955.35,28820.0,28889.05,28300.2,28370.9,28407.35,28552.3,46246,132042971084999.98,15228,15814,0.342
2021-06-10,SHREECEM,EQ,28407.35,28562.0,29124.0,28120.4,28287.95,28225.8,28640.33,54902,157241157395000.0,17508,19083,0.34759999999999996
2021-06-11,SHREECEM,EQ,28225.8,28475.8,28564.55,27980.0,28065.0,28056.0,28242.79,38680,109243130865000.02,12563,13263,0.3429
2021-06-14,SHREECEM,EQ,28056.0,28000.0,28385.0,27752.2,28362.35,28334.05,28143.66,43225,121650976565000.02,16033,11045,0.2555
2021-06-15,SHREECEM,EQ,28334.05,28300.0,28650.0,28214.3,28465.0,28485.9,28494.89,25267,71998028270000.0,9266,8928,0.3533
2021-06-16,SHREECEM,EQ,28485.9,28323.0,28590.0,28132.5,28165.9,28224.75,28349.0,15215,43133009380000.0,5735,3392,0.2229
2021-06-17,SHREECEM,EQ,28224.75,28015.05,28800.0,28015.05,28205.0,28368.1,28509.78,39467,112519555315000.02,14708,9456,0.2396
2021-06-18,SHREECEM,EQ,28368.1,28368.1,28570.0,27878.8,28020.0,28045.8,28158.33,51080,143832745105000.0,15214,25094,0.4913
2021-06-21,SHREECEM,EQ,28045.8,27878.05,28500.0,27718.2,28110.1,28225.35,28089.15,18926,53161526565000.0,6209,2910,0.15380000000000002
2021-06-22,SHREECEM,EQ,28225.35,28251.0,29506.85,28251.0,29161.15,29239.05,29001.5,73694,213723672355000.0,20004,29806,0.4045
2021-06-23,SHREECEM,EQ,29239.05,29256.0,29315.4,28749.8,28825.15,28867.2,28944.08,24623,71269016760000.0,9620,4689,0.19039999999999999
2021-06-24,SHREECEM,EQ,28867.2,28870.0,29094.95,28600.0,28603.0,28672.3,28774.86,23493,67600779504999.99,7740,6745,0.2871
2021-06-25,SHREECEM,EQ,28672.3,28700.0,28899.7,28605.0,28660.3,28729.1,28761.26,19694,56642422390000.0,6287,7464,0.379
2021-06-28,SHREECEM,EQ,28729.1,28740.0,28943.35,28350.15,28399.95,28390.2,28568.9,21571,61625975295000.01,7431,5862,0.2718
2021-06-29,SHREECEM,EQ,28390.2,28399.95,28467.7,28100.3,28218.0,28134.45,28198.28,25900,73033552350000.0,8957,9622,0.3715
2021-06-30,SHREECEM,EQ,28134.45,27830.0,28450.0,27451.0,27600.0,27504.6,27735.31,55961,155209549410000.0,16577,19369,0.3461
2021-07-01,SHREECEM,EQ,27504.6,27600.0,27600.2,26946.0,27207.0,27059.95,27094.08,67327,182416288800000.0,18655,34066,0.506
2021-07-02,SHREECEM,EQ,27059.95,27280.0,27280.0,26840.05,27050.0,27014.9,26980.32,49970,134820658220000.0,13363,26953,0.5394
2021-07-05,SHREECEM,EQ,27014.9,27190.0,27250.0,26950.0,27000.0,26987.6,27083.69,25475,68995704465000.0,9192,10112,0.3969
2021-07-06,SHREECEM,EQ,26987.6,27179.2,27925.0,27000.0,27800.0,27769.1,27668.47,93088,257560213644999.97,23783,29729,0.3194
2021-07-07,SHREECEM,EQ,27769.1,27705.0,28114.1,27169.45,27610.0,27547.0,27697.7,78838,218363150175000.0,20800,33315,0.4226
2021-07-08,SHREECEM,EQ,27547.0,27690.0,28090.0,27441.7,27500.0,27581.8,27805.17,54037,150250787145000.0,16615,13094,0.24230000000000002
2021-07-09,SHREECEM,EQ,27581.8,27511.05,27632.75,27230.0,27523.0,27502.75,27416.28,45571,124938715355000.0,13341,19852,0.43560000000000004
2021-07-12,SHREECEM,EQ,27502.75,27698.5,28419.0,27584.05,28022.05,28034.95,28156.62,66083,186067363395000.0,19842,14996,0.22690000000000002
2021-07-13,SHREECEM,EQ,28034.95,28150.0,28413.3,27800.0,28050.0,28070.4,28067.44,32129,90177865175000.0,10440,6328,0.197
2021-07-14,SHREECEM,EQ,28070.4,28000.0,28490.0,27860.25,28370.0,28414.7,28266.4,38221,108037003720000.0,12767,11854,0.31010000000000004
2021-07-15,SHREECEM,EQ,28414.7,28414.7,28580.0,28251.3,28435.0,28427.45,28445.09,25188,71647502040000.0,10014,9181,0.36450000000000005
2021-07-16,SHREECEM,EQ,28427.45,28427.45,28500.0,28000.0,28070.0,28096.15,28154.62,37668,106052813240000.0,12890,19488,0.5174000000000001
2021-07-19,SHREECEM,EQ,28096.15,28050.0,28108.1,27817.1,28099.95,27996.85,27969.05,24450,68384330079999.99,8876,10904,0.446
2021-07-20,SHREECEM,EQ,27996.85,28099.9,28555.0,28000.0,28025.0,28082.9,28228.15,71764,202576470545000.0,22382,28183,0.39270000000000005
2021-07-22,SHREECEM,EQ,28082.9,28150.0,28226.25,27915.0,28066.0,28080.0,28091.87,22745,63894952775000.0,9644,10261,0.4511
2021-07-23,SHREECEM,EQ,28080.0,28085.1,28227.65,27855.2,27913.0,27986.4,28039.58,28958,81197019995000.0,9504,14309,0.4941
2021-07-26,SHREECEM,EQ,27986.4,27900.0,28228.35,27812.05,27912.0,27968.3,28032.89,37460,105011194020000.0,9860,21716,0.5797
2021-07-27,SHREECEM,EQ,27968.3,28000.0,28473.0,27751.3,27824.0,27865.15,28177.57,46133,129991588195000.0,12902,16921,0.3668
