Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,SUNPHARMA,EQ,673.95,673.95,677.8,670.9,674.5,675.35,674.24,2793705,188363195705000.0,44608,1094312,0.39170000000000005
2021-06-08,SUNPHARMA,EQ,675.35,673.0,679.95,665.1,679.7,678.75,672.09,5695920,382818590270000.0,88438,2930616,0.5145000000000001
2021-06-09,SUNPHARMA,EQ,678.75,681.05,684.7,667.6,673.05,672.85,678.63,4492551,304879381120000.0,96059,1511261,0.33640000000000003
2021-06-10,SUNPHARMA,EQ,672.85,673.05,681.0,673.0,676.45,676.05,677.93,3099864,210148457460000.0,71789,1229293,0.39659999999999995
2021-06-11,SUNPHARMA,EQ,676.05,675.2,686.35,674.05,681.2,681.3,680.7,3822099,260170766775000.0,97916,1499787,0.3924
2021-06-14,SUNPHARMA,EQ,681.3,682.0,683.7,671.55,677.1,677.1,676.89,3640962,246452285985000.0,63647,1871120,0.5139
2021-06-15,SUNPHARMA,EQ,677.1,677.1,681.4,671.75,673.7,673.2,675.01,3862284,260709146025000.0,86730,2061143,0.5337
2021-06-16,SUNPHARMA,EQ,673.2,675.0,680.5,666.85,667.85,668.55,672.0,4842448,325413274600000.0,93854,1640256,0.3387
2021-06-17,SUNPHARMA,EQ,668.55,671.8,673.55,661.65,664.5,665.05,668.26,2776147,185518283890000.0,60034,783693,0.2823
2021-06-18,SUNPHARMA,EQ,665.05,667.0,673.0,652.7,669.95,668.5,665.99,4158743,276967067475000.0,79665,1438632,0.34590000000000004
2021-06-21,SUNPHARMA,EQ,668.5,662.0,674.8,662.0,671.9,671.35,670.05,2932177,196470378995000.0,59975,721924,0.2462
2021-06-22,SUNPHARMA,EQ,671.35,678.0,680.25,665.85,666.55,666.8,670.47,4577152,306886013735000.0,96835,1794014,0.39189999999999997
2021-06-23,SUNPHARMA,EQ,666.8,666.8,672.35,664.25,666.0,665.25,668.2,2631031,175805719060000.0,39905,1081206,0.41090000000000004
2021-06-24,SUNPHARMA,EQ,665.25,664.2,671.0,661.5,664.8,664.8,666.23,3460776,230567436744999.97,69323,1546200,0.44680000000000003
