Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TATACONSUM,EQ,686.95,690.0,707.0,687.3,701.6,699.95,700.06,3511853,245851370215000.0,77473,1117170,0.3181
2021-06-08,TATACONSUM,EQ,699.95,705.15,715.4,701.6,709.05,710.45,710.68,3981598,282962834670000.0,81544,1170355,0.2939
2021-06-09,TATACONSUM,EQ,710.45,712.3,714.85,700.75,703.0,702.85,707.3,3039558,214988448944999.97,88208,1632068,0.5369
2021-06-10,TATACONSUM,EQ,702.85,704.3,718.75,704.0,708.0,707.7,711.06,2571253,182831587745000.0,59865,780636,0.3036
2021-06-11,TATACONSUM,EQ,707.7,714.15,717.35,709.5,716.0,715.4,714.55,2171601,155171033780000.0,52885,1031287,0.47490000000000004
2021-06-14,TATACONSUM,EQ,715.4,715.4,717.0,702.6,717.0,714.75,713.68,1798953,128387323245000.0,50643,727474,0.4044
2021-06-15,TATACONSUM,EQ,714.75,718.0,724.1,715.4,718.2,719.5,720.35,2387652,171994609800000.0,45274,1038909,0.4351
2021-06-16,TATACONSUM,EQ,719.5,724.0,737.75,721.0,734.65,735.9,731.0,4134529,302234257740000.0,79498,950875,0.23
2021-06-17,TATACONSUM,EQ,735.9,730.55,747.3,724.85,744.15,745.0,740.66,4167585,308674589410000.0,82222,1364023,0.3273
2021-06-18,TATACONSUM,EQ,745.0,746.0,747.45,732.1,737.9,739.8,740.29,3762934,278565394685000.0,59254,2111842,0.5612
2021-06-21,TATACONSUM,EQ,739.8,729.0,743.95,727.85,743.5,742.55,736.26,1594856,117423359084999.98,57818,615980,0.3862
2021-06-22,TATACONSUM,EQ,742.55,748.0,758.75,742.35,757.5,756.7,752.67,3346784,251903078475000.0,80242,1479984,0.4422
2021-06-23,TATACONSUM,EQ,756.7,760.0,765.0,751.85,759.0,757.85,758.95,2952360,224068850640000.0,77090,1025978,0.34750000000000003
2021-06-24,TATACONSUM,EQ,757.85,762.0,763.8,754.0,758.0,757.45,758.59,1668843,126596607080000.0,45963,653943,0.39189999999999997
2021-06-25,TATACONSUM,EQ,757.45,755.0,763.45,753.5,758.45,757.6,758.84,1588289,120526180395000.0,38406,829162,0.522
2021-06-28,TATACONSUM,EQ,757.6,762.0,769.7,759.0,767.35,765.65,765.51,1486902,113823504795000.0,45389,523983,0.35240000000000005
