Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TATAMOTORS,EQ,334.95,339.75,351.0,339.75,344.35,345.5,346.4,64986814,2251144512759999.8,454768,12141141,0.1868
2021-06-08,TATAMOTORS,EQ,345.5,346.25,356.65,337.5,356.5,352.75,346.15,44104954,1526703955015000.0,280211,6886102,0.1561
2021-06-09,TATAMOTORS,EQ,352.75,356.2,358.9,339.75,343.55,343.35,350.63,59334814,2080478807545000.0,364388,7909760,0.1333
2021-06-10,TATAMOTORS,EQ,343.35,345.2,347.85,342.4,345.05,344.75,345.05,24351860,840261147595000.0,173167,3728297,0.1531
2021-06-11,TATAMOTORS,EQ,344.75,346.0,352.9,344.35,350.0,350.75,349.49,36441967,1273625449720000.0,238009,7752772,0.2127
2021-06-14,TATAMOTORS,EQ,350.75,350.05,357.9,341.1,355.85,355.95,350.96,38482142,1350568567035000.0,258674,5912785,0.1537
2021-06-15,TATAMOTORS,EQ,355.95,355.75,360.75,351.5,352.0,352.7,356.11,35526159,1265113922010000.0,244448,5715423,0.16090000000000002
2021-06-16,TATAMOTORS,EQ,352.7,350.1,356.0,348.1,348.35,349.35,351.5,27550588,968407492579999.9,185607,3436552,0.1247
2021-06-17,TATAMOTORS,EQ,349.35,348.4,352.9,342.25,344.9,345.65,347.75,29236974,1016730141035000.0,215768,4307709,0.14730000000000001
2021-06-18,TATAMOTORS,EQ,345.65,345.65,346.9,329.0,338.7,337.4,337.3,49440514,1667621127970000.0,335484,11853384,0.2398
2021-06-21,TATAMOTORS,EQ,337.4,330.9,335.8,326.2,334.0,334.3,331.38,29123887,965106990495000.1,220372,3984920,0.1368
2021-06-22,TATAMOTORS,EQ,334.3,337.1,344.3,336.15,337.25,337.9,341.06,26708459,910908724890000.0,196463,3645588,0.1365
2021-06-23,TATAMOTORS,EQ,337.9,341.0,343.25,334.3,335.5,335.25,338.98,25741628,872592133125000.0,163850,3796141,0.1475
2021-06-24,TATAMOTORS,EQ,335.25,335.0,337.4,333.35,335.3,334.65,335.51,15580223,522737796139999.94,119970,2603785,0.1671
2021-06-25,TATAMOTORS,EQ,334.65,335.9,342.8,335.9,339.1,339.65,340.03,22426352,762574231495000.0,162950,3345310,0.1492
2021-06-28,TATAMOTORS,EQ,339.65,340.8,345.0,337.55,343.0,342.8,341.0,17843975,608488041000000.0,128540,2803029,0.15710000000000002
2021-06-29,TATAMOTORS,EQ,342.8,342.65,346.5,339.6,342.3,341.55,343.24,22462297,770994047845000.0,166772,3533086,0.1573
2021-06-30,TATAMOTORS,EQ,341.55,342.0,345.35,338.85,340.0,339.6,342.64,18277841,626263034530000.0,144643,2815163,0.154
2021-07-01,TATAMOTORS,EQ,339.6,341.5,347.4,341.2,344.5,344.25,344.48,27944816,962645527675000.0,201015,5436759,0.19460000000000002
2021-07-02,TATAMOTORS,EQ,344.25,345.3,345.55,340.5,344.9,344.9,343.54,18304387,628834848695000.0,125567,2958441,0.1616
2021-07-05,TATAMOTORS,EQ,344.9,347.05,350.1,344.0,345.8,346.1,347.14,18399524,638727779705000.0,160130,3299644,0.1793
2021-07-06,TATAMOTORS,EQ,346.1,348.0,358.2,311.5,316.6,316.9,330.49,164083830,5422839691080000.0,1126291,38354169,0.23370000000000002
2021-07-07,TATAMOTORS,EQ,316.9,316.0,319.1,306.25,317.25,317.1,313.64,112183313,3518529892175000.0,818147,15596852,0.139
2021-07-08,TATAMOTORS,EQ,317.1,314.8,314.8,305.0,306.15,306.35,309.6,87360324,2704688089405000.0,729702,24053100,0.27530000000000004
2021-07-09,TATAMOTORS,EQ,306.35,305.8,308.85,301.85,307.35,306.3,306.02,48807214,1493620842135000.0,404151,8296563,0.17
2021-07-12,TATAMOTORS,EQ,306.3,310.8,312.0,306.1,307.5,307.45,308.4,32282319,995576558029999.9,251579,7145145,0.2213
2021-07-13,TATAMOTORS,EQ,307.45,310.0,312.25,308.15,310.65,310.95,310.09,25736308,798059827045000.0,203069,5808946,0.2257
2021-07-14,TATAMOTORS,EQ,310.95,310.0,313.3,308.65,309.0,309.55,310.72,21863250,679338394060000.0,178728,4650099,0.2127
2021-07-15,TATAMOTORS,EQ,309.55,310.5,312.85,307.6,310.1,310.25,309.95,23617599,732034153070000.0,186448,6716209,0.28440000000000004
2021-07-16,TATAMOTORS,EQ,310.25,311.1,315.45,310.5,311.1,311.25,312.6,25148606,786137651765000.0,207808,5188993,0.20629999999999998
2021-07-19,TATAMOTORS,EQ,311.25,308.95,310.3,306.0,309.1,308.85,308.28,21346348,658066210725000.0,212078,4775597,0.2237
2021-07-20,TATAMOTORS,EQ,308.85,307.0,308.0,301.05,301.85,302.15,304.33,27672567,842166236200000.0,301520,8696392,0.3143
2021-07-22,TATAMOTORS,EQ,302.15,305.5,307.45,301.05,303.1,302.55,303.96,21338361,648599048630000.0,217237,7296981,0.342
2021-07-23,TATAMOTORS,EQ,302.55,300.5,301.9,295.0,295.8,295.55,296.59,33435130,991668418254999.9,355996,9811330,0.2934
2021-07-26,TATAMOTORS,EQ,295.55,295.0,297.0,291.0,292.75,293.15,293.67,27502360,807665479010000.0,261987,7874978,0.2863
2021-07-27,TATAMOTORS,EQ,293.15,293.0,297.65,288.6,291.0,291.4,292.45,55132877,1612335112490000.0,366440,23520260,0.4266
2021-07-28,TATAMOTORS,EQ,291.4,290.0,290.9,283.6,285.0,284.45,285.94,36139725,1033367196895000.1,351962,16502661,0.45659999999999995
2021-07-29,TATAMOTORS,EQ,284.45,287.55,295.4,287.55,293.8,292.9,292.69,57733359,1689807283035000.0,338308,26369550,0.45670000000000005
2021-07-30,TATAMOTORS,EQ,292.9,294.0,300.0,293.25,294.4,293.95,296.77,30589609,907809710865000.0,259275,7377498,0.24120000000000003
2021-08-02,TATAMOTORS,EQ,293.95,299.15,299.4,295.6,296.7,296.85,297.25,19273390,572892171600000.0,205351,5478643,0.2843
2021-08-03,TATAMOTORS,EQ,296.85,298.5,304.5,297.7,303.65,303.7,302.05,31063992,938272868065000.0,270036,8142744,0.2621
2021-08-04,TATAMOTORS,EQ,303.7,304.75,306.45,297.2,298.1,298.15,301.03,26186248,788293406665000.0,234889,8520763,0.3254
2021-08-05,TATAMOTORS,EQ,298.15,295.5,300.9,292.75,299.5,299.7,296.98,20704901,614903989930000.0,205321,4391850,0.2121
2021-08-06,TATAMOTORS,EQ,299.7,300.05,303.4,297.65,300.2,300.05,300.96,16001898,481600789735000.06,141187,3454661,0.2159
2021-08-09,TATAMOTORS,EQ,300.05,300.75,304.2,296.05,297.95,298.1,300.08,16985859,509708127025000.0,171283,3440650,0.20260000000000003
2021-08-10,TATAMOTORS,EQ,298.1,297.9,300.2,291.0,294.2,294.2,296.16,15173990,449398186910000.06,161082,2795696,0.18420000000000003
