Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TATASTEEL,EQ,1120.7,1130.0,1150.0,1125.55,1128.45,1128.7,1136.33,12218592,1388437472430000.0,197050,3345018,0.2738
2021-06-08,TATASTEEL,EQ,1128.7,1132.7,1132.7,1100.05,1110.0,1111.1,1110.0,10834373,1202613799805000.0,191239,3046224,0.2812
2021-06-09,TATASTEEL,EQ,1111.1,1117.0,1128.0,1093.95,1100.0,1101.0,1109.8,11114338,1233471600565000.0,204628,3422001,0.3079
2021-06-10,TATASTEEL,EQ,1101.0,1109.3,1125.8,1102.9,1116.0,1114.45,1115.83,7776764,867757877660000.0,129554,2074944,0.2668
2021-06-11,TATASTEEL,EQ,1114.45,1127.8,1164.6,1113.1,1163.1,1158.35,1138.98,17445856,1987040385040000.2,263906,4331859,0.2483
2021-06-14,TATASTEEL,EQ,1158.35,1168.0,1178.65,1140.0,1164.5,1164.8,1166.05,16031264,1869317811975000.0,279545,2962208,0.18480000000000002
2021-06-15,TATASTEEL,EQ,1164.8,1170.0,1186.8,1160.1,1173.0,1174.3,1176.27,9768102,1148991731905000.0,192729,2748130,0.2813
2021-06-16,TATASTEEL,EQ,1174.3,1169.0,1184.75,1131.65,1140.0,1142.15,1150.86,17521107,2016441398870000.0,327146,4217090,0.2407
2021-06-17,TATASTEEL,EQ,1142.15,1118.95,1133.8,1095.65,1105.5,1103.75,1112.1,16207687,1802459769559999.8,314441,3813390,0.2353
2021-06-18,TATASTEEL,EQ,1103.75,1105.0,1109.9,1050.25,1095.15,1092.3,1081.54,40347077,4363709487250000.0,425612,18114387,0.449
2021-06-21,TATASTEEL,EQ,1092.3,1070.0,1109.0,1063.65,1106.0,1106.15,1093.29,13001432,1421431007105000.0,230827,3222639,0.2479
2021-06-22,TATASTEEL,EQ,1106.15,1114.2,1131.0,1106.5,1109.75,1112.3,1118.56,9024634,1009463581835000.0,165896,1984199,0.21989999999999998
2021-06-23,TATASTEEL,EQ,1112.3,1120.5,1127.55,1097.85,1101.7,1100.1,1113.57,7806336,869289293640000.0,135920,1441212,0.18460000000000001
2021-06-24,TATASTEEL,EQ,1100.1,1105.0,1120.5,1098.45,1119.0,1113.15,1111.66,7239470,804785683860000.0,111903,1667934,0.2304
2021-06-25,TATASTEEL,EQ,1113.15,1135.0,1170.0,1130.0,1165.5,1165.25,1157.46,18022770,2086063770250000.0,297315,4041495,0.2242
2021-06-28,TATASTEEL,EQ,1165.25,1174.0,1189.0,1163.0,1185.0,1184.0,1178.64,11660335,1374332393765000.0,188990,2073657,0.1778
2021-06-29,TATASTEEL,EQ,1184.0,1184.5,1192.0,1165.55,1174.25,1172.55,1176.74,7803759,918301130290000.0,152319,1344220,0.1723
2021-06-30,TATASTEEL,EQ,1172.55,1181.05,1191.0,1162.8,1164.95,1166.6,1179.73,8043267,948886290835000.0,152274,1365428,0.1698
2021-07-01,TATASTEEL,EQ,1166.6,1171.9,1176.8,1156.45,1162.9,1163.55,1166.47,5614928,654965093590000.0,102568,1036848,0.1847
2021-07-02,TATASTEEL,EQ,1163.55,1166.0,1166.8,1130.2,1137.9,1136.0,1144.91,7573407,867090066550000.0,144117,1575340,0.20800000000000002
2021-07-05,TATASTEEL,EQ,1136.0,1146.0,1161.8,1136.0,1158.5,1156.85,1148.17,7679900,881784570179999.9,151161,1322637,0.1722
2021-07-06,TATASTEEL,EQ,1156.85,1158.65,1178.0,1150.25,1165.9,1167.25,1165.16,9146835,1065752842815000.0,170937,1707048,0.18660000000000002
2021-07-07,TATASTEEL,EQ,1167.25,1167.95,1225.0,1158.5,1225.0,1218.65,1195.87,16745626,2002551463409999.8,274187,3240117,0.1935
2021-07-08,TATASTEEL,EQ,1218.65,1225.0,1230.0,1181.2,1190.0,1189.75,1205.09,12410585,1495590148235000.0,229065,2184368,0.17600000000000002
2021-07-09,TATASTEEL,EQ,1189.75,1192.0,1244.1,1188.0,1239.75,1239.35,1220.4,17859356,2179552692475000.0,305588,2502871,0.1401
2021-07-12,TATASTEEL,EQ,1239.35,1251.0,1258.5,1218.35,1225.0,1226.95,1241.2,16647775,2066324865740000.2,286823,2440490,0.1466
