Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TCS,EQ,3143.75,3145.0,3190.45,3133.6,3187.0,3183.2,3157.52,2559821,808268947570000.0,102542,1587945,0.6203000000000001
2021-06-08,TCS,EQ,3183.2,3198.0,3231.0,3187.2,3199.35,3200.15,3212.89,2574057,827015954555000.0,115327,1314327,0.5106
2021-06-09,TCS,EQ,3200.15,3202.0,3220.0,3186.2,3199.7,3200.25,3202.19,1710925,547870569135000.06,75025,996569,0.5825
2021-06-10,TCS,EQ,3200.25,3210.0,3224.0,3193.0,3216.0,3216.8,3210.54,1874324,601758951215000.0,100093,1002378,0.5347999999999999
2021-06-11,TCS,EQ,3216.8,3211.55,3309.0,3211.0,3279.0,3273.8,3269.42,3452954,1128916856140000.0,139241,1428491,0.41369999999999996
2021-06-14,TCS,EQ,3273.8,3279.0,3308.7,3270.35,3277.15,3276.35,3284.58,1847360,606779980860000.0,82241,925400,0.5009
2021-06-15,TCS,EQ,3276.35,3298.0,3298.0,3251.55,3262.0,3262.75,3275.11,1304985,427397042260000.0,96054,694189,0.532
2021-06-16,TCS,EQ,3262.75,3262.1,3294.7,3253.0,3270.0,3274.35,3273.56,1635552,535407778245000.0,92225,973246,0.5951
2021-06-17,TCS,EQ,3274.35,3265.5,3336.05,3260.0,3328.0,3317.75,3295.52,2273413,749208786165000.0,131862,1308141,0.5754
2021-06-18,TCS,EQ,3317.75,3350.9,3358.0,3275.0,3303.0,3297.3,3312.52,3380431,1119776179129999.9,141335,1857893,0.5496
2021-06-21,TCS,EQ,3297.3,3265.0,3286.0,3251.7,3273.0,3273.1,3270.48,1130569,369750460130000.0,77545,567529,0.502
2021-06-22,TCS,EQ,3273.1,3304.0,3327.05,3285.0,3304.0,3301.2,3309.41,1708688,565475106065000.0,91864,960829,0.5623
2021-06-23,TCS,EQ,3301.2,3329.0,3329.0,3256.4,3267.3,3261.4,3277.84,1467104,480892870789999.94,97430,960116,0.6544
2021-06-24,TCS,EQ,3261.4,3284.0,3383.0,3278.5,3370.0,3373.6,3344.69,4155204,1389785367510000.0,191883,1837245,0.4422
2021-06-25,TCS,EQ,3373.6,3375.25,3399.65,3350.0,3371.0,3380.8,3377.11,2722861,919541296285000.0,112139,1582890,0.5813
2021-06-28,TCS,EQ,3380.8,3391.5,3391.5,3333.0,3342.0,3336.75,3345.72,1355238,453424977000000.0,80472,669783,0.49420000000000003
2021-06-29,TCS,EQ,3336.75,3342.0,3366.3,3326.5,3335.25,3340.85,3344.11,1497322,500721616085000.06,97261,874417,0.584
2021-06-30,TCS,EQ,3340.85,3346.0,3382.0,3338.5,3351.0,3345.75,3356.8,1693146,568354809895000.0,101344,958794,0.5663
2021-07-01,TCS,EQ,3345.75,3358.0,3362.0,3332.35,3338.0,3341.5,3343.83,990310,331142747880000.0,63177,590638,0.5964
2021-07-02,TCS,EQ,3341.5,3331.0,3339.7,3295.2,3329.0,3325.45,3311.83,1682274,557140677464999.94,124870,885899,0.5266
2021-07-05,TCS,EQ,3325.45,3342.0,3374.0,3302.0,3328.0,3321.0,3342.14,1972858,659356050690000.0,113655,981734,0.4976
2021-07-06,TCS,EQ,3321.0,3313.0,3328.0,3256.1,3273.65,3262.3,3285.26,2159420,709426285745000.0,142732,1052180,0.48729999999999996
2021-07-07,TCS,EQ,3262.3,3275.0,3282.7,3241.6,3275.85,3274.95,3264.79,2640710,862135611904999.9,119862,1398154,0.5295000000000001
2021-07-08,TCS,EQ,3274.95,3298.0,3298.0,3231.9,3253.0,3258.5,3264.38,2485811,811464297235000.0,159147,1154747,0.4645
2021-07-09,TCS,EQ,3258.5,3250.0,3282.0,3201.0,3211.8,3208.15,3232.37,6365067,2057427492125000.0,321370,2125726,0.334
2021-07-12,TCS,EQ,3208.15,3235.0,3236.0,3188.35,3198.4,3193.1,3212.9,1892226,607952366895000.0,136133,960804,0.5078
2021-07-13,TCS,EQ,3193.1,3214.0,3214.0,3175.0,3190.4,3187.55,3192.6,1809339,577649837375000.0,119046,1151250,0.6363000000000001
2021-07-14,TCS,EQ,3187.55,3187.0,3222.0,3185.0,3214.4,3214.55,3207.79,2044279,655762055705000.0,121236,1175668,0.5751
2021-07-15,TCS,EQ,3214.55,3227.6,3231.85,3194.0,3201.9,3202.95,3207.01,2232968,716116039600000.0,134474,1419357,0.6356
2021-07-16,TCS,EQ,3202.95,3213.0,3219.85,3192.0,3194.5,3194.8,3202.38,1256526,402387947480000.0,90365,762190,0.6066
2021-07-19,TCS,EQ,3194.8,3180.0,3199.8,3176.0,3184.9,3184.6,3185.26,1597058,508704196864999.94,78047,1033190,0.6469
2021-07-20,TCS,EQ,3184.6,3184.6,3215.0,3156.15,3203.85,3205.8,3187.48,1811945,577554090405000.0,132943,1090944,0.6021
2021-07-22,TCS,EQ,3205.8,3190.0,3224.95,3190.0,3214.7,3216.35,3212.15,2859334,918460170054999.9,121867,1999067,0.6990999999999999
2021-07-23,TCS,EQ,3216.35,3230.0,3241.55,3206.65,3210.0,3212.85,3225.77,1776193,572959647160000.0,100269,1119762,0.6304
