Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TECHM,EQ,1019.2,1024.95,1038.95,1019.45,1038.0,1034.4,1027.9,1745475,179417874705000.0,37736,908940,0.5207
2021-06-08,TECHM,EQ,1034.4,1039.0,1060.9,1037.05,1058.0,1057.75,1054.1,4517995,476243359389999.94,109168,1643108,0.36369999999999997
2021-06-09,TECHM,EQ,1057.75,1057.75,1064.45,1046.2,1056.0,1052.25,1057.51,2163655,228808102210000.0,59015,1098611,0.5078
2021-06-10,TECHM,EQ,1052.25,1059.7,1074.0,1056.5,1064.5,1064.9,1067.51,3934077,419967766405000.0,118480,2180369,0.5542
2021-06-11,TECHM,EQ,1064.9,1064.9,1082.4,1054.9,1073.0,1073.0,1072.37,4988857,534988860964999.94,98394,2811211,0.5635
2021-06-14,TECHM,EQ,1073.0,1073.0,1079.35,1058.0,1069.3,1069.25,1071.21,2757666,295405072295000.0,82864,1315069,0.4769
2021-06-15,TECHM,EQ,1069.25,1069.25,1093.0,1061.65,1065.0,1066.85,1076.87,3484298,375214776545000.0,84287,1482698,0.4255
2021-06-16,TECHM,EQ,1066.85,1070.0,1077.95,1055.0,1064.5,1069.15,1067.77,1881596,200912081065000.0,51956,938301,0.4987
2021-06-17,TECHM,EQ,1069.15,1059.95,1084.7,1057.05,1083.1,1080.25,1071.97,3161931,338949062590000.0,99482,1802731,0.5700999999999999
2021-06-18,TECHM,EQ,1080.25,1089.5,1091.6,1055.0,1068.6,1070.7,1073.33,4396398,471876729980000.0,93019,2497435,0.5681
2021-06-21,TECHM,EQ,1070.7,1059.0,1070.05,1055.0,1061.8,1062.9,1062.65,1074790,114212552855000.0,40228,415984,0.387
2021-06-22,TECHM,EQ,1062.9,1061.05,1072.0,1053.7,1054.4,1057.2,1060.38,2437289,258445011410000.0,63027,1537841,0.631
2021-06-23,TECHM,EQ,1057.2,1060.0,1062.3,1038.45,1056.0,1056.45,1052.65,4130539,434802700895000.0,102816,2742074,0.6639
2021-06-24,TECHM,EQ,1056.45,1056.55,1082.3,1052.5,1080.0,1080.0,1069.16,3617010,386716207735000.0,105332,1838714,0.5084000000000001
2021-06-25,TECHM,EQ,1080.0,1087.4,1103.2,1077.0,1085.95,1089.5,1090.65,3200049,349012130175000.0,73477,1419611,0.4436
2021-06-28,TECHM,EQ,1089.5,1091.0,1108.0,1081.1,1105.05,1105.1,1097.4,2143755,235255158419999.97,50162,1122641,0.5236999999999999
2021-06-29,TECHM,EQ,1105.1,1109.0,1109.4,1083.0,1088.95,1088.15,1095.11,2956332,323752152185000.0,64875,1814876,0.6139
2021-06-30,TECHM,EQ,1088.15,1088.2,1105.0,1083.3,1096.7,1095.45,1096.06,1917370,210155238675000.0,47775,907351,0.4732
2021-07-01,TECHM,EQ,1095.45,1096.0,1099.35,1081.0,1085.65,1085.15,1087.08,1459518,158661604075000.0,49293,804772,0.5514
2021-07-02,TECHM,EQ,1085.15,1087.0,1097.5,1075.0,1089.5,1089.4,1085.06,1669409,181141619970000.0,59484,893239,0.5351
2021-07-05,TECHM,EQ,1089.4,1093.0,1094.95,1071.2,1072.2,1074.65,1080.45,2597359,280632484155000.03,47315,1515744,0.5836
2021-07-06,TECHM,EQ,1074.65,1074.65,1074.65,1047.75,1050.0,1049.55,1057.39,3865594,408743882290000.0,82030,2502586,0.6474
2021-07-07,TECHM,EQ,1049.55,1049.55,1059.5,1030.1,1047.5,1045.9,1047.11,3713891,388883794295000.0,91334,1928067,0.5192
2021-07-08,TECHM,EQ,1045.9,1049.0,1063.4,1045.0,1060.4,1060.15,1055.09,2171947,229160519475000.0,55921,855029,0.3937
2021-07-09,TECHM,EQ,1060.15,1055.2,1068.8,1049.0,1051.0,1051.75,1057.39,1889035,199745380930000.0,67078,840843,0.4451
2021-07-12,TECHM,EQ,1051.75,1057.0,1058.7,1046.1,1057.0,1056.6,1053.85,3224820,339849056790000.0,118828,1987207,0.6162
2021-07-13,TECHM,EQ,1056.6,1062.0,1062.0,1048.0,1050.4,1050.15,1052.0,1908081,200729942600000.0,100702,1150499,0.603
2021-07-14,TECHM,EQ,1050.15,1054.0,1080.0,1048.0,1077.0,1078.5,1071.96,3173326,340166927540000.0,77638,649833,0.2048
2021-07-15,TECHM,EQ,1078.5,1078.0,1119.7,1076.4,1109.25,1112.45,1105.16,5922995,654585915265000.0,130433,2305231,0.38920000000000005
2021-07-16,TECHM,EQ,1112.45,1112.4,1118.3,1083.05,1102.9,1103.15,1096.47,2323939,254812986175000.0,100657,922108,0.3968
2021-07-19,TECHM,EQ,1103.15,1088.0,1110.45,1086.1,1096.0,1094.2,1097.79,1409001,154679419585000.0,42229,580540,0.41200000000000003
2021-07-20,TECHM,EQ,1094.2,1095.95,1102.2,1084.9,1085.0,1087.2,1092.0,1230858,134409094709999.98,54437,527688,0.42869999999999997
2021-07-22,TECHM,EQ,1087.2,1080.0,1152.5,1080.0,1146.0,1148.6,1126.69,7309727,823581522825000.0,158825,3248267,0.44439999999999996
2021-07-23,TECHM,EQ,1148.6,1123.95,1141.5,1115.1,1129.0,1131.0,1129.9,2840803,320982163575000.0,76687,1050492,0.36979999999999996
2021-07-26,TECHM,EQ,1131.0,1131.0,1138.55,1116.55,1117.85,1120.2,1126.82,984581,110944350380000.0,41727,393260,0.3994
2021-07-27,TECHM,EQ,1120.2,1120.2,1127.7,1104.05,1123.25,1120.85,1113.89,1397105,155622009100000.0,39146,489768,0.3506
2021-07-28,TECHM,EQ,1120.85,1124.0,1130.7,1106.5,1128.1,1119.55,1117.76,2533035,283131546625000.0,63357,1196305,0.4723
2021-07-29,TECHM,EQ,1119.55,1128.7,1141.35,1115.1,1127.9,1127.8,1129.97,3821405,431809019025000.0,102399,1820397,0.4764
2021-07-30,TECHM,EQ,1127.8,1185.0,1237.3,1175.0,1207.7,1209.55,1213.59,20425030,2478765622740000.0,413583,3868870,0.1894
2021-08-02,TECHM,EQ,1209.55,1210.0,1214.0,1195.55,1206.0,1210.7,1203.63,2385223,287092696680000.0,87426,1179546,0.49450000000000005
2021-08-03,TECHM,EQ,1210.7,1211.0,1230.0,1210.0,1225.95,1226.25,1223.58,2603616,318573546875000.0,70849,1382671,0.5311
2021-08-04,TECHM,EQ,1226.25,1225.2,1230.4,1213.7,1219.0,1216.5,1218.59,1938175,236183284975000.0,70384,1175745,0.6066
2021-08-05,TECHM,EQ,1216.5,1217.05,1254.0,1217.0,1249.9,1248.2,1242.38,5790873,719443769540000.0,150663,2775415,0.4793
2021-08-06,TECHM,EQ,1248.2,1252.0,1273.0,1243.05,1268.0,1264.6,1262.41,3894726,491675278389999.94,117731,2122076,0.5449
2021-08-09,TECHM,EQ,1264.6,1290.4,1306.8,1266.0,1289.0,1287.45,1285.21,6585101,846322210525000.0,170338,3765964,0.5719
2021-08-10,TECHM,EQ,1287.45,1288.0,1329.7,1282.4,1323.0,1323.05,1314.34,6314469,829934233630000.0,136841,2797660,0.44310000000000005
2021-08-11,TECHM,EQ,1323.05,1323.05,1326.75,1298.35,1320.95,1323.6,1315.74,3430349,451345065655000.0,102017,2045486,0.5963
2021-08-12,TECHM,EQ,1323.6,1323.0,1394.8,1317.75,1383.0,1386.55,1369.05,8613315,1179206470660000.0,198057,3795731,0.44070000000000004
2021-08-13,TECHM,EQ,1386.55,1380.1,1390.0,1365.9,1383.35,1383.15,1378.91,4760344,656409255070000.0,117785,2446409,0.5139
2021-08-16,TECHM,EQ,1383.15,1381.95,1399.95,1360.25,1370.0,1367.85,1372.77,2912430,399809940585000.0,96240,1414643,0.4857
2021-08-17,TECHM,EQ,1367.85,1372.0,1428.8,1370.5,1410.95,1413.7,1413.09,8042970,1136541415490000.0,197467,2907088,0.3614
2021-08-18,TECHM,EQ,1413.7,1418.0,1425.0,1404.25,1412.0,1412.5,1413.0,2939739,415384397215000.0,102264,1541048,0.5242
2021-08-20,TECHM,EQ,1412.5,1370.65,1420.0,1370.65,1396.0,1399.2,1400.61,4051399,567444182180000.0,113777,2303827,0.5686
2021-08-23,TECHM,EQ,1399.2,1415.45,1442.95,1409.0,1414.95,1416.0,1425.46,3987240,568364418620000.0,114689,1517010,0.3805
2021-08-24,TECHM,EQ,1416.0,1421.9,1467.0,1420.0,1461.1,1463.35,1449.94,5366923,778174090270000.0,128799,2362765,0.44020000000000004
2021-08-25,TECHM,EQ,1463.35,1463.0,1478.0,1450.0,1461.9,1463.1,1464.51,3105863,454855594400000.0,92535,1245899,0.4011
2021-08-26,TECHM,EQ,1463.1,1459.8,1466.75,1444.0,1449.0,1449.5,1452.92,1993944,289704705575000.0,62041,985157,0.4941
2021-08-27,TECHM,EQ,1449.5,1449.85,1457.1,1431.2,1440.8,1445.4,1445.53,3097939,447815562514999.94,82170,1779948,0.5746
2021-08-30,TECHM,EQ,1445.4,1450.0,1455.0,1415.9,1424.8,1419.2,1429.01,2742699,391933634035000.0,108463,1571761,0.5731
2021-08-31,TECHM,EQ,1419.2,1424.8,1454.0,1406.95,1450.15,1447.65,1431.36,6392991,915066870029999.9,152978,3618742,0.5660000000000001
2021-09-01,TECHM,EQ,1447.65,1450.0,1468.25,1427.5,1434.4,1436.3,1440.54,1829925,263607196469999.97,67328,783277,0.428
2021-09-02,TECHM,EQ,1436.3,1436.0,1452.55,1421.2,1436.95,1437.8,1433.27,3860958,553381370575000.0,134900,2482949,0.6431
2021-09-03,TECHM,EQ,1437.8,1444.0,1449.7,1425.1,1442.5,1441.95,1437.24,1919590,275890543619999.97,84621,993821,0.5177
2021-09-06,TECHM,EQ,1441.95,1448.0,1467.9,1436.1,1463.0,1461.15,1453.43,1801171,261786705750000.0,68179,669809,0.3719
2021-09-07,TECHM,EQ,1461.15,1468.95,1472.9,1432.3,1437.85,1435.2,1449.02,1940043,281115381969999.97,76037,997221,0.514
2021-09-08,TECHM,EQ,1435.2,1440.2,1442.35,1419.85,1427.5,1427.85,1430.34,2256454,322748856040000.0,70302,1354666,0.6004
2021-09-09,TECHM,EQ,1427.85,1425.6,1437.9,1414.0,1431.25,1433.25,1423.7,2303457,327944244300000.0,64566,1371901,0.5956
