Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,TITAN,EQ,1679.5,1685.85,1713.85,1676.0,1682.95,1685.1,1693.62,1471576,249229155105000.03,72362,536442,0.36450000000000005
2021-06-08,TITAN,EQ,1685.1,1686.0,1726.0,1674.2,1710.0,1712.5,1705.13,1743285,297253512250000.0,67032,453723,0.26030000000000003
2021-06-09,TITAN,EQ,1712.5,1714.95,1739.9,1696.15,1727.5,1730.75,1721.32,2551140,439133578085000.06,81634,1271341,0.4983
2021-06-10,TITAN,EQ,1730.75,1741.4,1745.85,1722.2,1736.0,1738.65,1735.87,1850763,321268365450000.0,60901,807354,0.4362
2021-06-11,TITAN,EQ,1738.65,1736.55,1743.0,1724.55,1729.5,1728.45,1732.71,761647,131971003575000.0,44569,281996,0.37020000000000003
2021-06-14,TITAN,EQ,1728.45,1728.45,1740.0,1713.0,1730.2,1734.8,1728.83,887780,153481907445000.0,48509,286004,0.3222
2021-06-15,TITAN,EQ,1734.8,1748.0,1748.95,1719.6,1721.9,1723.4,1732.96,868275,150468880265000.0,53361,345202,0.3976
2021-06-16,TITAN,EQ,1723.4,1724.0,1729.0,1706.5,1712.6,1714.95,1719.3,1116772,192006900165000.0,45931,607124,0.5436
2021-06-17,TITAN,EQ,1714.95,1706.0,1722.0,1701.4,1706.0,1711.4,1712.2,546515,93574507585000.0,34610,162318,0.297
2021-06-18,TITAN,EQ,1711.4,1700.1,1725.0,1686.0,1722.0,1711.3,1706.47,2018319,344420009405000.0,66069,1200772,0.5949
2021-06-21,TITAN,EQ,1711.3,1699.0,1747.55,1690.75,1742.0,1742.85,1723.25,925811,159540611155000.0,52096,278521,0.3008
2021-06-22,TITAN,EQ,1742.85,1750.1,1770.8,1748.0,1756.0,1757.0,1760.14,2083172,366667517940000.0,58460,1108455,0.5321
2021-06-23,TITAN,EQ,1757.0,1757.0,1786.0,1755.05,1783.0,1782.55,1774.45,1608518,285423867825000.0,62044,375651,0.2335
2021-06-24,TITAN,EQ,1782.55,1785.0,1792.95,1767.6,1777.1,1780.85,1781.5,1271298,226482360305000.03,46438,363338,0.2858
2021-06-25,TITAN,EQ,1780.85,1785.0,1792.0,1742.0,1755.0,1753.85,1762.65,1378327,242950553740000.0,55817,562481,0.4081
2021-06-28,TITAN,EQ,1753.85,1768.5,1768.5,1719.75,1730.75,1728.05,1733.71,1339433,232219407769999.97,61075,550224,0.4108
2021-06-29,TITAN,EQ,1728.05,1735.8,1746.0,1721.25,1730.0,1731.6,1732.66,1236704,214278454175000.0,45102,326152,0.2637
2021-06-30,TITAN,EQ,1731.6,1738.0,1755.35,1728.15,1737.25,1732.5,1741.79,803926,140026909084999.98,39404,262025,0.3259
2021-07-01,TITAN,EQ,1732.5,1729.0,1746.4,1725.75,1742.9,1740.3,1737.22,567971,98669147025000.0,23607,200853,0.3536
2021-07-02,TITAN,EQ,1740.3,1755.0,1767.85,1740.2,1750.0,1754.75,1754.12,1259675,220962107769999.97,42242,397356,0.3154
2021-07-05,TITAN,EQ,1754.75,1760.0,1762.9,1743.0,1751.0,1749.9,1751.01,632904,110822379195000.0,26075,297466,0.47000000000000003
2021-07-06,TITAN,EQ,1749.9,1750.0,1774.0,1746.05,1760.9,1762.8,1763.8,960973,169495938690000.0,39402,374450,0.3897
2021-07-07,TITAN,EQ,1762.8,1762.8,1783.4,1718.0,1726.8,1727.25,1735.0,2188364,379680831015000.0,87991,589142,0.26920000000000005
2021-07-08,TITAN,EQ,1727.25,1730.0,1746.0,1721.25,1724.95,1726.35,1733.6,1167637,202420977270000.0,46837,492066,0.4214
2021-07-09,TITAN,EQ,1726.35,1724.0,1739.95,1718.0,1719.95,1720.6,1726.62,831213,143519188435000.0,34819,403955,0.48600000000000004
2021-07-12,TITAN,EQ,1720.6,1730.0,1739.2,1711.9,1720.0,1719.85,1724.86,792602,136712609550000.0,40070,356243,0.4495
2021-07-13,TITAN,EQ,1719.85,1730.0,1735.0,1717.45,1725.0,1724.25,1724.43,797913,137594194570000.0,27129,463882,0.5814
2021-07-14,TITAN,EQ,1724.25,1726.0,1728.6,1705.0,1709.65,1710.35,1714.5,891780,152895342265000.0,34843,479989,0.5382
2021-07-15,TITAN,EQ,1710.35,1705.5,1716.75,1694.5,1699.0,1701.55,1705.38,943422,160889462295000.0,43104,438852,0.46520000000000006
2021-07-16,TITAN,EQ,1701.55,1706.9,1710.0,1688.65,1695.0,1695.35,1697.69,907734,154105268115000.0,38026,537194,0.5918
2021-07-19,TITAN,EQ,1695.35,1694.35,1709.25,1674.9,1680.1,1680.35,1690.84,831260,140552704800000.0,39686,372430,0.44799999999999995
2021-07-20,TITAN,EQ,1680.35,1680.35,1691.45,1662.5,1669.15,1671.4,1671.49,819793,137027595300000.0,36739,476135,0.5808
2021-07-22,TITAN,EQ,1671.4,1695.0,1714.65,1682.2,1706.0,1701.75,1701.46,1146821,195126744935000.0,54703,545193,0.4754
2021-07-23,TITAN,EQ,1701.75,1714.65,1725.95,1697.0,1700.75,1700.95,1708.98,1053239,179996658625000.0,51832,478215,0.454
2021-07-26,TITAN,EQ,1700.95,1700.9,1736.85,1700.0,1721.5,1722.85,1725.14,1435514,247645929000000.0,71037,604163,0.42090000000000005
2021-07-27,TITAN,EQ,1722.85,1733.0,1742.4,1713.35,1726.95,1729.05,1728.35,1075244,185839465700000.0,41705,564198,0.5246999999999999
2021-07-28,TITAN,EQ,1729.05,1730.0,1749.2,1715.6,1719.1,1723.55,1734.82,1714957,297514551035000.0,55353,764041,0.4455
2021-07-29,TITAN,EQ,1723.55,1739.0,1756.3,1727.8,1738.0,1739.15,1745.05,1346162,234912352955000.03,60508,604766,0.44930000000000003
2021-07-30,TITAN,EQ,1739.15,1742.0,1747.9,1711.2,1721.0,1714.55,1731.21,1199644,207683934380000.0,51982,654395,0.5455
2021-08-02,TITAN,EQ,1714.55,1728.0,1776.0,1725.0,1776.0,1771.55,1760.21,1718511,302494673060000.0,70362,498426,0.29
2021-08-03,TITAN,EQ,1771.55,1780.0,1854.95,1777.15,1842.15,1840.2,1832.81,5956344,1091686333735000.0,199297,2077793,0.34880000000000005
2021-08-04,TITAN,EQ,1840.2,1857.2,1858.65,1795.0,1801.0,1799.6,1821.13,2040687,371634925465000.0,122099,756379,0.37060000000000004
2021-08-05,TITAN,EQ,1799.6,1820.05,1821.2,1763.2,1800.0,1799.3,1789.55,2301814,411921898115000.0,97229,411725,0.1789
2021-08-06,TITAN,EQ,1799.3,1796.0,1796.35,1778.0,1789.0,1787.75,1786.73,877876,156852835135000.0,39449,377399,0.4299
2021-08-09,TITAN,EQ,1787.75,1787.75,1831.6,1777.75,1800.5,1799.15,1810.88,1770502,320617259100000.0,70550,412955,0.23320000000000002
2021-08-10,TITAN,EQ,1799.15,1810.0,1822.0,1793.35,1804.9,1799.2,1808.77,862746,156050772135000.0,46429,252861,0.29309999999999997
2021-08-11,TITAN,EQ,1799.2,1805.0,1815.0,1773.55,1790.0,1789.4,1787.16,748179,133711426995000.0,40571,270614,0.3617
2021-08-12,TITAN,EQ,1789.4,1798.0,1829.6,1781.0,1825.0,1823.6,1803.33,889082,160331121355000.0,56048,363200,0.40850000000000003
2021-08-13,TITAN,EQ,1823.6,1830.0,1841.0,1818.75,1836.85,1837.9,1833.94,1194666,219094671735000.0,55991,449572,0.3763
2021-08-16,TITAN,EQ,1837.9,1828.0,1847.05,1817.0,1837.0,1837.2,1831.81,461655,84566406310000.0,25110,197207,0.4272
2021-08-17,TITAN,EQ,1837.2,1840.0,1878.35,1828.65,1877.5,1874.45,1858.05,1917077,356202941240000.0,108441,950247,0.49570000000000003
2021-08-18,TITAN,EQ,1874.45,1887.8,1890.65,1860.0,1875.0,1880.3,1873.48,1029077,192795382260000.0,51773,437341,0.425
2021-08-20,TITAN,EQ,1880.3,1859.4,1892.3,1857.95,1870.1,1876.8,1873.19,1070166,200462262440000.0,51553,518629,0.48460000000000003
2021-08-23,TITAN,EQ,1876.8,1889.0,1895.0,1847.85,1871.15,1870.35,1864.66,1092285,203674074470000.0,52761,534770,0.48960000000000004
2021-08-24,TITAN,EQ,1870.35,1883.0,1887.3,1852.6,1873.0,1869.6,1865.02,1003905,187230447985000.0,47603,521241,0.5192
2021-08-25,TITAN,EQ,1869.6,1860.0,1869.7,1820.0,1828.0,1822.65,1838.44,1280400,235394275065000.0,56697,587988,0.45920000000000005
2021-08-26,TITAN,EQ,1822.65,1822.65,1834.6,1805.25,1815.0,1815.35,1814.92,1059290,192252867660000.0,50957,514994,0.48619999999999997
2021-08-27,TITAN,EQ,1815.35,1824.0,1830.0,1797.0,1819.85,1822.55,1811.58,1020589,184888367430000.0,42770,410710,0.40240000000000004
2021-08-30,TITAN,EQ,1822.55,1835.0,1886.95,1831.8,1880.1,1878.45,1865.89,1670309,311661383380000.0,57297,763919,0.45740000000000003
2021-08-31,TITAN,EQ,1878.45,1878.45,1925.0,1875.55,1920.0,1921.6,1907.3,1816071,346378979085000.0,65495,909387,0.5007
2021-09-01,TITAN,EQ,1921.6,1925.2,1953.95,1915.0,1943.95,1939.4,1936.78,1247432,241600311765000.0,67662,520379,0.4172
2021-09-02,TITAN,EQ,1939.4,1958.5,1979.5,1946.85,1964.95,1967.1,1966.26,1167157,229493979775000.0,55586,378635,0.32439999999999997
2021-09-03,TITAN,EQ,1967.1,1970.1,2024.4,1970.1,2021.0,2019.3,2003.29,1548784,310266247165000.0,76450,465701,0.3007
2021-09-06,TITAN,EQ,2019.3,2025.0,2032.85,2006.15,2020.0,2020.65,2018.92,679133,137111398720000.0,49428,272155,0.4007
2021-09-07,TITAN,EQ,2020.65,2014.0,2039.9,2012.7,2030.85,2033.9,2029.87,773091,156927513135000.0,51586,291707,0.37729999999999997
2021-09-08,TITAN,EQ,2033.9,2033.95,2067.0,2015.05,2059.9,2055.95,2037.65,796813,162362831265000.0,51282,312274,0.39189999999999997
2021-09-09,TITAN,EQ,2055.95,2052.0,2060.0,2021.05,2035.0,2034.3,2037.99,653397,133161969350000.0,33600,234404,0.35869999999999996
