Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,ULTRACEMCO,EQ,6664.3,6689.95,6907.95,6663.0,6836.0,6849.65,6822.28,617042,420963303460000.0,59364,224212,0.36340000000000006
2021-06-08,ULTRACEMCO,EQ,6849.65,6895.0,6895.0,6725.0,6789.0,6794.4,6792.27,218632,148500853235000.0,26959,53366,0.2441
2021-06-09,ULTRACEMCO,EQ,6794.4,6775.0,6787.6,6682.0,6720.0,6724.75,6727.16,345102,232155753069999.97,29211,142162,0.4119
2021-06-10,ULTRACEMCO,EQ,6724.75,6748.0,6763.8,6681.0,6705.0,6709.65,6720.21,198704,133533173650000.0,19783,75717,0.3811
2021-06-11,ULTRACEMCO,EQ,6709.65,6725.1,6754.95,6650.0,6665.0,6662.85,6691.38,193014,129152999570000.0,23098,71706,0.3715
2021-06-14,ULTRACEMCO,EQ,6662.85,6655.0,6685.9,6580.0,6682.5,6678.5,6650.26,160001,106404832775000.0,19492,40303,0.2519
2021-06-15,ULTRACEMCO,EQ,6678.5,6678.5,6746.05,6660.35,6663.05,6668.3,6697.07,193128,129339185530000.0,20888,85738,0.4439
2021-06-16,ULTRACEMCO,EQ,6668.3,6670.55,6694.1,6565.0,6579.95,6587.4,6624.85,224100,148462998685000.0,19424,125538,0.5602
2021-06-17,ULTRACEMCO,EQ,6587.4,6555.0,6750.0,6550.05,6699.0,6704.85,6675.79,637296,425445282795000.0,43509,341811,0.5363
2021-06-18,ULTRACEMCO,EQ,6704.85,6710.0,6727.95,6583.35,6686.85,6693.9,6672.78,367329,245110715344999.97,36731,190317,0.5181
2021-06-21,ULTRACEMCO,EQ,6693.9,6631.0,6790.0,6522.2,6763.0,6775.5,6714.39,361652,242827226940000.0,45638,132754,0.36710000000000004
2021-06-22,ULTRACEMCO,EQ,6775.5,6790.0,6940.0,6751.45,6848.9,6858.95,6859.49,542280,371976152620000.0,52183,212247,0.3914
2021-06-23,ULTRACEMCO,EQ,6858.95,6874.7,6953.7,6782.0,6878.1,6903.35,6881.41,438444,301711344285000.0,45894,202310,0.46140000000000003
2021-06-24,ULTRACEMCO,EQ,6903.35,6900.0,6978.5,6889.05,6943.0,6961.95,6947.49,278305,193352142365000.0,38234,128569,0.462
2021-06-25,ULTRACEMCO,EQ,6961.95,7000.0,7000.0,6890.0,6923.5,6923.0,6948.04,183496,127493713220000.0,32723,75497,0.4114
2021-06-28,ULTRACEMCO,EQ,6923.0,6950.0,6979.95,6858.75,6882.5,6869.45,6900.85,127275,87830566700000.0,18867,50298,0.39520000000000005
2021-06-29,ULTRACEMCO,EQ,6869.45,6875.0,6880.0,6799.5,6820.0,6824.7,6822.06,235008,160323915840000.0,36743,135157,0.5751
2021-06-30,ULTRACEMCO,EQ,6824.7,6801.0,6866.05,6750.0,6770.0,6776.0,6816.41,283145,193003245545000.0,38706,148090,0.523
2021-07-01,ULTRACEMCO,EQ,6776.0,6777.3,6799.5,6690.0,6712.0,6707.25,6715.03,274106,184062898110000.0,32647,157339,0.574
2021-07-02,ULTRACEMCO,EQ,6707.25,6747.85,6747.85,6685.0,6715.0,6719.9,6715.31,256489,172240437940000.0,18361,169745,0.6618
2021-07-05,ULTRACEMCO,EQ,6719.9,6720.0,6790.0,6694.5,6727.0,6719.85,6732.93,134014,90230655725000.0,14378,61313,0.4575
2021-07-06,ULTRACEMCO,EQ,6719.85,6727.6,6999.0,6727.5,6937.05,6933.05,6927.37,681761,472280811900000.0,73576,172198,0.25260000000000005
2021-07-07,ULTRACEMCO,EQ,6933.05,6936.5,6962.0,6811.05,6919.0,6925.1,6877.99,382398,263013019365000.0,38087,158093,0.41340000000000005
2021-07-08,ULTRACEMCO,EQ,6925.1,6918.0,6994.9,6843.0,6896.55,6901.9,6924.14,365610,253153467130000.03,69789,141515,0.3871
2021-07-09,ULTRACEMCO,EQ,6901.9,6890.0,6920.65,6835.0,6885.0,6899.55,6879.33,170542,117321550550000.0,31452,59875,0.3511
2021-07-12,ULTRACEMCO,EQ,6899.55,6905.1,7114.95,6905.1,7070.0,7093.75,7073.95,610763,432050401360000.06,66718,138327,0.22649999999999998
2021-07-13,ULTRACEMCO,EQ,7093.75,7110.0,7160.0,7080.95,7120.0,7128.85,7123.73,372867,265620299340000.0,48685,170825,0.4581
