Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,UPL,EQ,836.25,841.0,862.25,834.2,849.5,850.5,852.63,4774564,407094413060000.0,77145,847501,0.1775
2021-06-08,UPL,EQ,850.5,850.4,864.7,840.2,853.0,853.55,853.19,4214138,359544725450000.0,56898,1085024,0.2575
2021-06-09,UPL,EQ,853.55,855.0,862.95,838.65,845.95,845.55,854.01,5068262,432836261045000.0,78804,1813062,0.3577
2021-06-10,UPL,EQ,845.55,849.0,853.8,837.0,839.95,838.7,844.95,4012050,338997779440000.0,69591,2024073,0.5045000000000001
2021-06-11,UPL,EQ,838.7,842.95,844.7,830.0,834.0,835.15,835.66,2633076,220035045319999.97,40940,813086,0.3088
2021-06-14,UPL,EQ,835.15,838.2,838.2,815.2,834.0,834.6,827.47,2361786,195430251100000.0,58773,698667,0.2958
2021-06-15,UPL,EQ,834.6,834.2,845.65,830.4,841.8,841.8,841.42,3093053,260256000125000.0,52341,1264562,0.40880000000000005
2021-06-16,UPL,EQ,841.8,843.9,854.55,836.15,837.0,838.2,845.97,4555364,385372001420000.0,70312,1033524,0.22690000000000002
2021-06-17,UPL,EQ,838.2,834.85,848.0,828.65,834.0,835.05,839.01,3684099,309099598200000.0,60134,1636828,0.44430000000000003
2021-06-18,UPL,EQ,835.05,839.0,839.25,790.85,810.65,808.0,806.05,8145772,656588495810000.0,107065,3729800,0.4579
2021-06-21,UPL,EQ,808.0,800.0,800.0,768.3,772.6,772.2,776.19,10319132,800964254955000.0,146255,3622425,0.35100000000000003
2021-06-22,UPL,EQ,772.2,779.0,806.5,776.6,802.0,802.5,796.73,8773658,699021109580000.0,133058,1681312,0.1916
2021-06-23,UPL,EQ,802.5,809.0,810.95,793.1,804.0,804.0,803.51,5498823,441837758685000.06,77491,1521235,0.2766
2021-06-24,UPL,EQ,804.0,809.0,815.45,796.6,813.0,813.45,806.36,3569898,287863284445000.0,51401,932508,0.2612
2021-06-25,UPL,EQ,813.45,809.0,814.0,801.85,803.55,805.15,806.8,2566357,207053017380000.0,43463,835055,0.3254
2021-06-28,UPL,EQ,805.15,805.0,812.6,801.3,810.0,809.1,807.48,2499662,201843207325000.0,50260,874171,0.3497
2021-06-29,UPL,EQ,809.1,810.0,817.95,799.3,805.5,805.4,808.25,2509072,202795824285000.0,52879,757094,0.3017
2021-06-30,UPL,EQ,805.4,810.0,811.0,790.6,794.0,792.85,799.78,2180444,174387916500000.0,48812,1015329,0.4657
2021-07-01,UPL,EQ,792.85,796.0,798.55,786.45,790.8,791.5,792.35,1933865,153229599065000.0,37964,583079,0.3015
2021-07-02,UPL,EQ,791.5,791.5,806.6,789.0,798.05,799.35,799.0,2511086,200636634725000.0,49451,859268,0.3422
2021-07-05,UPL,EQ,799.35,801.5,810.7,798.05,805.5,807.6,804.86,1812638,145891471330000.0,33454,750182,0.4139
