Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-07,WIPRO,EQ,541.2,544.7,551.2,542.7,547.95,548.25,548.14,4348433,238356884915000.0,57770,1695079,0.3898
2021-06-08,WIPRO,EQ,548.25,550.0,555.5,549.15,551.3,550.6,552.19,5429734,299821809645000.0,88932,1938559,0.35700000000000004
2021-06-09,WIPRO,EQ,550.6,553.0,553.25,542.2,545.3,544.2,547.74,6206899,339979402710000.0,88712,2872615,0.46280000000000004
2021-06-10,WIPRO,EQ,544.2,545.55,555.5,545.55,554.3,554.25,552.94,5720744,316324699385000.0,83406,2191571,0.38310000000000005
2021-06-11,WIPRO,EQ,554.25,555.0,558.95,551.5,555.0,554.3,555.3,5612359,311652522925000.0,78697,2271000,0.4046
2021-06-14,WIPRO,EQ,554.3,553.9,562.8,553.0,562.1,561.6,559.27,5952159,332888676185000.0,104112,1551168,0.2606
2021-06-15,WIPRO,EQ,561.6,561.5,564.0,557.0,558.0,557.9,560.54,3837245,215092187294999.97,72576,1662354,0.43320000000000003
2021-06-16,WIPRO,EQ,557.9,559.9,562.55,553.5,555.7,555.25,557.94,5497269,306712295765000.0,96834,1825733,0.3321
2021-06-17,WIPRO,EQ,555.25,552.5,561.5,549.55,559.25,558.7,555.66,4399348,244454505980000.03,75806,1511429,0.3436
2021-06-18,WIPRO,EQ,558.7,560.0,561.95,546.05,553.3,549.8,551.95,10007116,552347503400000.0,133048,6159866,0.6154999999999999
2021-06-21,WIPRO,EQ,549.8,544.75,544.75,535.2,543.4,542.15,540.03,5390821,291121087815000.0,101331,1652225,0.3065
2021-06-22,WIPRO,EQ,542.15,545.25,559.95,542.3,556.7,556.55,553.47,5752921,318404263565000.0,81952,1467349,0.2551
2021-06-23,WIPRO,EQ,556.55,560.0,560.85,538.4,540.45,540.15,545.31,11242702,613077630410000.0,241626,6064961,0.5395000000000001
2021-06-24,WIPRO,EQ,540.15,541.9,550.55,539.2,547.25,549.05,546.31,8668680,473580735414999.94,147663,3572879,0.4122
2021-06-25,WIPRO,EQ,549.05,549.85,551.0,540.5,546.9,547.5,546.25,5039822,275301296435000.0,78900,1637997,0.325
2021-06-28,WIPRO,EQ,547.5,549.75,550.8,544.25,547.45,547.4,547.78,3259830,178567924515000.0,55270,1265572,0.3882
2021-06-29,WIPRO,EQ,547.4,547.8,553.75,541.0,543.9,542.6,546.44,7927880,433212275725000.0,89944,3271683,0.41270000000000007
2021-06-30,WIPRO,EQ,542.6,544.85,548.0,542.0,546.1,545.65,545.7,4293322,234286736730000.03,60212,2179290,0.5075999999999999
2021-07-01,WIPRO,EQ,545.65,545.0,545.9,538.0,539.6,539.35,540.69,4329374,234085324460000.0,73794,1486365,0.3433
2021-07-02,WIPRO,EQ,539.35,540.1,542.3,533.6,538.65,538.6,537.3,4157307,223373558250000.0,98129,1552218,0.37340000000000007
2021-07-05,WIPRO,EQ,538.6,542.9,542.9,535.55,536.5,536.35,537.49,3439169,184852608880000.0,71275,1313313,0.38189999999999996
2021-07-06,WIPRO,EQ,536.35,536.55,538.3,531.85,533.35,532.6,533.81,4193441,223852002105000.03,82063,1544484,0.3683
2021-07-07,WIPRO,EQ,532.6,534.05,536.4,525.1,533.2,532.15,531.49,5377687,285818517965000.0,99342,1812291,0.337
2021-07-08,WIPRO,EQ,532.15,533.9,536.95,528.0,531.8,531.0,532.33,4565510,243034454215000.0,80316,2064172,0.4521
2021-07-09,WIPRO,EQ,531.0,527.4,530.95,523.25,529.6,525.8,526.28,5724608,301272571285000.0,113649,2449017,0.4278
2021-07-12,WIPRO,EQ,525.8,530.75,532.15,523.2,527.0,525.85,528.04,3865556,204115828315000.0,65255,1629876,0.4216
2021-07-13,WIPRO,EQ,525.85,528.0,529.5,522.6,525.5,524.85,525.64,4172358,219317174710000.0,74347,1947854,0.4668
2021-07-14,WIPRO,EQ,524.85,526.25,563.3,525.6,561.55,561.7,551.0,29348083,1617068158760000.0,297165,5684371,0.1937
2021-07-15,WIPRO,EQ,561.7,561.0,579.65,559.0,578.35,575.9,572.71,31066201,1779184883634999.8,339133,3864064,0.1244
2021-07-16,WIPRO,EQ,575.9,580.0,589.25,568.3,576.85,577.75,577.56,36907827,2131640930325000.0,342240,9712637,0.2632
2021-07-19,WIPRO,EQ,577.75,572.55,584.0,570.0,574.5,573.8,577.28,10857851,626799120935000.0,146244,3867533,0.35619999999999996
2021-07-20,WIPRO,EQ,573.8,575.7,578.15,561.55,567.05,568.1,567.43,10523527,597140886845000.0,162884,4747383,0.4511
2021-07-22,WIPRO,EQ,568.1,577.1,585.0,571.0,584.0,584.2,579.61,12043385,698051602405000.0,165273,4347340,0.36100000000000004
2021-07-23,WIPRO,EQ,584.2,586.5,601.8,583.7,598.0,599.15,594.86,14057455,836223977145000.0,181766,3925711,0.2793
2021-07-26,WIPRO,EQ,599.15,600.1,600.5,588.25,589.95,590.45,594.0,6099903,362333676475000.0,99789,2613996,0.42850000000000005
2021-07-27,WIPRO,EQ,590.45,588.9,594.65,584.15,590.35,591.45,588.79,3983137,234524904100000.0,72826,1288924,0.3236
2021-07-28,WIPRO,EQ,591.45,590.95,593.35,583.0,590.5,591.95,587.86,4573930,268884213494999.97,88095,1306215,0.2856
2021-07-29,WIPRO,EQ,591.95,593.6,598.0,587.9,589.35,590.45,593.23,5834470,346118921330000.0,94587,3121211,0.535
2021-07-30,WIPRO,EQ,590.45,588.85,593.0,585.0,586.1,587.15,589.07,3178206,187218733625000.0,52651,1357818,0.4272
2021-08-02,WIPRO,EQ,587.15,588.2,595.4,582.25,595.0,592.25,588.64,4623898,272179650535000.0,84367,1913479,0.41380000000000006
2021-08-03,WIPRO,EQ,592.25,604.0,604.0,594.15,598.25,599.4,597.75,5165607,308775408465000.0,83173,1621547,0.3139
2021-08-04,WIPRO,EQ,599.4,603.5,604.0,594.3,596.4,596.8,597.91,4509356,269616910710000.0,84693,1822755,0.4042
2021-08-05,WIPRO,EQ,596.8,597.5,614.5,597.5,601.2,600.9,606.72,11294364,685248815830000.0,160546,1842238,0.1631
2021-08-06,WIPRO,EQ,600.9,603.75,606.4,596.3,599.55,598.0,601.42,5270200,316962881640000.0,68379,2113907,0.4011
2021-08-09,WIPRO,EQ,598.0,600.0,606.0,595.5,597.25,596.8,599.75,4646751,278689151840000.0,87032,1905278,0.41000000000000003
