Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIPORTS,33,341.74,768.45,25358.85,14081.55,124.87,4.86
AXISBANK,50,408.58,673.2,33660,13231.15,64.77,3.55
BAJAJ-AUTO,1,2720,3787.8,3787.8,1067.8,39.26,2.41
BAJFINANCE,12,2992.13,5776.45,69317.4,33411.9,93.06,1.21
BALRAMCHIN,18,202.08,423.3,7619.4,3981.95,109.47,3.9
BSOFT,36,326.3,383.5,13806,2059.1,17.53,0.14
CIPLA,11,675.78,978.6,10764.6,3331.05,44.81,4.32
DABUR,10,473.04,502.8,5028,297.65,6.29,-0.15
DRREDDY,1,3950,4249.1,4249.1,299.1,7.57,8.13
EXIDEIND,16,140.45,144.1,2305.6,58.4,2.6,1.73
GODREJCP,8,681.75,760,6080,626,11.48,0.2
GRASIM,10,1120.84,1488.6,14886,3677.6,32.81,2.08
HDFC,11,1902.54,2203.15,24234.65,3306.75,15.8,3.13
HDFCBANK,3,1194.93,1320.95,3962.85,378.05,10.55,2.63
HDFCLIFE,7,473.22,544.7,3812.9,500.35,15.1,3.03
INDUSINDBK,14,568.1,896.5,12551,4597.6,57.81,3.47
INFY,36,1150.23,1455.5,52398,10989.55,26.54,1.98
IRCTC,56,485.48,662.25,37086,9899.35,36.41,1.09
JINDALSTEL,30,177.86,478.9,14367,9031.35,169.26,4.03
JUBLFOOD,20,499.5,487.7,9754,-236,-2.36,1.25
LAURUSLABS,16,336.77,574.5,9192,3803.75,70.59,2.56
LT,12,1233.33,1610.1,19321.2,4521.2,30.55,4.01
M&M,12,515.38,904.6,10855.2,4670.7,75.52,2.5
MANAPPURAM,30,116.9,93.45,2803.5,-703.5,-20.06,-1.16
MARICO,6,283.27,528.55,3171.3,1471.7,86.59,3.54
RELIANCE,11,1862.6,2624.45,28868.95,8380.35,40.9,5.83
SBICARD,10,687.1,742.75,7427.5,556.5,8.1,0.18
TATAMOTORS,26,183.52,418,10868,6096.5,127.77,4.85
TCS,15,2974.62,3293.9,49408.5,4789.15,10.73,0.71
