Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,DIVISLAB,EQ,1154.85,1154.0,1165.0,1145.55,1163.0,1162.5,1160.72,100178,11627819775000.0,4754,44899,0.4482
2016-01-04,DIVISLAB,EQ,1162.5,1161.0,1173.7,1137.8,1143.9,1149.7,1157.17,233101,26973828560000.004,14632,109714,0.4707
2016-01-05,DIVISLAB,EQ,1149.7,1147.0,1157.5,1138.5,1149.0,1147.5,1149.17,302272,34736269450000.0,12155,239263,0.7915000000000001
2016-01-06,DIVISLAB,EQ,1147.5,1149.0,1154.3,1135.0,1135.05,1137.2,1143.21,392164,44832384795000.0,19785,329062,0.8391
2016-01-07,DIVISLAB,EQ,1137.2,1115.0,1136.55,1115.0,1124.6,1126.95,1127.95,316523,35702237045000.0,18442,225493,0.7123999999999999
2016-01-08,DIVISLAB,EQ,1126.95,1139.75,1139.75,1122.0,1126.4,1129.7,1129.78,366442,41400034235000.0,18147,297975,0.8131999999999999
2016-01-11,DIVISLAB,EQ,1129.7,1128.0,1128.0,1094.3,1097.5,1099.5,1105.32,168277,18599986690000.0,10323,96908,0.5759000000000001
2016-01-12,DIVISLAB,EQ,1099.5,1100.0,1108.8,1088.7,1105.0,1100.3,1099.38,275705,30310339689999.996,18239,161605,0.5861999999999999
2016-01-13,DIVISLAB,EQ,1100.3,1105.0,1116.6,1059.0,1084.0,1084.45,1087.39,239949,26091819125000.0,15056,92622,0.386
2016-01-14,DIVISLAB,EQ,1084.45,1075.5,1100.0,1065.0,1080.7,1087.45,1088.55,366830,39931389365000.0,26680,239025,0.6516
2016-01-15,DIVISLAB,EQ,1087.45,1088.95,1092.65,1062.6,1072.25,1077.1,1076.47,152999,16469860690000.0,9430,64807,0.4236
2016-01-18,DIVISLAB,EQ,1077.1,1077.9,1080.0,1036.0,1072.6,1067.4,1064.36,229101,24384490495000.0,22563,101518,0.44310000000000005
2016-01-19,DIVISLAB,EQ,1067.4,1064.85,1080.8,1040.0,1065.5,1070.7,1068.05,667040,71243080175000.0,8202,509616,0.7640000000000001
2016-01-20,DIVISLAB,EQ,1070.7,1067.0,1079.05,1041.65,1055.45,1060.2,1059.17,359534,38080596425000.0,17550,210025,0.5842
2016-01-21,DIVISLAB,EQ,1060.2,1069.75,1076.1,1051.05,1060.0,1057.95,1061.04,337935,35856262995000.0,18278,242987,0.7190000000000001
2016-01-22,DIVISLAB,EQ,1057.95,1062.0,1091.0,1061.0,1088.6,1081.85,1080.99,162161,17529508730000.002,11515,81134,0.5003
2016-01-25,DIVISLAB,EQ,1081.85,1099.8,1104.8,1082.3,1087.5,1087.1,1090.64,210420,22949191610000.0,16527,121178,0.5759000000000001
2016-01-27,DIVISLAB,EQ,1087.1,1085.0,1148.8,1085.0,1141.5,1144.2,1122.65,383545,43058688850000.0,18773,238597,0.6221
2016-01-28,DIVISLAB,EQ,1144.2,1139.0,1154.0,1107.85,1130.0,1129.15,1129.56,334538,37788016915000.0,23990,185364,0.5540999999999999
2016-01-29,DIVISLAB,EQ,1129.15,1148.0,1156.0,1115.15,1141.05,1140.95,1139.19,349675,39834677425000.0,11845,184257,0.5269
2016-02-01,DIVISLAB,EQ,1140.95,1152.0,1158.0,1130.55,1138.55,1141.95,1142.02,283070,32327233860000.004,9599,188426,0.6657
2016-02-02,DIVISLAB,EQ,1141.95,1140.0,1161.25,1113.4,1120.0,1124.5,1145.56,303619,34781494045000.0,13778,194721,0.6413
2016-02-03,DIVISLAB,EQ,1124.5,1120.0,1135.5,1101.0,1105.8,1106.55,1116.63,249442,27853389075000.0,8274,77926,0.3124
2016-02-04,DIVISLAB,EQ,1106.55,1111.8,1111.8,1056.1,1084.9,1087.3,1077.45,512652,55235918815000.0,19557,274351,0.5352
2016-02-05,DIVISLAB,EQ,1087.3,1083.0,1120.0,1074.4,1096.5,1110.45,1098.52,474625,52138305845000.0,26703,265416,0.5592
2016-02-08,DIVISLAB,EQ,1110.45,1080.0,1091.6,1058.25,1070.0,1068.65,1072.3,520662,55830731070000.01,21538,316582,0.608
2016-02-09,DIVISLAB,EQ,1068.65,1055.0,1075.0,1022.95,1026.45,1033.65,1050.7,301134,31640190360000.004,16570,150851,0.5009
2016-02-10,DIVISLAB,EQ,1033.65,1024.8,1032.9,997.35,1017.0,1017.65,1015.37,366989,37262853560000.0,25380,185559,0.5056
2016-02-11,DIVISLAB,EQ,1017.65,1002.0,1024.2,990.0,1024.15,1019.55,1006.42,462682,46565076080000.0,45988,286065,0.6183
2016-02-12,DIVISLAB,EQ,1019.55,1021.2,1026.1,960.25,988.6,987.15,991.64,736094,72994168665000.0,41338,485758,0.6598999999999999
2016-02-15,DIVISLAB,EQ,987.15,1003.0,1009.5,986.2,992.0,992.75,995.92,455879,45401710085000.0,21055,320627,0.7033
2016-02-16,DIVISLAB,EQ,992.75,986.25,992.0,950.2,970.8,969.75,967.54,395940,38308760725000.0,26106,168590,0.4258
2016-02-17,DIVISLAB,EQ,969.75,973.2,999.0,930.0,991.0,988.5,956.97,526313,50366563370000.0,27791,229916,0.4368
2016-02-18,DIVISLAB,EQ,988.5,998.9,1009.05,961.1,974.0,975.35,977.6,342584,33490846845000.0,18788,185157,0.5405
2016-02-19,DIVISLAB,EQ,975.35,975.5,1001.0,960.75,998.0,995.65,984.75,212929,20968093360000.0,16220,86055,0.40409999999999996
2016-02-22,DIVISLAB,EQ,995.65,1015.0,1025.0,986.6,990.0,991.4,1004.22,359241,36075817660000.0,20317,173286,0.48240000000000005
2016-02-23,DIVISLAB,EQ,991.4,989.95,991.8,972.0,980.7,980.0,979.91,314131,30781978955000.0,18568,227792,0.7251000000000001
2016-02-24,DIVISLAB,EQ,980.0,979.0,979.0,926.6,932.0,941.9,939.28,823896,77387168230000.0,49564,458935,0.557
2016-02-25,DIVISLAB,EQ,941.9,935.0,945.25,930.1,945.0,940.85,939.55,679713,63862282375000.0,24895,455865,0.6707
2016-02-26,DIVISLAB,EQ,940.85,952.7,962.8,923.25,939.0,934.05,950.81,583423,55472304129999.99,22984,396752,0.68
2016-02-29,DIVISLAB,EQ,934.05,935.0,957.2,917.8,957.2,950.55,937.07,792995,74309520195000.0,32124,500359,0.631
2016-03-01,DIVISLAB,EQ,950.55,955.0,960.85,942.45,954.0,957.45,952.84,486669,46371579745000.0,31282,299422,0.6152000000000001
2016-03-02,DIVISLAB,EQ,957.45,963.0,996.4,957.95,970.0,970.45,974.19,616872,60094975720000.01,26966,358005,0.5804
2016-03-03,DIVISLAB,EQ,970.45,976.0,986.0,966.35,982.5,977.6,973.59,479030,46638021300000.0,20218,323042,0.6744
2016-03-04,DIVISLAB,EQ,977.6,977.6,1023.7,977.2,1014.0,1010.65,1009.86,531786,53702676965000.0,28392,331156,0.6227
2016-03-08,DIVISLAB,EQ,1010.65,1010.7,1025.55,998.0,1023.0,1022.75,1013.76,387188,39251499480000.0,27122,238146,0.6151
2016-03-09,DIVISLAB,EQ,1022.75,1022.75,1022.75,998.1,1002.6,1009.6,1007.48,203045,20456288855000.0,15665,84049,0.4139
2016-03-10,DIVISLAB,EQ,1009.6,1010.0,1027.7,1002.0,1012.6,1016.4,1017.83,262703,26738797685000.0,13065,99526,0.3789
2016-03-11,DIVISLAB,EQ,1016.4,1023.0,1023.0,999.5,1002.05,1004.3,1006.88,248070,24977686180000.0,16100,141648,0.5710000000000001
2016-03-14,DIVISLAB,EQ,1004.3,1014.5,1018.6,997.55,1009.0,1012.55,1008.74,503296,50769555405000.0,17724,411697,0.818
2016-03-15,DIVISLAB,EQ,1012.55,1020.0,1020.0,941.1,966.0,963.7,966.16,1371394,132498310080000.0,59776,944080,0.6884
2016-03-16,DIVISLAB,EQ,963.7,959.0,987.0,953.05,976.5,975.85,972.45,464515,45171902875000.0,20595,204647,0.44060000000000005
2016-03-17,DIVISLAB,EQ,975.85,980.0,983.75,966.5,975.25,975.2,974.47,623673,60774811929999.99,26271,484923,0.7775
2016-03-18,DIVISLAB,EQ,975.2,978.5,988.15,956.5,981.0,983.85,975.89,314050,30647864880000.0,21172,196025,0.6242
2016-03-21,DIVISLAB,EQ,983.85,980.0,999.0,969.1,987.05,991.95,990.92,276676,27416279339999.996,16676,189665,0.6855
2016-03-22,DIVISLAB,EQ,991.95,997.2,997.2,960.2,972.4,979.05,981.17,630746,61886949575000.0,31885,451798,0.7162999999999999
2016-03-23,DIVISLAB,EQ,979.05,979.45,980.0,958.0,970.0,969.4,966.23,519608,50206342155000.0,23792,332479,0.6399
2016-03-28,DIVISLAB,EQ,969.4,978.0,979.0,960.05,969.0,972.2,971.72,382087,37127982335000.0,32865,242600,0.6349
2016-03-29,DIVISLAB,EQ,972.2,970.0,981.25,935.1,975.0,977.0,961.52,528121,50780101675000.0,22112,291658,0.5523
2016-03-30,DIVISLAB,EQ,977.0,976.8,990.6,972.15,980.0,982.25,983.0,573823,56406923940000.0,42467,392960,0.6848000000000001
2016-03-31,DIVISLAB,EQ,982.25,986.0,989.9,968.75,989.0,987.25,978.06,461518,45139101610000.0,26138,297764,0.6452
2016-04-01,DIVISLAB,EQ,987.25,984.95,1011.45,977.95,1008.8,1008.55,999.97,228313,22830648120000.0,11183,96677,0.42340000000000005
2016-04-04,DIVISLAB,EQ,1008.55,1010.05,1013.9,990.75,1010.0,1010.6,1005.49,112395,11301244565000.0,10050,41098,0.3657
2016-04-05,DIVISLAB,EQ,1010.6,1007.6,1028.0,1000.7,1018.4,1013.35,1017.18,275291,28001928064999.996,15235,128745,0.46770000000000006
2016-04-06,DIVISLAB,EQ,1013.35,1012.8,1018.4,971.85,1000.0,995.15,989.12,729242,72130676765000.0,35461,428990,0.5883
2016-04-07,DIVISLAB,EQ,995.15,1004.8,1024.6,985.5,1015.0,1013.9,1013.68,226225,22932008135000.0,9704,63689,0.2815
2016-04-08,DIVISLAB,EQ,1013.9,1010.2,1020.0,999.6,1010.0,1013.45,1010.72,133452,13488274035000.0,9212,45156,0.33840000000000003
2016-04-11,DIVISLAB,EQ,1013.45,1014.9,1037.0,1005.1,1022.0,1020.1,1024.13,276931,28361338050000.0,10510,96352,0.3479
2016-04-12,DIVISLAB,EQ,1020.1,1027.0,1034.9,1012.0,1025.95,1021.9,1024.0,187964,19247468795000.0,10562,89407,0.4757
2016-04-13,DIVISLAB,EQ,1021.9,1035.0,1035.0,1008.6,1026.6,1023.05,1019.02,444316,45276806875000.0,28257,296021,0.6662
2016-04-18,DIVISLAB,EQ,1023.05,1009.0,1049.0,1009.0,1039.0,1039.05,1039.21,300959,31276024225000.0,27026,173583,0.5768
2016-04-20,DIVISLAB,EQ,1039.05,1048.95,1053.45,1032.9,1049.0,1048.55,1044.84,362803,37907008680000.0,27702,240784,0.6637000000000001
2016-04-21,DIVISLAB,EQ,1048.55,1060.0,1095.2,1048.0,1092.95,1091.05,1075.47,566475,60922801685000.0,22842,344379,0.6079
2016-04-22,DIVISLAB,EQ,1091.05,1099.45,1106.4,1064.0,1066.5,1069.45,1091.13,648920,70805832675000.0,18886,406158,0.6259
2016-04-25,DIVISLAB,EQ,1069.45,1067.95,1076.65,1056.85,1061.85,1059.95,1062.9,234919,24969630605000.0,12896,156522,0.6663
2016-04-26,DIVISLAB,EQ,1059.95,1063.85,1068.7,1051.1,1057.55,1058.45,1059.39,448874,47553064180000.0,20742,293742,0.6544
2016-04-27,DIVISLAB,EQ,1058.45,1071.0,1071.0,1038.2,1046.0,1042.25,1054.35,320238,33764265489999.996,19216,188436,0.5884
2016-04-28,DIVISLAB,EQ,1042.25,1042.65,1058.75,1036.2,1052.5,1050.15,1047.56,323697,33909056470000.0,18379,192660,0.5952000000000001
2016-04-29,DIVISLAB,EQ,1050.15,1059.0,1060.95,1041.0,1049.0,1051.1,1050.34,183734,19298403830000.0,13863,92099,0.5013000000000001
2016-05-02,DIVISLAB,EQ,1051.1,1048.0,1059.75,1043.4,1059.0,1055.8,1051.6,105563,11100955220000.0,5094,63894,0.6053000000000001
2016-05-03,DIVISLAB,EQ,1055.8,1060.1,1067.55,1036.95,1037.0,1040.15,1051.6,245808,25849181760000.0,12889,137557,0.5596
2016-05-04,DIVISLAB,EQ,1040.15,1042.5,1055.0,1025.0,1053.0,1051.0,1041.51,248101,25840043245000.0,17321,118992,0.4796
2016-05-05,DIVISLAB,EQ,1051.0,1060.0,1064.5,1038.4,1040.5,1044.0,1050.04,240051,25206368320000.0,12723,66057,0.2752
2016-05-06,DIVISLAB,EQ,1044.0,1044.1,1044.1,1019.2,1021.0,1022.2,1026.59,320213,32872689064999.996,17490,201087,0.628
2016-05-09,DIVISLAB,EQ,1022.2,1026.0,1065.0,1019.4,1048.0,1050.05,1042.15,285857,29790721314999.996,14225,122122,0.4272
2016-05-10,DIVISLAB,EQ,1050.05,1060.0,1074.9,1045.4,1073.15,1071.2,1061.23,294333,31235504860000.004,27580,121461,0.41270000000000007
2016-05-11,DIVISLAB,EQ,1071.2,1068.0,1083.9,1048.0,1068.0,1064.95,1067.41,265876,28379887250000.0,25425,118721,0.4465
2016-05-12,DIVISLAB,EQ,1064.95,1073.9,1079.0,1062.1,1065.45,1064.05,1072.35,283261,30375357725000.0,8060,206459,0.7289
2016-05-13,DIVISLAB,EQ,1064.05,1058.0,1081.0,1056.15,1075.05,1078.6,1073.63,162565,17453398880000.002,11676,63968,0.3935
2016-05-16,DIVISLAB,EQ,1078.6,1078.6,1078.6,1045.0,1056.25,1057.25,1059.68,219481,23257999245000.0,12135,56176,0.2559
2016-05-17,DIVISLAB,EQ,1057.25,1060.0,1094.0,1058.0,1087.05,1090.15,1084.6,784700,85108659290000.0,21756,589898,0.7517
2016-05-18,DIVISLAB,EQ,1090.15,1084.0,1089.95,1068.0,1070.0,1070.65,1075.62,224889,24189570025000.0,14517,81483,0.36229999999999996
2016-05-19,DIVISLAB,EQ,1070.65,1071.95,1077.0,1052.1,1056.0,1056.25,1066.39,440328,46955950490000.0,12557,256425,0.5822999999999999
2016-05-20,DIVISLAB,EQ,1056.25,1057.45,1067.6,1039.0,1040.6,1043.25,1055.12,164093,17313786940000.0,10794,59325,0.3615
2016-05-23,DIVISLAB,EQ,1043.25,1046.0,1053.9,1028.3,1031.0,1034.7,1044.11,175588,18333236860000.0,12458,72618,0.4136
2016-05-24,DIVISLAB,EQ,1034.7,1017.0,1043.4,1013.45,1031.4,1030.25,1026.58,201240,20658964785000.0,11887,73198,0.36369999999999997
2016-05-25,DIVISLAB,EQ,1030.25,1035.05,1046.2,1031.4,1035.15,1040.05,1040.04,125503,13052794965000.0,8477,49409,0.3937
2016-05-26,DIVISLAB,EQ,1040.05,1041.4,1049.9,1026.8,1049.0,1041.5,1037.49,202483,21007356780000.0,17966,81926,0.4046
2016-05-27,DIVISLAB,EQ,1041.5,1043.0,1089.0,1043.0,1082.0,1084.65,1077.83,224931,24243765190000.0,14777,102960,0.45770000000000005
2016-05-30,DIVISLAB,EQ,1084.65,1120.65,1120.8,1081.0,1116.0,1110.15,1097.44,694026,76164870230000.0,38380,459639,0.6623
2016-05-31,DIVISLAB,EQ,1110.15,1114.9,1123.3,1092.0,1093.5,1099.45,1107.47,538448,59631637025000.0,32683,362670,0.6735
2016-06-01,DIVISLAB,EQ,1099.45,1092.0,1135.9,1092.0,1115.5,1125.75,1122.17,506466,56833946945000.01,31002,242914,0.4796
2016-06-02,DIVISLAB,EQ,1125.75,1118.0,1146.4,1108.0,1141.85,1141.75,1135.95,483965,54976040370000.01,26827,301935,0.6239
2016-06-03,DIVISLAB,EQ,1141.75,1142.9,1152.4,1128.4,1140.0,1140.75,1135.11,471371,53505614010000.0,21520,352446,0.7477
2016-06-06,DIVISLAB,EQ,1140.75,1141.0,1168.5,1138.1,1139.9,1142.05,1155.75,456329,52739997730000.0,21139,313539,0.6870999999999999
2016-06-07,DIVISLAB,EQ,1142.05,1149.0,1152.0,1130.25,1146.1,1148.25,1138.98,278491,31719624000000.0,21953,132863,0.4771
2016-06-08,DIVISLAB,EQ,1148.25,1148.25,1150.5,1133.0,1136.0,1137.5,1141.85,160125,18283916770000.0,12130,85527,0.5341
2016-06-09,DIVISLAB,EQ,1137.5,1143.7,1147.55,1106.55,1115.0,1113.5,1124.24,194652,21883476410000.0,12534,77905,0.40020000000000006
2016-06-10,DIVISLAB,EQ,1113.5,1114.75,1127.0,1097.0,1124.95,1123.3,1115.72,337843,37693733250000.0,16621,184567,0.5463
2016-06-13,DIVISLAB,EQ,1123.3,1115.0,1126.95,1102.75,1125.8,1122.0,1117.7,250050,27948052070000.0,14883,52936,0.21170000000000003
2016-06-14,DIVISLAB,EQ,1122.0,1123.25,1139.8,1106.0,1113.0,1115.05,1118.93,343112,38391708210000.0,18122,112604,0.3282
2016-06-15,DIVISLAB,EQ,1115.05,1116.3,1126.9,1109.2,1126.35,1123.25,1117.91,445509,49803765675000.0,20593,265766,0.5965
2016-06-16,DIVISLAB,EQ,1123.25,1122.55,1127.0,1102.25,1106.5,1107.55,1112.31,197059,21919096965000.0,16901,84144,0.42700000000000005
2016-06-17,DIVISLAB,EQ,1107.55,1111.0,1118.4,1095.25,1115.95,1113.15,1109.58,295478,32785663910000.004,19042,132686,0.4491
2016-06-20,DIVISLAB,EQ,1113.15,1111.9,1124.95,1098.8,1122.4,1123.05,1113.19,191427,21309436430000.0,14887,73341,0.38310000000000005
2016-06-21,DIVISLAB,EQ,1123.05,1124.3,1128.95,1108.15,1113.55,1117.2,1116.44,360516,40249518675000.0,12801,273477,0.7586
2016-06-22,DIVISLAB,EQ,1117.2,1128.0,1128.0,1102.05,1102.75,1108.35,1112.28,179789,19997496080000.0,10561,79415,0.44170000000000004
2016-06-23,DIVISLAB,EQ,1108.35,1109.85,1112.65,1100.05,1100.65,1102.75,1107.0,299256,33127737935000.004,8990,235892,0.7883
2016-06-24,DIVISLAB,EQ,1102.75,1081.7,1109.6,1057.0,1109.0,1100.0,1078.38,385379,41558419785000.0,18926,169164,0.439
2016-06-27,DIVISLAB,EQ,1100.0,1081.0,1109.25,1081.0,1095.0,1098.05,1096.92,298080,32696999645000.0,16502,138087,0.4633
2016-06-28,DIVISLAB,EQ,1098.05,1099.0,1114.5,1095.25,1105.0,1107.2,1106.4,580907,64271792850000.0,16215,321123,0.5528000000000001
2016-06-29,DIVISLAB,EQ,1107.2,1112.0,1119.75,1104.9,1106.0,1110.65,1112.52,285257,31735539214999.996,17065,112180,0.3933
