Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,TATAGLOBAL,EQ,146.2,146.05,148.8,145.5,146.4,146.4,147.07,781067,11487102405000.0,5012,382784,0.4901
2016-01-04,TATAGLOBAL,EQ,146.4,145.9,147.2,142.25,143.0,143.7,143.91,950484,13678407715000.0,6768,369558,0.38880000000000003
2016-01-05,TATAGLOBAL,EQ,143.7,144.0,149.5,142.2,148.65,148.35,146.12,1502760,21958374505000.0,9260,409423,0.2724
2016-01-06,TATAGLOBAL,EQ,148.35,147.1,149.8,144.5,145.2,145.25,146.93,834054,12254653825000.0,6150,199370,0.239
2016-01-07,TATAGLOBAL,EQ,145.25,144.1,144.7,139.0,139.5,140.05,141.27,1034747,14618374450000.0,5865,293247,0.2834
2016-01-08,TATAGLOBAL,EQ,140.05,140.65,146.75,140.1,144.1,144.45,143.4,1284440,18418366420000.0,8489,153167,0.1192
2016-01-11,TATAGLOBAL,EQ,144.45,143.2,144.0,140.95,141.6,141.9,142.64,1201860,17142998650000.0,11937,442034,0.3678
2016-01-12,TATAGLOBAL,EQ,141.9,142.4,143.45,138.05,139.9,139.5,140.19,1353097,18969198535000.0,8052,360660,0.2665
2016-01-13,TATAGLOBAL,EQ,139.5,141.75,141.95,130.3,135.4,135.6,135.55,1907971,25862753285000.0,14137,459035,0.24059999999999998
2016-01-14,TATAGLOBAL,EQ,135.6,132.1,136.25,131.15,133.9,134.05,133.92,1431102,19165286290000.0,8957,325309,0.2273
2016-01-15,TATAGLOBAL,EQ,134.05,135.0,135.4,127.5,127.65,128.5,130.79,1756768,22976057120000.0,11079,676971,0.3854
2016-01-18,TATAGLOBAL,EQ,128.5,128.0,129.0,121.05,122.0,121.85,124.49,2065711,25715510365000.0,10761,800366,0.3875
2016-01-19,TATAGLOBAL,EQ,121.85,122.95,127.0,121.55,126.45,126.4,125.16,1411260,17662766585000.0,15679,561251,0.39770000000000005
2016-01-20,TATAGLOBAL,EQ,126.4,124.6,124.6,120.5,122.8,122.55,122.13,1278069,15609056165000.0,10382,288317,0.2256
2016-01-21,TATAGLOBAL,EQ,122.55,123.05,124.55,119.5,121.55,121.75,122.04,1322358,16138529844999.998,10284,427671,0.3234
2016-01-22,TATAGLOBAL,EQ,121.75,123.85,126.9,121.95,125.3,125.55,124.43,1084192,13490495925000.0,7592,359272,0.33140000000000003
2016-01-25,TATAGLOBAL,EQ,125.55,125.85,127.0,123.4,124.15,124.3,125.37,682689,8559062995000.0,5149,150919,0.2211
2016-01-27,TATAGLOBAL,EQ,124.3,124.95,125.95,123.3,124.45,124.45,124.52,655053,8156500450000.0,4793,214539,0.3275
2016-01-28,TATAGLOBAL,EQ,124.45,124.95,125.4,122.6,123.2,123.15,123.53,1539708,19019431305000.0,6946,978051,0.6352000000000001
2016-01-29,TATAGLOBAL,EQ,123.15,124.1,127.45,123.35,126.75,126.5,125.58,925581,11623500270000.0,8528,237226,0.2563
2016-02-01,TATAGLOBAL,EQ,126.5,126.8,128.3,125.2,126.6,126.6,126.95,592819,7526079275000.0,9352,123327,0.20800000000000002
2016-02-02,TATAGLOBAL,EQ,126.6,127.4,127.7,123.55,124.1,124.25,125.63,734748,9230434075000.0,7735,114350,0.15560000000000002
2016-02-03,TATAGLOBAL,EQ,124.25,123.05,124.8,121.0,121.65,121.75,123.18,877186,10805163570000.0,7384,190593,0.21730000000000002
2016-02-04,TATAGLOBAL,EQ,121.75,123.1,123.4,120.4,122.5,121.6,121.97,1120485,13666849485000.0,9629,273238,0.2439
2016-02-05,TATAGLOBAL,EQ,121.6,121.9,123.95,121.45,123.5,122.5,122.51,797137,9765512715000.0,5417,131694,0.16519999999999999
2016-02-08,TATAGLOBAL,EQ,122.5,123.05,126.1,122.5,123.85,123.9,124.54,1227619,15289069300000.0,9349,269252,0.2193
2016-02-09,TATAGLOBAL,EQ,123.9,123.0,124.4,120.1,121.25,120.75,121.62,1109232,13490002925000.0,9102,362354,0.32670000000000005
2016-02-10,TATAGLOBAL,EQ,120.75,120.5,121.0,116.45,118.65,118.35,118.07,1654991,19540409550000.0,9946,463494,0.2801
2016-02-11,TATAGLOBAL,EQ,118.35,112.7,115.8,102.4,107.0,105.25,108.72,5524328,60059338315000.0,28978,2311472,0.41840000000000005
2016-02-12,TATAGLOBAL,EQ,105.25,103.25,106.4,100.0,104.45,104.3,103.15,2087141,21528587205000.0,13286,614726,0.2945
2016-02-15,TATAGLOBAL,EQ,104.3,105.1,108.45,105.1,105.9,106.0,106.59,1091675,11636166170000.0,6752,331054,0.3033
2016-02-16,TATAGLOBAL,EQ,106.0,107.7,108.9,102.2,102.6,102.65,105.28,1341261,14120315594999.998,9643,352336,0.2627
2016-02-17,TATAGLOBAL,EQ,102.65,103.0,104.6,101.1,104.35,104.0,102.84,1268061,13040523880000.0,8211,285837,0.2254
2016-02-18,TATAGLOBAL,EQ,104.0,105.4,106.5,102.5,105.0,104.55,104.54,1429030,14939364715000.0,10868,452557,0.31670000000000004
2016-02-19,TATAGLOBAL,EQ,104.55,105.0,108.2,104.25,107.25,107.3,106.78,1340622,14315734310000.0,9599,632483,0.4718
2016-02-22,TATAGLOBAL,EQ,107.3,107.3,109.85,107.0,109.0,109.1,108.82,1151733,12533375555000.0,9016,294574,0.25579999999999997
2016-02-23,TATAGLOBAL,EQ,109.1,109.0,109.5,105.1,106.5,106.65,107.16,1037357,11116049320000.0,6278,232501,0.2241
2016-02-24,TATAGLOBAL,EQ,106.65,106.2,108.3,105.0,106.8,106.7,106.78,758132,8095545220000.0,5856,136823,0.18050000000000002
2016-02-25,TATAGLOBAL,EQ,106.7,107.8,108.05,102.5,107.2,106.2,106.14,9364686,99395232870000.0,14304,2246646,0.2399
2016-02-26,TATAGLOBAL,EQ,106.2,107.95,108.5,103.8,104.8,104.75,105.46,2381968,25120291155000.0,14562,838898,0.3522
2016-02-29,TATAGLOBAL,EQ,104.75,105.0,107.1,101.6,103.8,103.55,104.87,1639500,17193849615000.0,9780,575058,0.3508
2016-03-01,TATAGLOBAL,EQ,103.55,104.2,109.5,104.2,109.0,108.9,107.42,1481271,15911159915000.0,10336,459304,0.31010000000000004
2016-03-02,TATAGLOBAL,EQ,108.9,110.0,112.75,109.45,109.6,109.9,110.68,1220668,13510620085000.0,7456,397702,0.3258
2016-03-03,TATAGLOBAL,EQ,109.9,110.5,111.25,107.95,109.85,109.5,109.68,1260507,13824734930000.002,11152,452636,0.3591
2016-03-04,TATAGLOBAL,EQ,109.5,110.0,113.9,109.15,113.75,113.25,111.54,1377634,15366354730000.002,12561,521588,0.3786
2016-03-08,TATAGLOBAL,EQ,113.25,114.3,116.4,113.1,115.6,115.65,114.9,1677380,19273362570000.0,18243,762446,0.4545
2016-03-09,TATAGLOBAL,EQ,115.65,115.65,117.5,114.55,116.7,116.85,116.55,1555016,18123109615000.0,16807,606596,0.3901
2016-03-10,TATAGLOBAL,EQ,116.85,117.8,118.1,115.4,116.9,116.45,116.36,1177827,13705711850000.0,6673,529566,0.4496
2016-03-11,TATAGLOBAL,EQ,116.45,116.55,117.6,115.05,115.95,115.85,116.02,1170769,13583183740000.0,5108,703818,0.6012
2016-03-14,TATAGLOBAL,EQ,115.85,116.05,117.35,113.9,115.5,115.65,115.13,1609295,18527477220000.0,9223,658421,0.40909999999999996
2016-03-15,TATAGLOBAL,EQ,115.65,116.0,116.4,115.0,115.7,115.45,115.43,1082982,12501358590000.0,4674,591610,0.5463
2016-03-16,TATAGLOBAL,EQ,115.45,115.7,116.1,114.1,115.25,115.1,115.05,964165,11092263730000.0,4918,546107,0.5664
2016-03-17,TATAGLOBAL,EQ,115.1,116.0,116.95,115.0,116.0,115.8,115.77,1396728,16170248885000.0,8954,664967,0.4761
2016-03-18,TATAGLOBAL,EQ,115.8,116.5,119.65,115.95,118.6,118.9,118.44,2062464,24428480115000.0,14860,1202428,0.583
2016-03-21,TATAGLOBAL,EQ,118.9,119.2,120.9,118.75,119.7,119.9,119.87,839802,10066342520000.0,6515,359240,0.4278
2016-03-22,TATAGLOBAL,EQ,119.9,121.05,123.3,120.45,121.5,121.4,121.99,1469400,17924899060000.0,7403,555490,0.378
2016-03-23,TATAGLOBAL,EQ,121.4,121.6,122.15,118.65,119.5,119.45,120.19,1230385,14787562519999.998,6372,595272,0.48380000000000006
2016-03-28,TATAGLOBAL,EQ,119.45,120.0,121.0,118.5,119.05,119.4,119.62,1382616,16539214294999.998,10555,664659,0.4807
2016-03-29,TATAGLOBAL,EQ,119.4,119.1,120.4,118.4,119.0,119.3,119.33,3588313,42820611635000.0,14907,1732630,0.4829
2016-03-30,TATAGLOBAL,EQ,119.3,119.9,125.0,119.5,121.45,121.4,120.69,1922207,23198486070000.0,12546,1103450,0.5740999999999999
2016-03-31,TATAGLOBAL,EQ,121.4,122.0,122.3,120.3,121.2,121.25,121.2,1627181,19722127090000.0,9213,793576,0.4877
2016-04-01,TATAGLOBAL,EQ,121.25,122.0,124.2,120.2,122.15,122.55,122.25,1532533,18735677955000.0,9203,452944,0.2956
2016-04-04,TATAGLOBAL,EQ,122.55,122.85,123.45,120.75,120.85,121.2,121.82,831737,10132467905000.0,5675,286467,0.3444
2016-04-05,TATAGLOBAL,EQ,121.2,121.0,121.15,118.0,118.2,118.25,119.42,1663091,19860412355000.0,9215,959690,0.5771000000000001
2016-04-06,TATAGLOBAL,EQ,118.25,119.6,120.0,115.0,118.35,118.85,118.76,1327276,15763157705000.002,6473,689934,0.5197999999999999
2016-04-07,TATAGLOBAL,EQ,118.85,118.1,120.4,118.1,118.4,118.7,119.45,1147382,13705853180000.002,6022,415734,0.36229999999999996
2016-04-08,TATAGLOBAL,EQ,118.7,118.5,119.0,117.0,117.6,117.7,118.08,648096,7652875109999.999,3463,366241,0.5651
2016-04-11,TATAGLOBAL,EQ,117.7,118.0,120.25,117.85,119.35,119.5,119.42,1050521,12545608440000.0,4647,530696,0.5052000000000001
2016-04-12,TATAGLOBAL,EQ,119.5,119.5,120.1,118.05,118.6,118.35,119.03,788617,9386740050000.0,12178,403233,0.5113000000000001
2016-04-13,TATAGLOBAL,EQ,118.35,119.05,121.35,118.95,120.5,120.65,120.22,928735,11165174660000.0,6695,370940,0.3994
2016-04-18,TATAGLOBAL,EQ,120.65,120.85,121.0,119.1,120.4,120.0,120.04,765331,9186806070000.0,5258,428867,0.5604
2016-04-20,TATAGLOBAL,EQ,120.0,120.2,123.2,119.55,121.8,121.85,121.09,1572869,19045880345000.0,7824,750520,0.4772
2016-04-21,TATAGLOBAL,EQ,121.85,122.4,122.75,119.55,120.1,120.1,120.96,892645,10797425745000.0,5163,386457,0.4329
